TopMenu_Title#0,"""M.A.R.S. 스킬"""
TopMenu_GetSkill#0,"""M.A.R.S. 스킬 포인트 교환"""
TopMenu_Distribution#0,"""M.A.R.S. 스킬 습득"""
TopMenu_Explanation#0,"""M.A.R.S. 스킬の習得や、ポイントを交換できます。"""
Explanation1#0,"""특정 아이템을 납품하면 M.A.R.S 스킬 포인트를 획득할 수 있습니다."""
Title_ModuleSkillSet#0,"""M.A.R.S. 스킬 습득"""
ModuleSkillList#0,"""스킬 트리 $(0)"""
HavePointLabel#0,"""M.A.R.S. 스킬 포인트"""
GetPointMessage#0,"""지정된 아이템을 납품하고<br>M.A.R.S. 스킬 포인트를 획득합니다.<br><br><yellow>※M.A.R.S. 스킬 포인트의 누적에 따라 필요한 납품 횟수가 달라집니다.<br>스킬 포인트 누적은 계정별로 저장됩니다.<c>"""
GetPointLabel#0,"""획득하는 M.A.R.S. 스킬 포인트"""
GetPoint_Yes#0,"""결정"""
GetPoint_No#0,"""취소"""
Medium_Title1#0,"""대상 포인트"""
Medium_Title2#0,"""납품 전"""
Medium_Title3#0,"""납품 후"""
Medium_Title4#0,"""납품 아이템"""
Medium_Title5#0,"""필요 개수"""
GetPoint_ToastMessage#0,"""M.A.R.S. 스킬 포인트를 획득했습니다."""
GetPoint_ToastMessage2#0,"""M.A.R.S. 스킬 포인트는 더이상 획득할 수 없습니다."""
Title_ModuleSkillSet#1,"""M.A.R.S. 스킬 리스트"""
Explanation1#1,"""M.A.R.S. 스킬 포인트를 소모하여 스킬을 습득할 수 있습니다."""
Popup_SkillCheck#0,"""스킬 트리 확인"""
Popup_Use#0,"""이 스킬 트리를 사용하기"""
Popup_Help#0,"""도움말 보기"""
Title_ModuleSkillTree#0,"""M.A.R.S. (세트<pict 4space>$(0))"""
Combo_All#0,"""모두 보기"""
Combo_Common#0,"""각 병기 공통 스킬"""
Combo_Sword#0,"""VA-1SRM 가름"""
Combo_Scythe#0,"""VA-2MRM 니드호그"""
Combo_Railgun#0,"""VA-3LRM 히드라"""
Combo_Broom#0,"""VA-4XRM 스킬라"""
Combo_Sub#0,"""SA型"""
Label_HaveSkillPoint#0,"""소지 M.A.R.S. 스킬 포인트"""
DecideText#0,"""결정"""
CancelText#0,"""취소"""
SkillPointText#0,"""$(0) / $(1)"""
Title_SkillAcquisition#0,"""스킬 포인트"""
Message_SkillAcquisition#0,"""스킬 포이트 배분을 진행합니다.<br>괜찮으시겠습니까?"""
Message_SkillAcquisitionCancel#0,"""변경 사항을 삭제합니다.<br>괜찮으시겠습니까?"""
Message_SkillAcquisitionLack#0,"""스킬 포인트가 부족합니다."""
SkillPoint_ToastMessage#0,"""M.A.R.S. 스킬 포인트 배분이 완료되었습니다."""
Sword#0,"""VA-1SRM 가름"""
Scythe#0,"""VA-2MRM 니드호그"""
Railgun#0,"""VA-3LRM 히드라"""
Broom#0,"""VA-4XRM 스킬라"""
Sub_HMT#0,"""SA-1HMP 펜릴"""
Sub_HDT#0,"""SA-2HDP 파프닐"""
Sub_AET#0,"""SA-3HFP 린트부름"""
Skillcommon#0,"""각 병기 공통 스킬"""
