LobbyMap#0,"""Mapa del vestibulo"""
LobbyMapDetail#0,"""Detalles del mapa del vestibulo"""
LobbyMap_Empty#0,"""項目がありません"""
AreaName_Gate1F#0,"""Área de abordaje 1F"""
AreaName_Gate2F#0,"""Área de abordaje 2F"""
AreaName_Gate3F#0,"""Área de abordaje 3F"""
AreaName_Shop1F#0,"""Área comercial 1F"""
AreaName_Shop2F#0,"""Área comercial 2F"""
AreaName_Shop3F#0,"""Área comercial 3F"""
AreaName_Shop4F#0,"""Área comercial 4F"""
AreaName_Amusement1F#0,"""Casino"""
AreaName_Bridge#0,"""Puente"""
Npc01#0,"""ゼノ"""
Npc02#0,"""エコー"""
Npc03#0,"""アフィン"""
Npc04#0,"""マトイ"""
Npc05#0,"""シオン"""
Npc06#0,"""ゲッテムハルト"""
Npc07#0,"""メルフォンシーナ"""
Npc08#0,"""フーリエ"""
Npc09#0,"""アキ"""
Npc10#0,"""ライト"""
Npc11#0,"""ジグ"""
Npc12#0,"""ロジオ"""
Npc13#0,"""パティ"""
Npc14#0,"""ティア"""
Npc17#0,"""フィリア"""
Npc18#0,"""クロト"""
Npc19#0,"""マールー"""
Npc20#0,"""オーザ"""
Npc21#0,"""Jan"""
Npc22#0,"""レダ"""
Npc26#0,"""リサ"""
Npc27#0,"""テオドール"""
Npc28#0,"""ウルク"""
Npc32#0,"""クーナ"""
Npc49#0,"""ファイナ/デイリーオーダー管理官"""
Npc50#0,"""Administrador Koffie"""
Npc51#0,"""フランカ"""
Npc52#0,"""ハンス"""
Npc53#0,"""ジラード"""
Npc54#0,"""ジョーゼフ"""
Npc55#0,"""エメライン"""
Npc56#0,"""クレシダ"""
Npc57#0,"""バルバラ"""
Npc58#0,"""ローラ"""
Npc59#0,"""ラヴェール"""
Npc61#0,"""シー(ハロウィン2020)"""
Npc62#0,"""ロッティ"""
Npc63#0,"""ルベルト"""
Npc65#0,"""クーナ"""
Npc68#0,"""トロ"""
Npc69#0,"""クロ"""
Npc77#0,"""シー(クリスマス2020)"""
Npc80#0,"""シー(バレンタイン2021)"""
Npc81#0,"""シー(ホワイトデー)"""
Npc82#0,"""Equipamiento Admin Pudding"""
Npc83#0,"""ゼノ"""
Npc85#0,"""シャオ"""
Npc86#0,"""エコー"""
Npc87#0,"""アザナミ"""
Npc91#0,"""イオ"""
Npc96#0,"""シー(レイニー2015)"""
Npc97#0,"""シー(20周年記念)"""
Npc98#0,"""Administradora de lecciones ARKS"""
Npc99#0,"""シー(サマー2020)"""
Npc121#0,"""シー(新年祭2020)"""
Npc118#0,"""ウルク"""
Npc125#0,"""アリス"""
