Common#0,"""액세스"""
Npc#0,"""대화하기"""
Gather#0,"""채집"""
Sit#0,"""앉기"""
TransferSingle#0,"""텔레포트"""
TransferMultiStart#0,"""텔레포터 기동"""
TransferMultiStop#0,"""텔레포터 중지"""
ItemStorage#0,"""창고에 액세스"""
Jump#0,"""점프"""
DivaAccess#0,"""카메라 전환"""
GazeCamera#0,"""대상을 주시하기"""
ReturnNormalCamera#0,"""길게 눌러 돌아가기"""
Pickup#0,"""줍기"""
FloatingBoardRide#0,"""플로팅 보드"""
FieldRace#0,"""필드 레이스"""
Door_open#0,"""開ける"""
Door_close#0,"""閉める"""
Sleep#0,"""横になる"""
Bath#0,"""入浴する"""
Shower#0,"""シャワーを浴びる"""
ToStiaSection_1#0,"""스티아 외연부로"""
ToStiaSection_2#0,"""드라이젠 플랜트로"""
ToStiaSection_3#0,"""메디오라 외곽 제2구로"""
ToStiaSection_4#0,"""노이젠 플랜트로"""
ToStiaSection_5#0,"""메디오라 외곽 제1구로"""
