TransferMultiStart#0,"""$(0)초 후에 전송을 시작합니다."""
TransferMultiStartLaunch#0,"""플레이어 전원이 모이거나 $(0)초가 지나면 전송을 시작합니다."""
TransferMultiStop#0,"""전송을 중단했습니다."""
RestaSignLimit#0,"""획득 상한을 초과하기 때문에 더 이상 얻을 수 없습니다."""
ReverserSignLimit#0,"""획득 상한을 초과하기 때문에 더 이상 얻을 수 없습니다."""
Levelup#0,"""제어 중인 드롬의 레벨이 올랐습니다."""
Join#0,"""적성 드롬 해킹 성공. 아군의 전투 행동에 참가했습니다."""
Renounced#0,"""제어 범위에서 벗어나 동반 드롬이 이탈했습니다."""
Levelup_Drm2#0,"""제어 중인 호백이 레벨 업 했습니다."""
Join_Drm2#0,"""적성 호백 해킹 성공. 아군의 전투 행동에 참가했습니다."""
Renounced_Drm2#0,"""제어 범위 밖이기 때문에 동반 호백이 이탈했습니다."""
Levelup_Drm3#0,"""제어 중인 하이드롬의 레벨이 상승했습니다."""
Join_Drm3#0,"""적성 하이드롬 해킹 성공. 아군의 전투 행동에 참가했습니다."""
Renounced_Drm3#0,"""제어 범위에서 벗어나 동반 하이드롬이 이탈했습니다."""
GetBlastChargeSign#0,"""포톤 블래스트가 발동 가능한 상태입니다."""
LaserSensorFound#0,"""레이저 센서에 감지되었습니다."""
BuffContainerOpen_Atk_01#0,"""일정 시간 동안 <yellow>공격 속도 상승<c> 효과가 발생합니다."""
BuffContainerUi_Atk_01#0,"""공격 속도 상승"""
BuffContainerOpen_Def_01#0,"""일정 시간 동안 <yellow>데미지 내성 증가 / 뜨거나 날아감 무효화<c> 효과가 발생합니다."""
BuffContainerUi_Def_01#0,"""데미지 내성 증가 / 뜨거나 날아감 무효화"""
BuffContainerOpen_Ex_01#0,"""일정 시간 동안 <yellow>PP 자연 회복량 증가<c> 효과가 발생합니다."""
BuffContainerUi_Ex_01#0,"""PP 자연 회복량 증가"""
TorchBuff_NotFound#0,"""히트 코팅 상태여야 사용할 수 있습니다."""
RequiredPoints#0,"""<pict quest_point>"""
LackOfPoints#0,"""탐색 포인트가 부족합니다."""
DiscoverBonus#0,"""원더링 체스트를 발견했습니다. 획득 포인트: $(0)"""
