name_7224#0,"""Xitrae"""
ssn_019440_002_0010#0,"""<%me>！\u3000<br>来てくれてありがとう。"""
ssn_019440_002_0020#0,"""それで、キミに相談なんだけど……。"""
ssn_019440_002_0030#0,"""このところ、狂暴なシンボル付きのエネミーが、<br>増えてるみたいでさ。"""
ssn_019440_002_0040#0,"""補給物資の輸送中に、<br>襲撃されることが多くてね……。"""
ssn_019440_002_0050#0,"""そこで、優秀なアークスであるキミに、<br>エネミーの討伐をお願いしたいってわけ。"""
ssn_019440_002_0060#0,"""頼んでもいい……よね？"""
ssn_019440_002_0070#0,"""それじゃ、よろしくね！"""
ssn_019440_002_0900#0,"""補給は戦いの生命線！"""
ssn_019440_002_0910#0,"""……でも、今はその生命線のピンチなんだ……。"""
npc_menu_0010#0,"""Exchange Seasonal Points (Until $(0))"""
npc_menu_0020#0,"""Previous Seasonal Point Exchange (Until $(0))"""
npc_menu_0080#0,"""前回のアイテムリサイクル（$(0)まで）"""
npc_menu_0030#0,"""鉱石と交換する（$(0)まで）"""
npc_menu_0040#0,"""Item Recycle (Until $(0))"""
npc_menu_0050#0,"""Ask about the Seasonal Event"""
npc_menu_0060#0,"""Close Menu"""
npc_menu_0070#0,"""「N-グラインダー」と交換する"""
npc_menu_1010#0,"""About Seasonal Events"""
npc_menu_1020#0,"""About Seasonal Enemies"""
npc_menu_1030#0,"""About Mischief Symbols"""
npc_menu_1040#0,"""About Seasonal Regional Mags"""
npc_menu_1050#0,"""“ランダマイト”について"""
npc_menu_2000#0,"""Never mind"""
