ssc_502070_0010#0,"""너도 왔구나."""
ssc_502070_0020#0,"""라이서스는,<br>이 크바리스의 부흥을 위해 평생을 바쳤어."""
ssc_502070_0030#0,"""밤낮으로 눈과 얼음에 갇힌 각지를 돌며<br>\""무슨 일이 일어났는지\""를 알아내려고 했어."""
ssc_502070_0040#0,"""과거 다크 펄스와의 싸움,<br>그 속에서 일어난 급격한 환경 변화…."""
ssc_502070_0050#0,"""방대한 조사 자료가 산장의 서재와<br>로스트 센트럴의 단말기에 남아 있었어."""
ssc_502070_0060#0,"""특히, 로스트 센트럴에는<br>시티의 현황을 정리한 자료 외에…."""
ssc_502070_0070#0,"""시티의 기능을 회복하기 위한<br>계획이 정리되어 있었어."""
ssc_502070_0080#0,"""\""로스트 센트럴\""이 아닌<br>\""최초의 센트럴 시티\""로서의 모습을 되찾기 위해."""
ssc_502070_0090#0,"""그의 뜻은, 이루마 일행이<br>앞으로도 계속 이어갈 것이라 생각해."""
ssc_502070_0100#0,"""시간이 얼마나 걸릴지는<br>모르겠지만."""
ssc_502070_0110#0,"""그리고, 또 하나…."""
ssc_502070_0120#0,"""라이서스의 보고서 중에는<br>센트럴 캐논의 데이터도 포함되어 있었어."""
ssc_502070_0130#0,"""크바리스의 아크스도,<br>다크 펄스 요격에 그 캐논을 사용하고 있었어."""
ssc_502070_0140#0,"""기록에 따르면, 거의 100%의 출력으로<br>동작의 안정성이 확보되어 있었던 것 같네."""
ssc_502070_0150#0,"""…서재에 있던 센트럴 캐논의<br>불완전한 보고서."""
ssc_502070_0160#0,"""그것을 이루마가 발견한 것이<br>이번 일의 시발점이야."""
ssc_502070_0170#0,"""이루마는 그 보고서를 크로퍼드에게 공유하며<br>의견을 주고받는 와중에 독자적인 연구도 진행하고 있었어."""
ssc_502070_0180#0,"""그 과정에서 로스트 센트럴에<br>더 많은 데이터가 남아있다는 것을 발견하고…."""
ssc_502070_0190#0,"""나머지는, 너희도 아시다시피."""
ssc_502070_0200#0,"""이제 완전한 데이터를 확보한 만큼,<br>센트럴 캐논의 개선은 더욱 진전될 거야."""
ssc_502070_0210#0,"""…라이서스 역시<br>더 나은 미래를 만드는 데 심혈을 기울이고 있었어."""
ssc_502070_0220#0,"""대단한 사람이었구나."""
ssc_502070_0230#0,"""그 마음은 우리들이 계승해 나갈 거야."""
ssc_502070_0240#0,"""그러네….<br>할파에는 훌륭한 사람들이 많이 있어."""
ssc_502070_0250#0,"""응.<br>그러네…."""
ssc_502070_0260#0,"""모두들, 열심히 살아가고 있어."""
ssc_502070_0270#0,"""자기 자신을 위해서 뿐만 아니라,<br>동료를 위해."""
ssc_502070_0280#0,"""너희들과 각 지역을 다니면서,<br>다양한 사람들을 만났어."""
ssc_502070_0290#0,"""각자의 입장은 달라도<br>그 마음만큼은 모두가 같아."""
ssc_502070_0300#0,"""…할파 사람들을 위해<br>내가 할 수 있는 일…."""
ssc_502070_0310#0,"""지금은 계속해서 그걸 생각하고 있어."""
