ssc_506010_0010#0,"""응…?<br>뭐야, <%me> 구나."""
ssc_506010_0020#0,"""이런 곳엔 웬일이야?"""
ssc_506010_0030#0,"""혼자서는 위험하지 않아?"""
ssc_506010_0040#0,"""산책 삼아, 이 부근의 에너미를 말이지."""
ssc_506010_0050#0,"""이 부근의 적들은 상대가 안 돼."""
ssc_506010_0060#0,"""그래.<br>마침 잘됐네. 한 가지 상담 좀 해 줄래?"""
ssc_506010_0070#0,"""그… 상담이란,<br>앞으로의 리템과 에아리오의 관계에 대한 거야."""
ssc_506010_0080#0,"""협력 체제를 갖추게 된 지금,<br>서로에 대해 더 많이 알아야 해."""
ssc_506010_0090#0,"""하지만 나는 에아리오에 대해<br>잘 알지 못해."""
ssc_506010_0100#0,"""특히, 전투 이외의 문화나<br>풍습에 대해서는 잘 몰라."""
ssc_506010_0110#0,"""그래서, 우선은 면식이 있는 너희들과<br>교류를 하고 싶다고 생각했어."""
ssc_506010_0120#0,"""뭐, 어려운 일은 아니야. 지금처럼<br>허물없이 대화를 나누기만 하면 돼."""
ssc_506010_0130#0,"""어떠려나?"""
ssc_506010_0140#0,"""얼마든지 괜찮아."""
ssc_506010_0150#0,"""나데레프와 대화할 수 있어서 기뻐."""
ssc_506010_0160#0,"""그렇구나. 다행이야."""
ssc_506010_0170#0,"""그, 그렇구나. 그럼 됐어."""
ssc_506010_0180#0,"""마논과는 간간히<br>기술적인 이야기 등을 나누고 있지만…."""
ssc_506010_0190#0,"""아이나랑은<br>이야기를 나눌 기회가 별로 없었어."""
ssc_506010_0200#0,"""…뭐랄까,<br>리템에는 그녀와 비슷한 성격을 가진 사람이 별로 없어."""
ssc_506010_0210#0,"""그래서, 대화할 소재를<br>잘 모르겠어."""
ssc_506010_0220#0,"""아이나와 평소에<br>어떤 식으로 대화를 나눴어?"""
ssc_506010_0230#0,"""예를 들면,<br>어떤 관심사라든가…."""
ssc_506010_0240#0,"""나데레프의 노래를 좋아해."""
ssc_506010_0250#0,"""상대방의 특기 이야기라든가."""
ssc_506010_0260#0,"""내 노래?"""
ssc_506010_0270#0,"""흠.<br>그런 주제로도 되는 건가."""
ssc_506010_0280#0,"""상대방의 특기?"""
ssc_506010_0290#0,"""내 경우는 싸움…<br>아니, 노래인가."""
ssc_506010_0300#0,"""그렇군.<br>도움이 됐어. 고마워."""
ssc_506010_0310#0,"""아직 한가한 거지? <br><%me>의 이야기도 들어보고 싶은데."""
ssc_506010_0320#0,"""일단은, 그래…."""
