ssc_508030_0010#0,"""어이쿠…….<br>뭐야 너구나."""
ssc_508030_0020#0,"""적인 줄 알고 당황했어."""
ssc_508030_0030#0,"""지난번에도 조사 중에 적에게 습격당해서,<br>타이바스 일행에게 폐를 끼친 적이 있었거든."""
ssc_508030_0040#0,"""다들 죽어라 싸우고 있는데<br>나만 희귀한 광석에 매달려서 말이야."""
ssc_508030_0050#0,"""……뭐, 그 얘기는 이제 접어두자."""
ssc_508030_0060#0,"""여기서 뭘 하고 있어?"""
ssc_508030_0070#0,"""지금도 조사 중이야?"""
ssc_508030_0080#0,"""아니, 딱히 아무것도."""
ssc_508030_0090#0,"""그저 경치를 바라보고 있었을 뿐."""
ssc_508030_0100#0,"""아니, 오늘은 그냥 기분 전환."""
ssc_508030_0110#0,"""계속 방에 틀어박혀 있는 것도,<br>생각이 굳어져서 안 좋으니까."""
ssc_508030_0120#0,"""요새,<br>계속해서 센트럴 캐논에 대한 생각을 하고 있었어."""
ssc_508030_0130#0,"""에아리오의 센트럴 캐논은,<br>로스트 센트럴 캐논의 데이터를 바탕으로 조정했어."""
ssc_508030_0140#0,"""두 캐논은 굉장히 비슷해."""
ssc_508030_0150#0,"""포토 제너레이터의 개수라든가,<br>커패시터 유닛의 포톤 축적량이라든가……."""
ssc_508030_0160#0,"""스펙상으로는 꽤 다르지만,<br>기본 구조는 거의 비슷해."""
ssc_508030_0170#0,"""그래서 로스트 센트럴의 캐논을 조사해 보면,<br>에아리오의 캐논의 문제는 거의 해소할 수 있었다."""
ssc_508030_0180#0,"""……라는 건, 즉……."""
ssc_508030_0190#0,"""센트럴 캐논이라는 것은,<br>어느 정도는 양산성을 고려하여 설계되었다는 뜻이 되겠지."""
ssc_508030_0200#0,"""애초에 로스트 센트럴과<br>센트럴 시티 자체의 유사성이 높아."""
ssc_508030_0210#0,"""생긴 것 뿐만이 아니라,<br>도시로서의 구조도."""
ssc_508030_0220#0,"""센트럴 시티는,<br>로스트센트럴을 본떠서 세워졌어."""
ssc_508030_0230#0,"""그러니 닮은 게 당연하겠지만,<br>그 기초를 만든 것은 '우리'가 아니야……."""
ssc_508030_0240#0,"""센트럴 시티도 도시 기반은,<br>원래 그 자리에 있던 것을 가져다 썼을 뿐이야."""
ssc_508030_0250#0,"""'누군가'가 만든 설계도를 바탕으로,<br>자재들을 모아 도시 구조를 재현한 것에 불과해."""
ssc_508030_0260#0,"""……실은 얼마 전에,<br>리템 시티 지하에서 거대한 컨테이너가 발견됐어."""
ssc_508030_0270#0,"""안에 들어있던 물건은,<br>센트럴 캐논의 부품."""
ssc_508030_0280#0,"""이것도 에아리오와 크바리스의 캐논과<br>거의 같은 것이었어."""
ssc_508030_0290#0,"""리템 시티는,<br>지금은 저 모양이지만……."""
ssc_508030_0300#0,"""어쩌면 센트럴 시티와 비슷한 도시가,<br>만들어질 예정이었을지도 몰라."""
ssc_508030_0310#0,"""……만든다니, 누가?"""
ssc_508030_0320#0,"""……옛날 리템 사람들이?"""
ssc_508030_0330#0,"""……그거 말이 되네."""
ssc_508030_0340#0,"""아니, 그게 아니라."""
ssc_508030_0350#0,"""지금의 할파 사람들과는 다른<br>……'누군가'."""
ssc_508030_0360#0,"""할파 곳곳에,<br>거대한 건축물을 남기고 홀연히 사라진 존재……."""
ssc_508030_0370#0,"""있었던 것만은 틀림없지만,<br>지금까지 우리는 그 공백에 대한 고찰을 하지 않았었어."""
ssc_508030_0380#0,"""이번 발견으로 그 '누군가'에 대해서,<br>본격적으로 조사할 때가 온 것 같아."""
ssc_508030_0390#0,"""그들이 과거에 무엇을 하려고 했던 것일까."""
ssc_508030_0400#0,"""과거에 무엇이 있었는지……."""
ssc_508030_0410#0,"""그걸 알아내는 게, 앞으로의 우리들에게<br>필요한 일이라는 생각이 들어."""
ssc_508030_0420#0,"""머지않은 미래에 다크 펄스보다 더 큰 위협이,<br>나타나지 않을 거라는 보장은 없어."""
ssc_508030_0430#0,"""모든 가능성에 대비하기 위해서는,<br>더 많은 것을 알고 있어야 해……."""
ssc_508030_0440#0,"""그래서……."""
ssc_508030_0450#0,"""……아아, 미안.<br>또 혼자 떠들어댔네."""
ssc_508030_0460#0,"""좀 더 여러 가지를 명확히 하고 나서,<br>나중에 더 알기 쉽게 설명할게."""
ssc_508030_0470#0,"""후…….<br>우선은 더 많은 단서를 찾아야겠어."""
ssc_508030_0480#0,"""크로퍼드나 에아리오의 연구원들과도,<br>정보 교환을 진행할 생각이야."""
ssc_508030_0490#0,"""가능하다면 리템과도."""
ssc_508030_0500#0,"""뭐랄까, 너랑 얘기했더니,<br>머릿속이 정리된 것 같네."""
ssc_508030_0510#0,"""얘기를 들어줘서 고마워."""
ssc_508030_0520#0,"""당장 산장으로 돌아가서,<br>이것저것 정리해 볼게."""
ssc_508030_0530#0,"""그럼 또 봐."""
