ssc_501090_0010#0,"""앗, <%me>도<br>여기 왔구나."""
ssc_501090_0020#0,"""나는 지금 막 산장으로 가려던 참이야.<br>메리와 만나기로 약속했거든."""
ssc_501090_0030#0,"""메리와 친해진 모양이네."""
ssc_501090_0040#0,"""무슨 부탁이 있어?"""
ssc_501090_0050#0,"""응, 맞아."""
ssc_501090_0060#0,"""이루마를 구출한 뒤에도,<br>가끔씩 산장에 놀러 가곤 했어."""
ssc_501090_0070#0,"""아니.<br>오늘은 둘이서 수다만 떨려고."""
ssc_501090_0080#0,"""메리는, 처음 만났을 때부터<br>왠지 예전부터 알고 지낸 친구 같은 느낌이 들었어."""
ssc_501090_0090#0,"""마논을 만나기 전까지는<br>주변에 나이가 비슷한 아이는 없었는데."""
ssc_501090_0100#0,"""자라온 환경도 전혀 다른데,<br>왜 그럴까 생각했는데…."""
ssc_501090_0110#0,"""얼마 전에, 형제끼리 싸우는 걸<br>메리가 말리는 것을 보고 깨달았어."""
ssc_501090_0120#0,"""에아리오 타운 사람들은<br>평소에는 사이좋게 지냈지만, 조금만 어긋나면"""
ssc_501090_0130#0,"""서로에 대한 자부심이라든가, 고집이라든가, 그런 것들이<br>있는 사람들이라 좀처럼 물러서지 않았어."""
ssc_501090_0140#0,"""그래서 내가 종종 말리곤 했어."""
ssc_501090_0150#0,"""왠지, 메리와는 그 안에서 역할이<br>닮았구나 싶었어."""
ssc_501090_0160#0,"""그 밖에도, 전투에 지쳐서 돌아온 사람들에게<br>요리를 대접한다든지."""
ssc_501090_0170#0,"""많이 먹어주는 것은 좋지만<br>만든 음식이 금방 없어지기도 하고."""
ssc_501090_0180#0,"""이 다음에는 저게 먹고 싶다.<br>이게 먹고 싶다고 부탁을 받기도 하고…."""
ssc_501090_0190#0,"""그런 이야기를 하면,<br>메리도 '알았어 알았어'라고 말하고."""
ssc_501090_0200#0,"""그래서 서로 공감하면서<br>둘이서 자주 만나고 있어."""
ssc_501090_0210#0,"""괜찮으면 너도 올래?"""
ssc_501090_0220#0,"""너희 둘을 방해하면 안 되니까."""
ssc_501090_0230#0,"""미안, 다른 용무가 있어서…."""
ssc_501090_0240#0,"""그런 건 아니지만…."""
ssc_501090_0250#0,"""하지만, 메리한테도 말 안 했으니까<br>갑자기 데려가면 깜짝 놀랄지도 모르겠네."""
ssc_501090_0260#0,"""그래. 그렇구나.<br>그럼, 다음에 또 보자!"""
ssc_501090_0270#0,"""그렇구나.<br>그럼, 다음에 또 보자."""
ssc_501090_0280#0,"""아, 슬슬 시간이 됐네.<br>가야겠네."""
ssc_501090_0290#0,"""그럼 안녕!"""
