ssc_506020_0010#0,"""……."""
ssc_506020_0020#0,"""…아니야."""
ssc_506020_0030#0,"""…뭔가 달라…."""
ssc_506020_0040#0,"""음?<br>거기 누구야."""
ssc_506020_0050#0,"""뭐야, <%me>인가."""
ssc_506020_0060#0,"""후후, 기척을 숨기는데 능숙하구나.<br>역시, 보통이 아니네."""
ssc_506020_0070#0,"""이런 데서 무엇을?"""
ssc_506020_0080#0,"""무슨 연습 중?"""
ssc_506020_0090#0,"""뭐, 그냥 일상이야."""
ssc_506020_0100#0,"""여긴 혼자서 수련을 하기에<br>적당한 장소야."""
ssc_506020_0110#0,"""연습…?<br>연습이라고 하면 연습인가."""
ssc_506020_0120#0,"""…춤 훈련이야."""
ssc_506020_0130#0,"""훈련이라고 해도<br>스승은 이제 없지만."""
ssc_506020_0140#0,"""우리 일족이 가진 것은 \""노래\""의 힘이야."""
ssc_506020_0150#0,"""하지만 그 힘은 노래만으로<br>이루어지는 것이 아니야."""
ssc_506020_0160#0,"""노래와 춤이 하나가 되어야만<br>비로소 진정한 힘을 발휘할 수 있어…."""
ssc_506020_0170#0,"""그래, 어머니에게 가르침을 받아왔어."""
ssc_506020_0180#0,"""나는 노래는 그렇다 쳐도<br>이 춤을 잘 못 췄어."""
ssc_506020_0190#0,"""연습할 때면 어머니에게<br>몇 번이나 꾸중을 들었던 기억이 나네."""
ssc_506020_0200#0,"""…사람들 앞에서 노래하는 것을<br>그만둔 뒤로는 오랫동안 춤을 추지 않았는데."""
ssc_506020_0210#0,"""다시 노래를 부르게 된 이상,<br>춤도 소홀히 할 수 없어."""
ssc_506020_0220#0,"""그래서 시간을 짜내서 훈련하고 있어."""
ssc_506020_0230#0,"""…라고, 이야기를 해 놨지만…."""
ssc_506020_0240#0,"""남이 보는 앞에서는 하기 힘들어."""
ssc_506020_0250#0,"""좀 더 완성도가 높아지면<br>너에게 평가받는 것도 나쁘지 않지만."""
ssc_506020_0260#0,"""아니면<br>너도 같이 춤춰볼래?"""
ssc_506020_0270#0,"""춤은 좀…."""
ssc_506020_0280#0,"""전투 훈련이라면…."""
ssc_506020_0290#0,"""후후후, 농담이야."""
ssc_506020_0300#0,"""흠.<br>그건 그것대로, 흥미롭네.."""
ssc_506020_0310#0,"""하지만, 다음 기회에 하자."""
ssc_506020_0320#0,"""춤도 노래도, 사람들 앞에서 선보이기 전에<br>제대로 정리해 둬야지."""
ssc_506020_0330#0,"""그땐 너희들도 보러 와줘."""
ssc_506020_0340#0,"""그럼 이만."""
ssc_506020_0350#0,"""…암벽의 그림자에서<br>엿보지 말아줘."""
