ssc_504040_0010#0,"""안녕, 잘 왔어."""
ssc_504040_0020#0,"""센트럴 캐논에 대한걸<br>정리하던 중이었어.."""
ssc_504040_0030#0,"""이루마가 보내준 데이터 덕분에,<br>곳곳에서 발생한 기술적 문제점을 파악할 수 있었어.."""
ssc_504040_0040#0,"""이 모든 것이,<br>너희들 덕분이야."""
ssc_504040_0050#0,"""정말 고마워."""
ssc_504040_0060#0,"""모두가 노력했다."""
ssc_504040_0070#0,"""이루마도 훌륭하구나!."""
ssc_504040_0080#0,"""그렇네."""
ssc_504040_0090#0,"""너희들과 다섯 남매가<br>서로 협력해서 해결했다고 들었어."""
ssc_504040_0100#0,"""그렇네."""
ssc_504040_0110#0,"""이루마는 내가 갖지 못한 관점을 많이 가지고 있어.<br>훌륭한 엔지니어야."""
ssc_504040_0120#0,"""…이루마와의 첫 만남은 좀 재미있었어."""
ssc_504040_0130#0,"""어느날 내가 정리한 데이터에,<br>라이브러리에서, 익명의 의견이 올라왔었어."""
ssc_504040_0140#0,"""읽어보니 데이터 오류들이,<br>세세하게 적혀 있더라고."""
ssc_504040_0150#0,"""\""이런, 바보같이\"" 싶어서 다시 찾아보니,<br>확실히 적혀있는 그대로였어."""
ssc_504040_0160#0,"""그래서 어떤 상대일까 궁금해서,<br>주소를 찾아봤더니…."""
ssc_504040_0170#0,"""발신지는 크바리스."""
ssc_504040_0180#0,"""그 상황에서 떠오르는 사람은 단 한 명."""
ssc_504040_0190#0,"""하지만 예전에 교류하던 라이서스가,<br>죽었단 사실은 알고 있었기 때문에 놀랐지…."""
ssc_504040_0200#0,"""산장에 연락을 했더니,<br>이루마로부터 답변이 도착했어.."""
ssc_504040_0210#0,"""이야기를 들어보니,<br>기계를 다루는 법은 독학으로 배웠다고 하더라고."""
ssc_504040_0220#0,"""이론을 무시한 발상이,<br>나에게는 신선하게 느껴졌어."""
ssc_504040_0230#0,"""그 후로 여러가지<br>조언을 구하게 되었어."""
ssc_504040_0240#0,"""센트럴 캐논에 대한 것도 말이지."""
ssc_504040_0250#0,"""이루마는 지금 라이서스가 남긴 방대한 자료를<br>읽고 있는 중이라고 해."""
ssc_504040_0260#0,"""지금까지의 독창성에,<br>이론까지 갖추면 적수가 없겠네."""
ssc_504040_0270#0,"""나도, 가만히 있어선 안 되겠네."""
ssc_504040_0280#0,"""…자 그럼 이제부터<br>센트럴 캐논의 수리를 본격적으로 시행 해야겠네."""
ssc_504040_0290#0,"""다음 전투에<br>만반의 준비를 갖추기 위해서."""
