ssc_509030_0010#0,"""후우.<br>이제 얼마 남지 않았네."""
ssc_509030_0020#0,"""…어라?<br>와줬구나."""
ssc_509030_0030#0,"""무덤을 가꾸는거야?"""
ssc_509030_0040#0,"""가족과 얘기하고 있었어?"""
ssc_509030_0050#0,"""맞아.<br>가만히 놔두면 금방 눈에 묻혀 버리거든."""
ssc_509030_0060#0,"""그러네….<br>부모님이랑, 할아버지랑…."""
ssc_509030_0070#0,"""실은, 그…."""
ssc_509030_0080#0,"""여기엔 아무도 없어."""
ssc_509030_0090#0,"""아빠도, 엄마도,<br>할아버지도…."""
ssc_509030_0100#0,"""아빠와 엄마에 대해서는<br>잘 떠오르지 않아."""
ssc_509030_0110#0,"""우리가 아직 어렸을 때<br>라트바 산에서 조난을 당하고, 그 후로 헤어졌대."""
ssc_509030_0120#0,"""그래서 우리들은,<br>할아버지에게 키워졌어."""
ssc_509030_0130#0,"""이, 눈의 세계에서 사는 법은<br>할아버지가 다 가르쳐 주셨어."""
ssc_509030_0140#0,"""그런 할아버지도,<br>얼마 전 눈보라 치던 날 밤에…."""
ssc_509030_0150#0,"""에아리오의 사람들이<br>수색을 도와주셨어."""
ssc_509030_0160#0,"""어디서 조난을 당했는지<br>실마리조차 찾지 못했어."""
ssc_509030_0170#0,"""그 이후로 우리는<br>우리들끼리만 살아가게 됐어."""
ssc_509030_0180#0,"""에아리오 사람들은<br>센트럴 시티로 이주할 것을 권유했어."""
ssc_509030_0190#0,"""하지만 우리는.<br>할아버지의 뜻을 이어가기로 결정했으니까."""
ssc_509030_0200#0,"""여기에 남아서 활동했던 거야."""
ssc_509030_0210#0,"""하지만, 어째서인지 계속<br>잘 풀리지 않았지…."""
ssc_509030_0220#0,"""다들, 최선을 다해서, <br>자신이 할 수 있는 일을 하려고 노력했는데."""
ssc_509030_0230#0,"""한 사람 한 사람의 마음이<br>전혀 맞물리지 않았어."""
ssc_509030_0240#0,"""방침의 차이로<br>자주 싸우기도 했어."""
ssc_509030_0250#0,"""무엇이 문제인지,<br>무엇이 잘못됐는지."""
ssc_509030_0260#0,"""알지 못한 채,<br>시간만 흘러갔어."""
ssc_509030_0270#0,"""그 잘못을 깨달은 건,<br>이루마가 사라지고 나서야."""
ssc_509030_0280#0,"""너희들이 와 준 이후로."""
ssc_509030_0290#0,"""계속, 잘못된 채로 있지 않고<br>정말 다행이야."""
ssc_509030_0300#0,"""너희 덕분에,<br>앞으로는 실수하지 않고 앞으로 나아갈 수 있을 것 같아."""
ssc_509030_0310#0,"""\""로스트 센트럴\""에 관한 것도."""
ssc_509030_0320#0,"""이 앞에 기다리고 있는<br>강대한 적과의 싸움도."""
ssc_509030_0330#0,"""…무슨 일이 생기면<br>바로 알려줘."""
ssc_509030_0340#0,"""이번엔 우리가<br>너를 도울 차례니까."""
ssc_509030_0350#0,"""그…, 나 혼자서는<br>큰 힘이 되진 못하겠지만"""
ssc_509030_0360#0,"""5명이 모이면,<br>누구에게도 꿀리지 않는 힘을 발휘할 수 있을 테니까."""
ssc_509030_0370#0,"""다시 한 번 약속할게."""
ssc_509030_0380#0,"""할아버지와 함께…,<br>아빠, 엄마 앞에서"""
ssc_509030_0390#0,"""너희들의 싸움을<br>최선을 다해 지원하겠다고.."""
ssc_509030_0400#0,"""믿고 의지해줘."""
