ssc_507030_0010#0,"""<%me>구나."""
ssc_507030_0020#0,"""뭐 하고 있어?"""
ssc_507030_0030#0,"""아래에 뭐가 있어?"""
ssc_507030_0040#0,"""에아리오의 사람들에게서<br>마크아드 하층부에 대한 조사를 부탁받았거든."""
ssc_507030_0050#0,"""바람을 쐬면서<br>생각을 정리하고 있는 참이야."""
ssc_507030_0060#0,"""음.<br>에아리오의 사람들에게서 부탁받은 일을 하고 있었지."""
ssc_507030_0070#0,"""이 마크아드 하층부에 가서<br>조사를 하고 있는 중이야."""
ssc_507030_0080#0,"""자네도 알다시피,<br>이 큰 구멍의 밑바닥에는 거대한 공간이 있다."""
ssc_507030_0090#0,"""그곳에는 거대한 구조물들이 줄지어 있다."""
ssc_507030_0100#0,"""과거 문헌에는 그것들이<br> \""에너지 플랜트\""라고 적혀 있었다."""
ssc_507030_0110#0,"""즉, 어떤 에너지를<br>만들어내는 장치라는 뜻이다."""
ssc_507030_0120#0,"""…다만, 예전의 우리에게는<br>더 이상 조사할 여력이 없었다."""
ssc_507030_0130#0,"""이 땅은, \""레누스 리템\""의 근거지,<br>그 이상의 존재가 아니었어."""
ssc_507030_0140#0,"""하지만 지금은 어느 정도 시간적인 여유가 생겼다."""
ssc_507030_0150#0,"""거기다 에아리오 사람들로부터<br>조사 의뢰가 들어왔어."""
ssc_507030_0160#0,"""예전부터 관심을 가지고 있던 내가<br>이름을 올린 것이다."""
ssc_507030_0170#0,"""요즘은 정기적으로 에아리오의 조사관도 와서<br>여러 가지 조사가 진행되고 있다."""
ssc_507030_0180#0,"""나도 지금까지 경험해보지 못한 일을 하게 되었구나."""
ssc_507030_0190#0,"""플랜트에 대해서는 서서히나마 알게 된 것이 있다."""
ssc_507030_0200#0,"""그 시설들은 아직 일부가 가동되고 있는 것 같다."""
ssc_507030_0210#0,"""플랜트에서 만들어진 에너지는<br>리템 시티에도 보내지고 있는 것 같다."""
ssc_507030_0220#0,"""이건 누군가 정비할 필요도 없이<br>거의 영구적으로 계속 작동한다고 한다."""
ssc_507030_0230#0,"""나로서는 상상도 할 수 없는 기계다."""
ssc_507030_0240#0,"""어쨌든, 적의 본거지에서 만들어진 것으로<br>우리가 생활하고 있었다니, 참으로 아이러니한 이야기다."""
ssc_507030_0250#0,"""…그리고, 또 하나."""
ssc_507030_0260#0,"""마크아드의 시설에서<br>돌즈에 관한 흔적이 발견되었다."""
ssc_507030_0270#0,"""흔적이라니?"""
ssc_507030_0280#0,"""돌즈의 뭐가?"""
ssc_507030_0290#0,"""아직 자세한 것은 알 수 없어."""
ssc_507030_0300#0,"""에아리오의 조사관들은 시설의 일부에서<br>돌즈와 관련된 것이 있었다고 해."""
ssc_507030_0310#0,"""아니, 자세한 것은 조사 중이다."""
ssc_507030_0320#0,"""다만, 시설의 일부에서<br>돌즈의 신체 조직과 일치하는 것이 발견되었다고 한다."""
ssc_507030_0330#0,"""우리는 단순히 건물이 있는 큰 구멍에<br>돌즈가 모여 있는 줄로만 알았는데……."""
ssc_507030_0340#0,"""시설 자체가 돌즈와 관련이 있다면<br>뭔가 수상한 느낌이 든다."""
ssc_507030_0350#0,"""…뭐, 지금으로서는 뭐라 말하기 어렵다."""
ssc_507030_0360#0,"""또, 뭔가 알게 되면<br>너희들에게도 알려주도록 하지."""
ssc_507030_0370#0,"""후우…. 그나저나, 싸움이나 악기 말고도<br>내 흥미를 끄는 게 있긴 하는군."""
ssc_507030_0380#0,"""세상만사,<br>연구자라는 길도 있었을지도 모르겠군."""
ssc_507030_0390#0,"""역시 삶이란<br>무슨 일이 일어날지 모르는 것이구나."""
