ssc_506040_0010#0,"""<%me>인가."""
ssc_506040_0020#0,"""각지에서 활약하는 모습,<br>익히 들어 알고 있어."""
ssc_506040_0030#0,"""스티아에서도<br>큰 전과를 올린 모양이네."""
ssc_506040_0040#0,"""딱히 대단한 일을 한 건 아니야."""
ssc_506040_0050#0,"""모두가 노력한 결과야."""
ssc_506040_0060#0,"""너무 겸손하게 굴지 않아도 괜찮아."""
ssc_506040_0070#0,"""네 실력은<br>모두가 알고 있는 사실이야."""
ssc_506040_0080#0,"""그렇지."""
ssc_506040_0090#0,"""우리도 너희와 함께 싸웠고,<br>승리를 거뒀지."""
ssc_506040_0100#0,"""각자의 힘만으로는<br>돌즈를 이길 수 없어."""
ssc_506040_0110#0,"""…그런데 스티아에는<br>수많은 돌즈 관련 시설들이 있었다고 들었어."""
ssc_506040_0120#0,"""그중에서도 플랜트라는 곳은<br>마크아드 하층부와 매우 유사한 곳 …"""
ssc_506040_0130#0,"""그곳에 돌즈를 제조하는 시설도 있었던 건가."""
ssc_506040_0140#0,"""으음…"""
ssc_506040_0150#0,"""돌즈은 자연적으로 발생하는<br>생물체 정도라고 생각했는데…"""
ssc_506040_0160#0,"""아무래도 다른 모양이군."""
ssc_506040_0170#0,"""돌즈를… 만든 자가 따로 있는 걸까? <br>누가, 언제, 무얼 위해?"""
ssc_506040_0180#0,"""…아니, 궁금한 게 많지만, 안타깝게도<br>그런 조사를 하기에는 한계가 있어."""
ssc_506040_0190#0,"""크로포드 일행에게 맡겨두자."""
ssc_506040_0200#0,"""우리 리템의 아크스는<br>새로운 전투를 준비하고 있어."""
ssc_506040_0210#0,"""드디어 레누스 리템과의 싸움에서 입은 상처가 아물고,<br>각 부대의 재편이 진행되고 있어."""
ssc_506040_0220#0,"""세계의 미지의 것들이 알려지고 있는 상황에서<br>언제까지나 방어적인 자세로 있을 수는 없지."""
ssc_506040_0230#0,"""공격 체제를 정비해 나갈 거야."""
ssc_506040_0240#0,"""앞으로는 에아리오뿐만 아니라 크바리스,<br>스티아와의 연계도 생각해야 해."""
ssc_506040_0250#0,"""이루마 일행의 팀워크는 훌륭해."""
ssc_506040_0260#0,"""그렌 일행은 프로페셔널한 집단이야."""
ssc_506040_0270#0,"""소수정예로 크바리스 재건에 전념하고 있다고 들었어."""
ssc_506040_0280#0,"""호오, 이쪽도 만만치 않군."""
ssc_506040_0290#0,"""최근에는 사람들의 의식도 바뀌기 시작했어."""
ssc_506040_0300#0,"""전해 내려오는 리템의 전통을 중시하면서도…"""
ssc_506040_0310#0,"""다른 생각을 가진 이들과 손을 맞잡는다."""
ssc_506040_0320#0,"""그 관계 속에서 변화를 두려워해서는 안 된다."""
ssc_506040_0330#0,"""선입견을 갖지 않고, 좋은 것은 과감하게 받아들인다."""
ssc_506040_0340#0,"""수많은 위협에 맞서기 위해서는<br>그것이 옳은 선택이라는 것을 몸소 배웠어."""
ssc_506040_0350#0,"""…아직 큰 싸움이 기다리고 있어."""
ssc_506040_0360#0,"""평온한 삶을 위해<br>피할 수 없는 길이기도 해."""
ssc_506040_0370#0,"""앞으로도 함께 노력하자.<br>잘 부탁한다."""
