ssc_503060_0010#0,"""너구나."""
ssc_503060_0020#0,"""리템에서 만나는 건,<br>레누스와의 결전 이후 처음이군."""
ssc_503060_0030#0,"""왜 이런곳에 온거지?"""
ssc_503060_0040#0,"""무슨 일 있어?"""
ssc_503060_0050#0,"""하디 일행과 의논할 일이 있어서<br>리템 시티에 들렀다."""
ssc_503060_0060#0,"""그것도 끝났고,<br>지금은 잠시 쉬고 있는 중이다."""
ssc_503060_0070#0,"""아니, 걱정할 거 없어.<br>그냥 하디 일행과 정기적인 연락을 하는 것뿐이다."""
ssc_503060_0080#0,"""통신으로도 충분하지만,<br>직접 만나는 것이 좋다고 생각했거든."""
ssc_503060_0090#0,"""그리고 그 용무도 끝났고,<br>지금은 여기서 쉬고 있는 중이다."""
ssc_503060_0100#0,"""하디와는 오래전부터 알고 지낸 사이야."""
ssc_503060_0110#0,"""……벌써 꽤 오래된 일이지만……."""
ssc_503060_0120#0,"""리템 원정 중에 <br>돌즈 무리에게 습격을 당한 적이 있었어."""
ssc_503060_0130#0,"""그때 만난 것이 하디야."""
ssc_503060_0140#0,"""우리도 고전을 면치 못했지만,<br>그의 부대는 그보다 더 많은 피해를 입었지."""
ssc_503060_0150#0,"""하디는 훌륭하고 용감한 아크스지만,<br>그 무렵에는 동료를 지키기 위해 혼자서 너무 나섰다."""
ssc_503060_0160#0,"""그런데 그때, 사방에서 돌스가 공격해 왔어."""
ssc_503060_0170#0,"""내가 합류해 곤경에 처한 그를 구한 거다."""
ssc_503060_0180#0,"""이후 그와 전우로서<br>친하게 지내고 있다."""
ssc_503060_0190#0,"""같은 캐스트이고, 리더를 지지하는 사람으로서<br>뜻이 통해서인지 모르겠군.."""
ssc_503060_0200#0,"""한때는 리템의 전황이 악화되고<br>이쪽도 파병할 여력이 없어 교류가 단절되기 십상이었으나…."""
ssc_503060_0210#0,"""지금은 예전과 같은 관계를 되찾고 있다."""
ssc_503060_0220#0,"""이 모든 것이,<br>너희들의 활약 덕분이다."""
ssc_503060_0230#0,"""진심으로 고맙다."""
