ssc_509040_0010#0,"""어라? 너구나."""
ssc_509040_0020#0,"""나도 들었어.<br>스티아에 다녀왔다고 들었어."""
ssc_509040_0030#0,"""엄청 힘든 곳이지?"""
ssc_509040_0040#0,"""돌즈의 대군이 있어서,<br>밤낮없이 싸움이 계속된다고 하던데."""
ssc_509040_0050#0,"""보니까 너는 무사한 것 같은데,<br>다른 두 사람은……?"""
ssc_509040_0060#0,"""문제없어."""
ssc_509040_0070#0,"""많이 힘들었어."""
ssc_509040_0080#0,"""그래?<br>다행이야……."""
ssc_509040_0090#0,"""뭐어!?<br>괜찮아?"""
ssc_509040_0100#0,"""그, 그럼 다행이지만……."""
ssc_509040_0110#0,"""요즘 연락이 없길래<br>걱정하고 있었어."""
ssc_509040_0120#0,"""그래도 건강해 보이는 모습을 보니 안심했어."""
ssc_509040_0130#0,"""혹시 곤란한 일이 생기면,<br>바로 얘기해줘."""
ssc_509040_0140#0,"""전에 말했잖아.<br>최선을 다해 도와주겠다고."""
ssc_509040_0150#0,"""의지하고 있어."""
ssc_509040_0160#0,"""두 사람한테도 전해줄게."""
ssc_509040_0170#0,"""응, 바로 달려갈게."""
ssc_509040_0180#0,"""남매 모두는……<br>안 모일 수도 있겠지만."""
ssc_509040_0190#0,"""응, 부탁할게."""
ssc_509040_0200#0,"""오랜만에,<br>같이 얘기하고 싶어."""
ssc_509040_0210#0,"""……아, 그래.<br>이쪽의 근황도 조금 얘기해 줄게."""
ssc_509040_0220#0,"""이루마가 그러는데, 로스트 센트럴의 조사 말인데,<br>상당히 진척이 있는 것 같아."""
ssc_509040_0230#0,"""에어리오의 아크스들도,<br>적극적으로 도와주고 있어."""
ssc_509040_0240#0,"""그리고 최근에는 리템에서도,<br>아크스가 오고 있는 모양이야."""
ssc_509040_0250#0,"""전투뿐만 아니라,<br>조사, 연구에도 참여하고 있다고 들었어."""
ssc_509040_0260#0,"""리템의 아크스는 힘이 전부라고<br>할아버지한테 들었는데……."""
ssc_509040_0270#0,"""예전과는 많이 달라진 모양이네."""
ssc_509040_0280#0,"""현지에서 수집한 자료는,<br>이루마가 할아버지의 방에서 정리하고 있어."""
ssc_509040_0290#0,"""지금은 남겨진 자료의<br>사실 확인을 하고 있다고 했어."""
ssc_509040_0300#0,"""하지만…… 그 이후로,<br>할아버지로부터의 메시지는 없나 보네."""
ssc_509040_0310#0,"""로스트 센트럴이라면 더 많은<br>단서를 찾을 수 있을 거라 생각했는데……."""
ssc_509040_0320#0,"""언젠가는 찾을 수 있을 거야."""
ssc_509040_0330#0,"""아직 찾지 못한 곳이 있을지도 모르잖아?"""
ssc_509040_0340#0,"""그렇겠지.<br>희망을 버리지 않고 열심히 할게."""
ssc_509040_0350#0,"""그렇겠지.<br>눈 아래는 거의 손길이 닿지 않았으니까."""
ssc_509040_0360#0,"""서두르지 않고,<br>차근차근 진행해 나갈 생각이야."""
ssc_509040_0370#0,"""크바리스의 부활도,<br>할아버지의 단서를 찾는 것도."""
ssc_509040_0380#0,"""진전이 있으면 연락할게."""
ssc_509040_0390#0,"""어쩌면,<br>도움을 받을 수 있을지도 몰라."""
ssc_509040_0400#0,"""그때는,<br>서로가 서로에게 도움이 될 거야."""
ssc_509040_0410#0,"""잘 부탁해!"""
