ssc_509010_0010#0,"""응?<br>너도 장보러 왔어?"""
ssc_509010_0020#0,"""전투 준비하러."""
ssc_509010_0030#0,"""메리야 말로."""
ssc_509010_0040#0,"""그렇구나."""
ssc_509010_0050#0,"""나는 남는 식재료를 교환하러 왔어."""
ssc_509010_0060#0,"""나는 남는 식재료를 교환 하려고 왔어."""
ssc_509010_0070#0,"""여기 있는 사람들도<br>부족한 식재료를 구할 수 있어서 다행이래."""
ssc_509010_0080#0,"""…예전에는 여기에<br>아무도 없어서 고요하게 있었어."""
ssc_509010_0090#0,"""때때로, 에아리오의 아크스가<br>조사라든가, 발굴이라든가 하러 오곤 했었지만."""
ssc_509010_0100#0,"""정말, 어쩌다 한 번씩 오는 정도였어."""
ssc_509010_0110#0,"""그런데, 너희들을 만났을 무렵에<br>많은 사람들이 찾아왔어."""
ssc_509010_0120#0,"""처음에는 깜짝 놀랐어."""
ssc_509010_0130#0,"""그렇게 많은 사람을 본 것은<br>처음이었거든."""
ssc_509010_0140#0,"""나뿐만 아니라<br>우리 남매 모두 긴장하고 있었어."""
ssc_509010_0150#0,"""이루마 일로 인해<br>너무 힘들었거든."""
ssc_509010_0160#0,"""그러다가 조금 진정이 되면서<br>점점 이야기를 나누기 시작했어."""
ssc_509010_0170#0,"""그러다 문득, 좋은 분들인 걸 알게 됐어."""
ssc_509010_0180#0,"""'힘든 일은 없느냐',<br>'밥은 잘 챙겨먹고 있느냐' 라던가."""
ssc_509010_0190#0,"""마치 자기 자식처럼<br>걱정해 주는 사람도 있고."""
ssc_509010_0200#0,"""지금까지는 우리끼리 모든 걸 알아서 해왔기 때문에<br>그게 당연하게 여겨졌지만…."""
ssc_509010_0210#0,"""서로 돕는다는 의미를,<br>다시 한 번 배운 것 같아."""
ssc_509010_0220#0,"""'너희들은, 더 많이 서로 돕거라'라는 말이<br>할아버지의 입버릇이었어."""
ssc_509010_0230#0,"""하지만, 그 진짜 의미는<br>계속 이해하지 못했던 것 같아."""
ssc_509010_0240#0,"""그저 형식적으로 도와주는 것만으로는 안 돼."""
ssc_509010_0250#0,"""상대가 곤란한 것을<br>알아차릴 수 있게."""
ssc_509010_0260#0,"""내가 곤경에 처했을 때,<br>상대에게 도움을 요청하는 것."""
ssc_509010_0270#0,"""그게 바로 진정한 협력 관계래."""
ssc_509010_0280#0,"""여기 사람들과…."""
ssc_509010_0290#0,"""너희들에게서 배운 거야."""
ssc_509010_0300#0,"""다시 한 번 말할게."""
ssc_509010_0310#0,"""이루마의 구출을<br>도와줘서 정말 고마워."""
ssc_509010_0320#0,"""찾을 수 있어서 정말 다행이야."""
ssc_509010_0330#0,"""모두들 열심히 했으니까."""
ssc_509010_0340#0,"""응, 정말로."""
ssc_509010_0350#0,"""정말, 그러네."""
ssc_509010_0360#0,"""그 경험이 없었다면, 우리 다섯 명은,<br>계속 마음이 뿔뿔이 흩어져 있었을 것 같아."""
ssc_509010_0370#0,"""앞으로는 5명이서 잘 협력해서<br>헤쳐 나갈 거야."""
ssc_509010_0380#0,"""물론 여기 있는 사람들과도."""
ssc_509010_0390#0,"""너도 뭔가 있으면<br>부담 갖지 말고 말해줘."""
ssc_509010_0400#0,"""내가 할 수 있는 한,<br>해주고 싶다는 마음이 있으니까."""
