ssc_509020_0010#0,"""어라, 어서 와."""
ssc_509020_0020#0,"""오늘은 무슨 일이야?"""
ssc_509020_0030#0,"""몸은 좀 어때?"""
ssc_509020_0040#0,"""다들 잘 지내?"""
ssc_509020_0050#0,"""응, 덕분에 잘 지내고 있어."""
ssc_509020_0060#0,"""응, 너무 잘 지내고 있어."""
ssc_509020_0070#0,"""이루마는 늘 그렇듯이<br>연구에 몰두하고 있고."""
ssc_509020_0080#0,"""타이바스랑 툴리는,<br>누가 더 많은 적을 쓰러뜨렸는지를 경쟁하는 것 같아."""
ssc_509020_0090#0,"""쿠카도<br>내 일을 잘 도와주고 있어."""
ssc_509020_0100#0,"""그런 점은 변함이 없네."""
ssc_509020_0110#0,"""하지만 달라진 점도 있어…."""
ssc_509020_0120#0,"""쿠카는 다른 형제들과<br>함께 밖으로 나가는 일이 많아졌어."""
ssc_509020_0130#0,"""타이바스 일행과 함께<br>적들을 쓰러뜨리러 가거나…."""
ssc_509020_0140#0,"""이루마의 조사를 따라가기도 했어."""
ssc_509020_0150#0,"""타이바스와 툴리도,<br>요즘은 함께 외출하는 모습을 자주 볼 수 있어."""
ssc_509020_0160#0,"""예전엔 한 명이 동쪽으로 가면<br>다른 한 명은 서쪽으로, 이런 식이었는데."""
ssc_509020_0170#0,"""나를 도와주는 일도 많아졌어."""
ssc_509020_0180#0,"""함께, 테임즈를 사냥하거나,<br>야채나 과일을 따오기도 하고."""
ssc_509020_0190#0,"""나도 뭔가 도와주기도 하는데…."""
ssc_509020_0200#0,"""조사에 몰두하고 있을 때의 이루마의 이야기는,<br>걷잡을 수 없어."""
ssc_509020_0210#0,"""…이야기라고 하니까<br>아이나와 마논이랑 얘기할 기회도 많아졌어."""
ssc_509020_0220#0,"""아이나는 지금까지의 여행 이야기라든가,<br>에아리오 타운의 추억을 자주 이야기해 줘."""
ssc_509020_0230#0,"""아이나는 정말 힘든 경험을 하고 있구나."""
ssc_509020_0240#0,"""하지만, 그걸 전혀 개의치 않고<br>나에게 얘기해 주고 있어."""
ssc_509020_0250#0,"""똑같이 고생하니까,<br>라는 느낌으로."""
ssc_509020_0260#0,"""…그게, 정말 기뻐."""
ssc_509020_0270#0,"""그리고, 마논도"""
ssc_509020_0280#0,"""계속, 이곳에서 살고 있는 나도 모르는 것들을<br>여러 모로 가르쳐 주고 있어."""
ssc_509020_0290#0,"""생물에 대해서라든지, 환경에 대해서라든지."""
ssc_509020_0300#0,"""이루마 만큼… 은 아니지만,<br>가끔은 너무 어려워서 이해가 안 될 때도 있어."""
ssc_509020_0310#0,"""그렇지.<br>혹시 괜찮다면, 시간 좀 내줄 수 있을까?"""
ssc_509020_0320#0,"""너의 이야기도<br>들어보고 싶은데."""
ssc_509020_0330#0,"""기꺼이."""
ssc_509020_0340#0,"""조금이라면."""
ssc_509020_0350#0,"""응, 좋아."""
ssc_509020_0360#0,"""응, 알았어."""
ssc_509020_0370#0,"""그럼, 산장 안에서 얘기하자."""
