ssc_501080_0010#0,"""저기, <%me>.<br>잠깐, 이리 와봐."""
ssc_501080_0020#0,"""봐봐. 경치가 정말 좋아."""
ssc_501080_0030#0,"""크바리스는 어딜 가든 아름다워."""
ssc_501080_0040#0,"""…이 풍경이 옛날 다크 펄스와의 싸움으로<br>만들어졌다고 생각하면, 복잡하긴 하지만…."""
ssc_501080_0050#0,"""으으. 높은 곳이라 그런가.<br>역시 춥네."""
ssc_501080_0060#0,"""이 옷이 아니었으면<br>여기까지 올라오지 못했을지도 몰라."""
ssc_501080_0070#0,"""마논은 체내의 포톤을 활성화시키면<br>이 정도의 추위는 괜찮아… 라는 이야기를 했었는데"""
ssc_501080_0080#0,"""역시, 추운 건 추운 것 같아 …."""
ssc_501080_0090#0,"""그 옷은 어떻게 된 거야?"""
ssc_501080_0100#0,"""평소와는 다른 옷이네."""
ssc_501080_0110#0,"""이건, 크로포드에게 선물 받은 거야."""
ssc_501080_0120#0,"""…아니, 정확히는 아빠가 준비해 주셨대."""
ssc_501080_0130#0,"""이건, 아버지가 남겨주신 것 같아."""
ssc_501080_0140#0,"""센트럴 시티에 보관되어 있었다고<br>크로포드가 알려줬어."""
ssc_501080_0150#0,"""아빠는 자신에게 무슨 일이 생겼을 때를 대비해서<br>센트럴 시티에 이것저것 준비해 두셨던 것 같아."""
ssc_501080_0160#0,"""뭐든 즉흥적으로 행동하는 것처럼 보였지만,<br>제대로 앞날까지 생각하고 계셨구나 싶었어."""
ssc_501080_0170#0,"""최근에 와서야 비로소 알게 됐어."""
ssc_501080_0180#0,"""나를 위해 이 옷을 준비했다는 것은<br>내가 여기 올 것을 예상하고 있었다는 뜻이겠지."""
ssc_501080_0190#0,"""싸우는 방법이라든가, 거의 가르쳐 준 적이 없었지만,<br>언젠가는 그런 것도 가르쳐 줄 생각이었던 걸까…."""
ssc_501080_0200#0,"""…그나저나,<%me>의 옷차림은<br>항상 좋아하는 걸 입고 있는데, 춥진 않아?"""
ssc_501080_0210#0,"""괜찮아."""
ssc_501080_0220#0,"""근성으로."""
ssc_501080_0230#0,"""헤에. 그것도<br>\""별을 건너는 힘\""의 힘일까?"""
ssc_501080_0240#0,"""왠지, 신기하네."""
ssc_501080_0250#0,"""그, 그렇구나. 너무 무리하면 안 돼."""
ssc_501080_0260#0,"""…자, 그럼, 나는<br>조금만 더 이 주변을 탐험해 봐야겠어."""
ssc_501080_0270#0,"""그럼 이만 가볼게."""
