ssc_510020_0010#0,"""……응?"""
ssc_510020_0020#0,"""<%me>인가."""
ssc_510020_0030#0,"""뭐 하고 있어?"""
ssc_510020_0040#0,"""여기에 뭔가 있어?"""
ssc_510020_0050#0,"""정찰이다."""
ssc_510020_0060#0,"""아니, 아무것도 없다.<br>그냥 정찰이다."""
ssc_510020_0070#0,"""……부대의 대장이 순찰을 돌고 있어도,<br>아무것도 이상할 게 없겠지."""
ssc_510020_0080#0,"""카누이는 여전히 반대하고 있지만."""
ssc_510020_0090#0,"""이전보다 에아리오로부터의 보급이<br>받기 쉬워졌다고는 하지만……."""
ssc_510020_0100#0,"""수많은 적에 비해 대원의 수는 적다."""
ssc_510020_0110#0,"""연일 계속되는 전투로 피로가 누적되고 있다."""
ssc_510020_0120#0,"""그렇다면 체력적으로 여유가 있는 내가,<br>그냥 의자에 앉아 있을 수는 없지 않은가."""
ssc_510020_0130#0,"""단지 그뿐이다."""
ssc_510020_0140#0,"""부하들을 배려하는구나."""
ssc_510020_0150#0,"""사실 상냥한 사람이구나."""
ssc_510020_0160#0,"""대장으로서 당연한 일이다."""
ssc_510020_0170#0,"""……그렇지도 않다."""
ssc_510020_0180#0,"""나는 센트럴의…… 크로퍼드의<br>반대를 무릅쓰고 여기까지 왔다."""
ssc_510020_0190#0,"""캠프에 있는 대원들은,<br>내 뜻에 동의해 준 사람들이다."""
ssc_510020_0200#0,"""내가 부탁하지도 않았는데, 하나 둘씩 지원했어."""
ssc_510020_0210#0,"""그중에는,<br>가족을 에아리오에 남겨두고 온 이들도 많다."""
ssc_510020_0220#0,"""에아리오에서의 삶을 버리고,<br>내 이기심에 따라주고 있는 사람들이다."""
ssc_510020_0230#0,"""그런 녀석들을,<br>헛되이 죽게 둘 수는 없다."""
ssc_510020_0240#0,"""충분한 휴식을 취하고,<br>만반의 태세로 전투에 임하게 한다."""
ssc_510020_0250#0,"""내가 그들에게 해줄 수 있는 것은,<br>겨우 그 정도다."""
ssc_510020_0260#0,"""그렌은 무리하지 않아?"""
ssc_510020_0270#0,"""그렌은 쉬지 않아도 괜찮아?"""
ssc_510020_0280#0,"""내 몸은 내가 가장 잘 알고 있다."""
ssc_510020_0290#0,"""적당히 쉬고 있다."""
ssc_510020_0300#0,"""대화는 여기서 끝내도 되겠지?"""
ssc_510020_0310#0,"""나는 조금만 더 둘러보고 오겠다."""
ssc_510020_0320#0,"""네 힘이라면,<br>이 부근의 적들은 문제없을 테지만……."""
ssc_510020_0330#0,"""방심은 금물이다."""
ssc_510020_0340#0,"""돌즈는 어디서 나타날지 모른다."""
ssc_510020_0350#0,"""전사자 명단에서,<br>네 이름을 보는 일 따위는 원치 않으니까."""
