ssc_501060_0010#0,"""아, <%me>."""
ssc_501060_0020#0,"""마침 잘 됐어.<br>잠깐 얘기 좀 할 수 있을까?"""
ssc_501060_0030#0,"""<%me>, 리템 사람들을 어떻게 생각해?"""
ssc_501060_0040#0,"""다들, 좋은 사람들이야."""
ssc_501060_0050#0,"""어떻게?"""
ssc_501060_0060#0,"""그렇지.<br>나도 그렇게 생각해."""
ssc_501060_0070#0,"""그… 이야기를 해보니<br>다들 좋은 사람들이구나 싶었어."""
ssc_501060_0080#0,"""나, 처음엔 무서운 사람들인 줄 알았어."""
ssc_501060_0090#0,"""에아리오보다 싸움이 훨씬 더 일상적이고,<br>강한 사람이 대단한 것 같은 느낌이라…."""
ssc_501060_0100#0,"""무력으로, 모두가 묶여 있는 게 아닐까 싶었어."""
ssc_501060_0110#0,"""여기 도착했을 때, 레누스 리템의 공격을 받고<br>다들 긴장하고 있었잖아."""
ssc_501060_0120#0,"""우리 같은 이방인을<br>상대할 여유가 없다는 느낌이 들었어."""
ssc_501060_0130#0,"""하지만 이야기를 나누다 보니<br>전혀 그렇지 않다는 걸 깨달았어."""
ssc_501060_0140#0,"""과감하게 말을 걸었더니<br>다들 친절하게 대해줬어."""
ssc_501060_0150#0,"""사막을 걷는 방법이라든가,<br>야채를 어디서 구할 수 있는지라든가…."""
ssc_501060_0160#0,"""그 밖에도 조심해야 할 적들에 대한 이야기,<br>리템에서 살아가는 방법 등 여러 가지를 가르쳐줬어."""
ssc_501060_0170#0,"""에아리오에 대해 물어보는 사람도<br>꽤 있었던 것 같아."""
ssc_501060_0180#0,"""지금까지는 거의 교류가 없었지만,<br>외부의 일에는 관심이 있었던 것 같아."""
ssc_501060_0190#0,"""다들 싸움이 계속되다 보니<br>여유를 가질 여유가 없었던 것 같아."""
ssc_501060_0200#0,"""강하고 잘난 사람들도 거만하게 굴지 않고."""
ssc_501060_0210#0,"""동료애로 약한 사람을 보호하고,<br>어려운 사람을 돕고 있었어."""
ssc_501060_0220#0,"""그리고 나데레프의 얘기도 잘 들어줬어."""
ssc_501060_0230#0,"""나데레프를 걱정해주고, 모두들<br>응원하려고 노력하는 것을 알 수 있었어."""
ssc_501060_0240#0,"""리더로서 정말 신뢰와<br>존경을 받고 있구나."""
ssc_501060_0250#0,"""리템 시티 전체에서<br>일체감 같은 게 굉장히 느껴져."""
ssc_501060_0260#0,"""…곰곰이 생각해보면,<br>그건 에아리오타운의 사람들과도 닮았네."""
ssc_501060_0270#0,"""후후, 왠지 새로운 고향이<br>생긴 것 같은 느낌이네."""
ssc_501060_0280#0,"""나도 리템 아크스의 일원으로서 인정받기 위해 열심히 해야겠어."""
ssc_501060_0290#0,"""좋아, 열심히 해보자!"""
