ssc_510010_0010#0,"""어라, 당신이군요."""
ssc_510010_0020#0,"""마침 잘 됐어요.<br>찾고 있었습니다."""
ssc_510010_0030#0,"""센트럴에 오셨군요."""
ssc_510010_0040#0,"""둘이서만?"""
ssc_510010_0050#0,"""네."""
ssc_510010_0060#0,"""물자 보급과 부상자 이송을 위해,<br>잠시 머물고 있습니다"""
ssc_510010_0070#0,"""그렇네요."""
ssc_510010_0080#0,"""이곳의 메디컬 센터로<br>부상자들을 이송하고 있었어요."""
ssc_510010_0090#0,"""그것도 이번에 마무리가 됐고,<br>남은 것은 각 대원들의 회복을 기다리는 것뿐입니다."""
ssc_510010_0100#0,"""……그런데, 그렌 대장님.<br>할 얘기가 있지 않았나요?"""
ssc_510010_0110#0,"""아, 아아….그렇지."""
ssc_510010_0120#0,"""으음!<br>이번 전투에서는 신세를 많이 졌다."""
ssc_510010_0130#0,"""………。"""
ssc_510010_0140#0,"""그게 끝인가요?"""
ssc_510010_0150#0,"""아니……"""
ssc_510010_0160#0,"""우리의 싸움은 오랫동안 일진일퇴를 거듭했다."""
ssc_510010_0170#0,"""부상자는 계속 늘어났고, 보급품도 부족했다."""
ssc_510010_0180#0,"""몇 년이 지나도 스티아의 깊숙한 곳까지 도달할 수 없었어."""
ssc_510010_0190#0,"""너희들이 오기 전,<br>나는 스티아에서의 철수를 고민하고 있었어."""
ssc_510010_0200#0,"""하지만 대원들의 사기는 높았다."""
ssc_510010_0210#0,"""그 투지가 다 타버리기 전에<br>마지막 공세를 펼치겠다."""
ssc_510010_0220#0,"""때마침 너희들이 나타났지."""
ssc_510010_0230#0,"""소문은 들었어."""
ssc_510010_0240#0,"""리템의 위기를 구하고,<br>다크 펄스의 침입도 막아냈다는 소문을 들었다."""
ssc_510010_0250#0,"""그리고 버려졌던 <br>크바리스 재건의 길도 열어주었다."""
ssc_510010_0260#0,"""반신반의했지만,<br>달리 의지할 곳이 없었다."""
ssc_510010_0270#0,"""너희들과의 공투에<br>기대를 걸어보기로 했다."""
ssc_510010_0280#0,"""그리고 그 결과는…"""
ssc_510010_0290#0,"""우리 모두가 아는 바이다."""
ssc_510010_0300#0,"""아직 싸움은 끝나지 않았지만,<br>이 말만은 해두고 싶다."""
ssc_510010_0310#0,"""고마워."""
ssc_510010_0320#0,"""저도 마찬가지입니다.<br>고맙습니다."""
ssc_510010_0330#0,"""두 사람은 이제 돌아가는 거야?"""
ssc_510010_0340#0,"""아직 스티아에서의 싸움은 끝나지 않았어?"""
ssc_510010_0350#0,"""그래."""
ssc_510010_0360#0,"""맞아."""
ssc_510010_0370#0,"""아직 스티아를 완전히 제압하지 못했어."""
ssc_510010_0380#0,"""돌즈의 설비도 멈추지 않았다."""
ssc_510010_0390#0,"""아직 할 일이 남아 있어."""
ssc_510010_0400#0,"""카누이."""
ssc_510010_0410#0,"""네."""
ssc_510010_0420#0,"""나는 먼저 돌아가겠다. <br>넌 치료 중인 대원들의 상태를 확인하고 돌아오도록."""
ssc_510010_0430#0,"""알겠습니다."""
ssc_510010_0440#0,"""후우…<br>놀랍네요."""
ssc_510010_0450#0,"""대장님께서 누군가에게 고맙다는 말을 하는 것은 드문 일입니다."""
ssc_510010_0460#0,"""감사의 뜻을 전한 적은 있지만,<br>\""감사합니다\""라는 말은 처음 듣는 것 같아요."""
ssc_510010_0470#0,"""그만큼 당신을 높이<br>산다는 뜻이겠지요."""
ssc_510010_0480#0,"""그럼… 도 이제 가보겠습니다."""
ssc_510010_0490#0,"""또 뵙겠습니다."""
