ssc_511010_0010#0,"""아, 여기까지 오셨군요."""
ssc_511010_0020#0,"""이 부근의 에너미는,<br>어느 정도 정리했지만, 경계를 늦추지 마시길."""
ssc_511010_0030#0,"""……그런데,<br>잠시 시간 좀 내주실 수 없으신가요."""
ssc_511010_0040#0,"""감사합니다."""
ssc_511010_0050#0,"""한 가지 질문이 있습니다만…….<br>그렌 대장님에 관한 것입니다만."""
ssc_511010_0060#0,"""솔직히 말해서,<br>어떤 인상을 갖고 계신가요?"""
ssc_511010_0070#0,"""강하다."""
ssc_511010_0080#0,"""무섭다."""
ssc_511010_0090#0,"""네? 네…… 그렇네요.<br>확실히 강합니다. 그 어떤 아크스보다도."""
ssc_511010_0100#0,"""잠깐만요,<br>의도한 것과는 다른 답변이네요……."""
ssc_511010_0110#0,"""……역시 그런 인상이 있군요."""
ssc_511010_0120#0,"""대장은 말수가 적어서,<br>오해받는 경우도 적지 않습니다."""
ssc_511010_0130#0,"""작전 행동 중에는,<br>긴장하고 있기 때문에 더더욱 그렇습니다."""
ssc_511010_0140#0,"""하지만 사실은 부하를 잘 챙기는 상사입니다."""
ssc_511010_0150#0,"""적진 에서는 항상 선두에 서서……."""
ssc_511010_0160#0,"""후퇴할 때는 뒤에서 경계하는 역할을 합니다."""
ssc_511010_0170#0,"""그것이 부대의 손실을 줄이는 최선의 방법이라고."""
ssc_511010_0180#0,"""그런 성격이라서,<br>부하들의 신뢰가 두텁습니다."""
ssc_511010_0190#0,"""다들 대장에게 모든 것을 맡길 수 있기 때문에,<br>자신들은 목숨 걸고 일할 수 있다고 말할 뿐입니다."""
ssc_511010_0200#0,"""……그렇다고 해도 대장은 좀 더<br>알기 쉬운 태도를 취해줬으면 좋겠다는 생각이 들기도 한답니다."""
ssc_511010_0210#0,"""특히 처음 만난 분들에게는……."""
ssc_511010_0220#0,"""전에도 에아리오의 보급대원에게,<br>대장의 인상에 대해 물어본 적이 있습니다."""
ssc_511010_0230#0,"""그랬더니 그 분은,<br>\""불쾌감을 주면 살아서 돌아갈 수 없을 것 같다\""라고 했습니다."""
ssc_511010_0240#0,"""다른 사람과는 스스럼없이 대하는 분이었는데요,<br>대장님에게만 이상하게 깍듯한 태도를 취하셔서……."""
ssc_511010_0250#0,"""이상하다고 생각했는데요."""
ssc_511010_0260#0,"""큰 오해가 생기기 전에,<br>오해가 풀려서 다행입니다."""
ssc_511010_0270#0,"""왠지 알 것 같은 사람이야."""
ssc_511010_0280#0,"""누굴 말하는 거지?"""
ssc_511010_0290#0,"""시트레라는 분입니다."""
ssc_511010_0300#0,"""시트레이라는 분이시네요."""
ssc_511010_0310#0,"""혹시 아는 분이라면,<br>당신도 다시 한 번 전달해 주세요."""
ssc_511010_0320#0,"""대장은 무섭지 않아.<br>단지 말수가 적고 표정이 딱딱할 따름이라고."""
ssc_511010_0330#0,"""당신은 대장님이 인정한<br>몇 안 되는 아크스 중 한 명입니다."""
ssc_511010_0340#0,"""앞으로도 친근하게 대해 주시면 감사하겠습니다."""
ssc_511010_0350#0,"""잘 부탁드리겠습니다."""
