ssc_507020_0010#0,"""오, <%me>인가."""
ssc_507020_0020#0,"""여기서 너와 나란히 서니<br>그 날이 떠오르는군."""
ssc_507020_0030#0,"""너희들과 만났던 그 날을."""
ssc_507020_0040#0,"""…여기는<br>리템과 에아리오의 유일한 교역로다."""
ssc_507020_0050#0,"""그러기에 많은 사람들과의 만남이 있었지."""
ssc_507020_0060#0,"""브루더와의 만남도<br>이곳에서 이루어졌다."""
ssc_507020_0070#0,"""…지금도, 잊지 못한다."""
ssc_507020_0080#0,"""그 당시에도 지금처럼<br>돌즈가 무더기로 발생했었지."""
ssc_507020_0090#0,"""날마다 많은 사람들이 경계 임무에 임하고 있었다."""
ssc_507020_0100#0,"""그러던 어느 날, 정찰 중이던 우리 부대가<br>이 부근에서 기습을 당했지."""
ssc_507020_0110#0,"""수적으로 불리했다.<br>대원들은 점점 궁지에 몰리고 말았다."""
ssc_507020_0120#0,"""그리고 나는 대원들을 지키기 위해<br>혼자서 앞에 나와 있었지."""
ssc_507020_0130#0,"""어느새 수많은 적을 뚫고<br>포위망을 벗어나고 있었다."""
ssc_507020_0140#0,"""거기서 문득 깨닫게 되었지."""
ssc_507020_0150#0,"""우리 말고도 누군가가<br>돌즈와 싸우고 있다는 사실을."""
ssc_507020_0160#0,"""그게 바로 브루더의 부대였다."""
ssc_507020_0170#0,"""그 당시 브루더는<br>눈앞의 적에게 지나치게 집중하고 있었지."""
ssc_507020_0180#0,"""다른 돌즈가 뒤에서 슬금슬금 다가오고 있는 것을<br>눈치채지 못했지.."""
ssc_507020_0190#0,"""그 순간, 나는 그 적을 물리치고<br>브루더를 위기에서 구해낸 거지."""
ssc_507020_0200#0,"""그 후, 그 자와는 전우로서<br>친하게 지내고 있다."""
ssc_507020_0210#0,"""브루더에게 들은 이야기와 다른 것 같은데."""
ssc_507020_0220#0,"""그 얘기, 브루더에게 전해 주는 게 좋겠는데."""
ssc_507020_0230#0,"""뭐?<br>브루더랑 하는 말이 다르다고?"""
ssc_507020_0240#0,"""흠. 그때는 그 친구도<br>혼란스러웠을 것이다."""
ssc_507020_0250#0,"""뭐? 그게 무슨 소리야."""
ssc_507020_0260#0,"""…뭐, 가끔은 그 녀석과<br>옛날이야기를 하는 것도 좋을 것 같군."""
ssc_507020_0270#0,"""한때는 싸움이 치열해져<br>교류가 끊겼지만…."""
ssc_507020_0280#0,"""요즘은 또 저 녀석을 포함해<br>에아리오의 사람들과 이야기를 나눌 기회가 늘어났다."""
ssc_507020_0290#0,"""예전에는 전투에 대한 이야기뿐이었지만,<br>지금은 일상적인 이야기도 늘었다."""
ssc_507020_0300#0,"""이것도 모두 너희들 덕분이야."""
ssc_507020_0310#0,"""정말 고마워."""
