ssc_503070_0010#0,"""자네인가.<br>에아리오에 돌아온 모양이군."""
ssc_503070_0020#0,"""스티아에서의 임무를 무사히 완수한 모양이군."""
ssc_503070_0030#0,"""그렌 일행을 도왔을 뿐이야."""
ssc_503070_0040#0,"""크로퍼드가 전부 해치웠어."""
ssc_503070_0050#0,"""그들은 정예이긴 하지만<br>수적으로 불리한 상황이 계속되고 있었어."""
ssc_503070_0060#0,"""너희들의 합류로 상황이<br>크게 바뀌었음은 틀림없어."""
ssc_503070_0070#0,"""…그건 그렇고,<br>크로퍼드도 과감한 행동을 한 것 같은데."""
ssc_503070_0080#0,"""그래. 나도 놀랐다."""
ssc_503070_0090#0,"""설마 크로퍼드가 먼저 나서서<br>스티아에 가겠다고 할 줄은 몰랐다."""
ssc_503070_0100#0,"""닐스 스티아는<br>두 사람에게는 숙적이었다."""
ssc_503070_0110#0,"""말로는 「그렌에게 맡기겠다」고 했지만…"""
ssc_503070_0120#0,"""속마음은 자신의 손으로, 아니.<br>그렌과 둘이서 결판을 내고 싶었던 모양이야."""
ssc_503070_0130#0,"""다행히 당시 에아리오는<br>돌즈의 활동이 더딘 편이었다."""
ssc_503070_0140#0,"""행동에 나설 수 있는 절호의 기회였다."""
ssc_503070_0150#0,"""그렇기에 나도 망설임 없이<br>크로퍼드를 보내줄 수 있었다."""
ssc_503070_0160#0,"""덕분에 세 사람의 싸움에 종지부를 찍을 수 있었어."""
ssc_503070_0170#0,"""크로퍼드, 그렌, 그리고 히바나…"""
ssc_503070_0180#0,"""히바나에 대한 이야기는 카누이에게 전해 들었어."""
ssc_503070_0190#0,"""히바나는 닐스 스티아와의 싸움에서…"""
ssc_503070_0200#0,"""그렇군…"""
ssc_503070_0210#0,"""히바나에 대해 알고 있구나."""
ssc_503070_0220#0,"""히바나는 그렌이 오래전부터 알고 지냈던 친구야."""
ssc_503070_0230#0,"""누구나 금방 친해지는<br>신비한 여자였어."""
ssc_503070_0240#0,"""분위기만 다르지, 겁이 없다는 점은<br>아이나와 비슷했을지도 모르겠군…"""
ssc_503070_0250#0,"""그러다가 두 사람은 크로퍼드와 만나<br>함께 활동하게 되었지."""
ssc_503070_0260#0,"""크로퍼드와 그렌의 관계는<br>예나 지금이나 크게 다르지 않어."""
ssc_503070_0270#0,"""의견이 다르면 자주 다툼이 일어나곤 했어."""
ssc_503070_0280#0,"""그런 두 사람의 중재를 맡은 것은<br>당연히 히바나였어."""
ssc_503070_0290#0,"""녀는 금세 타협점을 찾아<br>두 사람을 하나로 뭉치게 했다."""
ssc_503070_0300#0,"""히바나는 촉이 좋았어."""
ssc_503070_0310#0,"""히바나의 막연한 판단은 왠지 모르게<br>좋은 결과를 가져오는 경우가 잦았지."""
ssc_503070_0320#0,"""이론이 앞서는 크로퍼드와는 정반대였지만…"""
ssc_503070_0330#0,"""그럼에도 왠지 말이 잘 통하는 느낌이었어."""
ssc_503070_0340#0,"""각자 다른 성향이지만,<br>세 사람의 관계는 매우 자연스러워 보였다."""
ssc_503070_0350#0,"""특히 전투에서의 호흡은 눈부셨다."""
ssc_503070_0360#0,"""그렌이 전방을, 크로퍼드가 후방을 맡고,<br>히바나는 두 사람 사이를 유연하게 오가며 활약했지."""
ssc_503070_0370#0,"""세 사람만으로도 강력한 돌즈를 연이어 격파했어."""
ssc_503070_0380#0,"""모두가 이 세 사람이 에아리오를<br>이끌어갈 주역이 될 것이라 믿어 의심치 않았어."""
ssc_503070_0390#0,"""그랬기에… 히바나의 죽음은<br>큰 공백을 가져왔다."""
ssc_503070_0400#0,"""히바나를 잃은 크로퍼드와 그렌은<br>오로지 자신이 믿는 길을 향해 나아가기 시작했다."""
ssc_503070_0410#0,"""닐스 스티아와의 싸움에 종지부를 찍고……。"""
ssc_503070_0420#0,"""두 사람은 그 공백을…<br>채울 수 있었을까."""
ssc_503070_0430#0,"""음? 뭔가 문제가 있는 것 같다."""
ssc_503070_0440#0,"""미안하지만 나는 이만 가봐야겠다."""
ssc_503070_0450#0,"""나중에 다시 천천히 이야기하자."""
ssc_503070_0460#0,"""그럼 이만."""
