name_7211#0,"""Шанди"""
ssn_019020_002_0001#0,"""Большое спасибо вам, что пришли.<br>Позвольте мне представиться ещё раз."""
ssn_019020_002_0002#0,"""Меня зовуд Шанди. Я изучаю различные аномальные<br>явления, происходящие на Хальфе."""
ssn_019020_002_0003#0,"""Я позвала вас сюда, чтобы вы помогли мне<br>исследовать один феномен."""
ssn_019020_002_0004#0,"""Благодарю вас за то, что вы пришли."""
ssn_019020_002_0005#0,"""Я хочу, чтобы вы помогли мне снова исследовать<br>один очередной феномен..."""
ssn_019020_002_0101#0,"""Вам известны Mag'и региона? Собственно, в это время года<br>их внешний вид меняется."""
ssn_019020_002_0102#0,"""Кроме того, можно найти собираемый материал,<br>который доступен только в это время..."""
ssn_019020_002_0103#0,"""Я хотела бы узнать: если дать этот материал<br>текущему Mag'у региона, то какой эффект будет?"""
ssn_019020_002_0104#0,"""Для начала, не могли бы вы собрать этот материал?"""
ssn_019020_002_0105#0,"""У нас также имеются особые награды для сотрудничающих с нами."""
ssn_019020_002_0106#0,"""Что ж, полагаюсь на вас."""
ssn_019020_002_0006#0,"""С возвращением! Благодаря вам,<br>я получила хорошие данные."""
ssn_019020_002_0007#0,"""Мag'и региона всё ещё остаются для нас загадкой, но мы надеемся,<br>что эти данные помогут пролить свет на этот вопрос."""
ssn_019020_002_0008#0,"""Похоже, что наши исследователи очень<br>заинтересовались вашим прогрессом."""
ssn_019020_002_0009#0,"""Я познакомлю вас в следующий раз!"""
ssn_019020_002_0010#0,"""На этот раз я вас лично благодарю."""
ssn_019020_002_0011#0,"""Награду можно получить за очки, накапливаемые вами.<br>Так что, сообщите, если вам что-то понадобится."""
ssn_019020_002_0012#0,"""Буду признательна вам, если сможете продолжать сотрудничать<br>с нами в проведении различных опросов и исследований."""
ssn_019020_002_0013#0,"""Надеюсь на плодотворное сотрудничество с вами и в будущем."""
ssn_019020_002_0014#0,"""Мы старательно исследуем изменения<br>во врагах во время этого периода."""
ssn_019020_002_0015#0,"""Мы будем благодарны, если вы сможете предоставить<br>нам любые данные, даже самые незначительные."""
npc_menu_0001#0,"""Взяться за задачи события"""
npc_menu_0002#0,"""Обмен очков сезона"""
npc_menu_0003#0,"""О событии сезона"""
npc_menu_0004#0,"""Закрыть меню"""
npc_menu_0005#0,"""О “Событии сезона”"""
npc_menu_0006#0,"""О “Врагах сезона”"""
npc_menu_0007#0,"""О “Персонажах сезона”"""
npc_menu_0008#0,"""О “Ежедневных/Еженедельных задачах”"""
npc_menu_0009#0,"""О “Озорных символах”"""
npc_menu_0010#0,"""О “Собираемых материалах сезона”"""
npc_menu_0011#0,"""О “Mag'ах региона сезона”"""
npc_menu_0012#0,"""Не о чём спрашивать"""
