st_056080_0001#0,"""A.P.241/11/23/10:00"""
st_056080_0010#0,"""Una persona que se parece a Xion, oh..."""
st_056080_0020#0,"""¿Te refieres a la primera photoner que me<br>contacto?, ¿Xion?"""
st_056080_0030#0,"""No puedo asegurarlo porque no todo esta en orden pero supongo que esa es la situación."""
st_056080_0040#0,"""Ademas dice llamarse Clarissa.<br>¿Alguna vez has escuchado la voz de Clarissa, segunda generación?"""
st_056080_0050#0,"""Bueno... vagamente...<br>Pero esa era la voz de Xion."""
st_056080_0060#0,"""Ya veo, la voz de<br>Xion incluso yo la escuchaba."""
st_056080_0070#0,"""Aunque la llamaron Clarissa, no sentí ningún photon más que los de Xion."""
st_056080_0080#0,"""Pero...  Clarissa era claramente diferente a la serie Genesis."""
st_056080_0090#0,"""Ya que mencionan eso..."""
st_056080_0100#0,"""Xion se encargo de borrar toda esa información<br>no podemos buscarla ni rastrearla, quizas<br>quiere decirnos que no busquemos esa información."""
st_056080_0110#0,"""Volviendo al tema y viendo que la situacion<br>en Omega se ha calmado aun tenemos<br>temas que seguir investigando."""
st_056080_0120#0,"""Aun quedan dos países<br>Es-Ars y Epic."""
st_056080_0130#0,"""Espero que podamos mantener un buen dialogo.<br>No como en el reino Verun que todo se soluciona mediante la guerra."""
st_056080_0140#0,"""Bueno, eso dependera de la habilidad de Harriet.<br><%me> estara ausente por un tiempo hasta que haya un gran movimiento."""
st_056080_0150#0,"""¡Algo terrible esta sucediendo compañero！<br>¡Yuki-nee fue secuestrada!"""
st_056080_0160#0,"""¿Fue secuestrada?, creo que deberías calmarte<br>primero Afin, y dinos qué pasó."""
st_056080_0170#0,"""Estaba hablando con ella cuando un extraño patron aparecio bajo sus pies..."""
st_056080_0180#0,"""Ella y Aurora desaparecieron...<br>¿A dónde demonios se ha ido?..."""
st_056080_0190#0,"""De acuerdo, las buscaré de alguna forma.<br>Afin, también deberías buscar en la flota,<br>si averiguas algo, contáctame."""
st_056080_0200#0,"""Lo-lo entiendo"""
st_056080_0210#0,"""¿Yucreta y Aurora desaparecieron?...<br>¿Quién, cómo, y por qué?..."""
st_056080_0220#0,"""Xiao, le tengo un informe de emergencia."""
st_056080_0230#0,"""¿Brigitta?<br>¿Qué pasa?"""
st_056080_0240#0,"""Creo que tiene que ver con el evento anterior.<br>Aika, perteneciente al departamento de información, tambien desapareció repentinamente."""
st_056080_0250#0,"""Repentinamente, ¿Como?"""
st_056080_0260#0,"""Estaba navegando, pero repentinamente desapareció del radar."""
st_056080_0270#0,"""Aunque los parámetros y registros periféricos se han guardado...<br>No hay casos similares."""
st_056080_0280#0,"""OK... OK, vamos a seguir<br>investigando. Contacta<br>al departamento de información."""
st_056080_0290#0,"""Si llega a suceder un caso similar, dirígete a mí también."""
st_056080_0300#0,"""Lo entiendo<br>Aika, ¿Estára bien?"""
st_056080_0310#0,"""Estara bien, incluso ella que se<br>conviertio en un Dark Flaz, pudo regresar sin problemas."""
st_056080_0320#0,"""No solo Yucreta<br>¿Aika-chan igual?..."""
st_056080_0330#0,"""Oh <%me> disculpa que te interrumpa,<br>Necesito informarte algo."""
st_056080_0340#0,"""¿Qué pasó?"""
st_056080_0350#0,"""Parece una mala noticia"""
st_056080_0360#0,"""Oh, eso es correcto.<br>Son malas noticias."""
st_056080_0370#0,"""Se notifico que una de las personas con capacidad de usar Ether en la tierra, desapareció de repente."""
st_056080_0380#0,"""Una de las personas con capacidad de usar<br>Ether... ¿Hitsugi o Kohori?"""
st_056080_0390#0,"""No, tengo contacto directo con Xiera.<br>Rina Izumi es una Chica...<br>¿Sucedio algo similar?"""
st_056080_0400#0,"""Rina Izumi...<br>Recibí un informe de Kasra<br>la chica que se convirtio en<br>【Apprentice】 en la tierra."""
st_056080_0410#0,"""Ema, lo siento<br>Pero no tenemos mucha información."""
st_056080_0420#0,"""Voy a investigar de nuevo, ¿Puedes seguir buscando en la Tierra?"""
st_056080_0430#0,"""Oh, eso es todo.<br>Siento mucho causarles problemas"""
st_056080_0440#0,"""Con esto, las personas desaparecidas son Aika, Yucreta<br>con Aurora, Y la terrícola, Rina Izumi."""
st_056080_0450#0,"""Lo que las relaciona entre ellas, ese..."""
st_056080_0460#0,"""Portadoras de Dark Falz"""
st_056080_0470#0,"""¿Dark Falz 【Apprentice】?"""
st_056080_0480#0,"""Eso es correcto<br>son personas que fueron portadoras<br>de Dark Falz 【Apprentice】."""
st_056080_0490#0,"""Sin embargo, no hay cambios en la situación de lilipa.<br>【Apprentice】 de este lado está tranquilo."""
st_056080_0500#0,"""Y así sucesivamente me pregunto<br>si algo está sucediendo en Omega."""
st_056080_0510#0,"""Sin embargo, el grado de interferencia de este<br>lado... Siento que algo es diferente."""
st_056080_0520#0,"""<%me>, Xiera. Tenga cuidado, quiero que<br>continúen con la investigación."""
name01#0,"""？？？"""
name02#0,"""？？？"""
