st_056160_0010#0,"""¡No puede ser, ＳＯＲＯ!<br>¡No puede que mi amigo imaginaro desaparesca!"""
st_056160_0020#0,"""Ciertamente eres fuerte...<br>Pero fue una fuerza equivocada."""
st_056160_0030#0,"""¿No puede ser?<br>Me encontré con un mundo de fantasía en el que estaba equivocada?"""
st_056160_0040#0,"""La verdadera fuerza no es la que se usa para ganas, es la que se usa para proteger a alguien."""
st_056160_0050#0,"""Simplemente has estado luchando solo para querer ganar."""
st_056160_0060#0,"""Es lamentable, pero es así.<br>El resultado de esta batalla es la respuesta.<br>Estaba equivocada."""
st_056160_0070#0,"""En el último minuto, pude notarlo.<br>Te lo agradezco, Sr. Guardian."""
st_056160_0080#0,"""Entonses esa luz, <br>Es por la valentia y el coraje."""
st_056160_0090#0,"""Incluso si hay tiempo para ser coronada nuevamente, no tendra ningún recuerdo de ahora.<br>Pobre niña..."""
st_056160_0100#0,"""Lo siento por aquellos que todavía tienen recuerdos de lo que sucedió ahora."""
st_056160_0110#0,"""……あの、守護輝士。<br>私、今のやりとりの意味が<br>わからなくて、困ってます。"""
st_056160_0120#0,"""大丈夫、わからなくていい"""
st_056160_0130#0,"""大丈夫、わかりたくもない"""
st_056160_0140#0,"""なーんでよーう！<br>激闘の末に敵と理解し合うって<br>とってもいい展開じゃない！"""
st_056160_0150#0,"""マルさん、喋ってるだけで<br>戦ってないじゃないですか！"""
st_056160_0160#0,"""アイカさんも大概可哀想でしたが……<br>泉澄リナさんも……辛いと思います。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
