st_056130_0010#0,"""¡Kyukyukyuu!"""
st_056130_0020#0,"""La historia de la señorita Matoi y <%me> se escuchó más de cien veces, por su gran poder."""
st_056130_0030#0,"""Después de todo, solo soy una mas de las cuatro Guardianes..."""
st_056130_0040#0,"""La sombra fuerte, desaparece ante la luz intensa.<br>Hubiera sido más feliz de haber colapsado aquí"""
st_056130_0050#0,"""Es inútil...<br>¡Incluso si algún enemigo intenta atacarnos, nunca abandonaré este país!"""
st_056130_0060#0,"""¡Vamos, todos!<br>¡Vamos hacia el próximo enemigo!<br>¡Para salvar a Epic!"""
st_056130_0070#0,"""Hey Maru..."""
st_056130_0080#0,"""Ven aquí"""
st_056130_0090#0,"""A, a ha ha..."""
st_056130_0100#0,"""¡Maru!<br>Puedes explicarnos, ¿Verdad?"""
st_056130_0110#0,"""Miren... Los enemigos del mundo están dominando los países, y ustedes los están liberando....<br>¡Soy genial!<br>Hay un sentimiento narrativo, ¿No?"""
st_056130_0120#0,"""Asi que pensé... Que me gustaría rescatar mi país y dejar una tradición como con el Guardian...<br>Es un Dios muy fuerte..."""
st_056130_0130#0,"""Desearía poder ganarle al Guardian...<br>Me pregunto si podre hacer ese tipo de cosas...<br>Porque me dijeron..."""
st_056130_0140#0,"""¿Quién te lo dijo?"""
st_056130_0150#0,"""El sacerdote...<br>Hitsu, cuando salieron esas cuatro Guardianes<br>me escapé..."""
st_056130_0160#0,"""¿Encerio puedes mantener este país?"""
st_056130_0170#0,"""¡Es inútil!<br>¡No puedo dejarlo asi!"""
st_056130_0180#0,"""Independientemente del motivo,<br>la influencia de Ephimera aparentemente está aquí...<br>Todos lamentamos eso."""
st_056130_0190#0,"""Sí, es un reflejo.<br>Es muy impresionante"""
st_056130_0200#0,"""Aunque hay una tradición, a pesar de que hay héroes, no se agrega a mi vientre...<br>Me pregunto si abrá algo en mi mente..."""
st_056130_0210#0,"""Porque admito que fui estúpida al pensar tal cosa"""
st_056130_0220#0,"""Quiero que todo vuelva<br>a ser como antes,<br>quiero que me ayudes.<br>Por favor..."""
st_056130_0230#0,"""Por favor, levanta la cabeza, Margaretta.<br>Entiendo que es doloroso.<br>Acabar confundida a causa de un error."""
st_056130_0240#0,"""Sin embargo, si cometes un error,<br>solo tienes que arreglarlo.<br>¿No es así, Guardian?"""
st_056130_0250#0,"""Supongo que... ¿Si?"""
st_056130_0260#0,"""No puedo dejarla sola."""
st_056130_0270#0,"""Bueno, mientras haya una influencia de [Profound Darkness], no puedo dejarla sola.<br>Parece que la pequeña Maru ya reflexiono."""
st_056130_0280#0,"""Cuu... ¡Cuent!<br>¡Guardián!<br>¡Hada!"""
st_056130_0290#0,"""¡Ustedes realmente son buenas personas!<br>¡Aun cuando les engañe, en serio!"""
st_056130_0300#0,"""Es como ser engañado en forma progresiva<br>creo, pero..."""
st_056130_0310#0,"""A los dos nos tiene cariño, así que no se puede evitar."""
name01#0,"""Dark Emperappy"""
name02#0,"""？？？"""
