st_056100_0010#0,"""La reina de Epic, Margaretta, Harriet, y el Guardian<br>se dirigen al reino de Epic."""
st_056100_0020#0,"""No había personas de Epic en las aldeas que existen en la frontera.<br>Solo quedan rastros de movimiento desordenado."""
st_056100_0030#0,"""Debido a que la evacuación de la gente, hay poco daño.<br>Aún así, Margaretta lamenta la circunstancia<br>de que la evacuación es fuerte para la gente."""
st_056100_0040#0,"""Ella solo quiere todo vuelva a ser como antes."""
st_056100_0050#0,"""Más allá de la aldea silenciosa, solo hay un extenso desierto."""
st_056100_0060#0,"""Cuatro grandes males repartidos en el reino de Epic.<br>El guardian comienzan a avanzar Para enfrentarlos."""
st_056100_0070#0,"""Esto es Epic.<br>Es una vista tormentosa."""
st_056100_0080#0,"""El país donde la mente maestra se reúne y lo<br>hace. Es el origen del país de dios de Epic.<br>Me pregunto si es una tierra dura."""
st_056100_0090#0,"""Bueno, el Sr. Fundador hizo de Epic un lugar de entrenamiento, la gente se reunió allí, se convirtió en una ciudad y finalmente se convirtió en un país."""
st_056100_0100#0,"""El momento de mérito, es el país de dios de Epic.<br>¡Y la reina Margaretta esta en ese trono para sentarse en esa cima!"""
st_056100_0110#0,"""Creo que estás en el lugar más alejado."""
st_056100_0120#0,"""¡Deja de Mo-les-tar-me!"""
st_056100_0140#0,"""Tampoco hay un Devil Castle"""
st_056100_0150#0,"""¿Devil Castle？<br>No lo necesito a excepción de las fronteras.<br>No hay mérito para atacar a mi casa."""
st_056100_0160#0,"""Además, incluso si fuera nesesario, si hago lo mismo, perderé más tierras."""
st_056100_0170#0,"""No quiero cometer errores estupidos como derrochar mana y recursos, no como Cuent que es rica en recursos y mana."""
st_056100_0190#0,"""¿Que Cuent es rico?"""
st_056100_0200#0,"""Como puede ver, los recursos y el maná son abundantes, pero no son solo las mentes de las personas, ¿no es así?"""
st_056100_0210#0,"""Jaja, creo que tu forma de pensar es dulce.<br>El rey no levanta su pecho y levanta su cofre.<br>¿Deseas tanto inquietar a la gente?"""
st_056100_0220#0,"""Mira aquí, no hay un elemento fértil en esta tierra muerta de todos modos...<br>El país de Epic es pobre."""
st_056100_0230#0,"""Es por eso que siempre soy bella y orgullosa para que todos me anhelen."""
st_056100_0240#0,"""Si piensan [Quiero ser como ella], entonces tendran motivación.<br>Mi imagen empuja fuertemente a las personas."""
st_056100_0250#0,"""Eso es... ¿El por es que eres asi?"""
st_056100_0260#0,"""¿Eres estúpida?, la envidia proboca miedo hacia el rey..."""
st_056100_0270#0,"""No tengo miedo de ser sincera, tengo miedo de no poder controlar lo que soy, pero solo estoy tratando de... Imposible imposible"""
st_056100_0280#0,"""Yo soy la reina de quien la gente está orgullosa. Esa es una decisión."""
st_056100_0290#0,"""No sabía que cada una de las personas estában pensando a detalle."""
st_056100_0300#0,"""Debido a tal arrogancia, cuatro personas fueron invocadas como escandalosas."""
st_056100_0310#0,"""¡Eres tonta al decir eso!<br>¡Como puedes ser un rey sin pretender serlo!<br>Oye... ¿Tu lo crees?"""
st_056100_0320#0,"""¿Qué es esa cosa?... ¿Que?"""
st_056100_0330#0,"""¡Margaretta!"""
st_056100_0340#0,"""Oh, gracias.<br>qué, ¡Qué ahora! ¿Que?<br>¿De donde salio?"""
st_056100_0350#0,"""No lo se,<br>salió repentinamente."""
st_056100_0360#0,"""¡Aparecio un Devil Castle!<br>¡También se están creando especies demoníacas!"""
st_056100_0370#0,"""¿Por qué aparecio de repente sin un convocador?"""
st_056100_0380#0,"""Dejamelo a mi"""
st_056100_0390#0,"""Yo me encargo"""
name01#0,"""？？？"""
name02#0,"""？？？"""
