st_055150_0001#0,"""A.P.241/11/7/11:00"""
st_055150_0010#0,"""Hola <%me>.<br>Espero no estar molestando."""
st_055150_0020#0,"""Enga, tanto tiempo sin verte"""
st_055150_0030#0,"""¿Molestar, por qué?"""
st_055150_0040#0,"""Oh, ha pasado mucho tiempo.<br>Arks sigue cuidándonos después de todo."""
st_055150_0050#0,"""Llamaste Xiera,<br>Quiero decir que vine como representante de la Tierra"""
st_055150_0060#0,"""Acerca del Registro Akáshico Parece que el lado de la Tierra no está relacionado, así que lo expliqué de antemano."""
st_055150_0070#0,"""Escucha la mitad de la historia en la Tierra."""
st_055150_0080#0,"""El mundo en sí está encarnado o el sentido de la escala es diferente...<br>Bueno, el Phantom God hizo cosas similares."""
st_055150_0090#0,"""Oh, y hablando de eso. Hitsugi y Aru están bien."""
st_055150_0100#0,"""También estamos enfrentandonos con los Phantoms, con la cooperacion de Earth Guide y Mother Cluster."""
st_055150_0110#0,"""Si algo más grande aparece, Arks nos ayuda a solucionarlo."""
st_055150_0120#0,"""Bueno, gracias a eso, la Tierra es pacífica."""
st_055150_0130#0,"""...Ah, el abuelo Aratron y esa maníaca de los números están en un viaje de negocios en America."""
st_055150_0140#0,"""Parece que se observó la cooperación analítica, y como poder observar el universo."""
st_055150_0150#0,"""Esa maniatica ya esta llamando<br>Deberia cortarle...<br>No puedo..."""
st_055150_0160#0,"""¡Este hombre 10% amable!<br>¡Tienes que contestar en el plazo de 2 tonos de llamada!"""
st_055150_0170#0,"""¡Ah por Dios!, ¡Habla rapido mujer!"""
st_055150_0180#0,"""¿Qué?<br>¿Estás en Oracle?<br>¿Por qué estás en ese lugar?"""
st_055150_0190#0,"""Estoy aquí porque me llamaron.<br>La situación de Oracle se ha vuelto bastante complicada."""
st_055150_0200#0,"""¡Hey espera!<br>¡No es solo una cuestión de negocios!<br>¡No solo el lado de Oracle!, ¡Sino que este lado se está volviendo demasiado duro!<br>¡200%!"""
st_055150_0210#0,"""¿Ah?<br>¿Qué quieres decir?"""
st_055150_0220#0,"""Las flores de cerezo son estúpidas.<br>Déjame explicarte."""
st_055150_0230#0,"""¿Abuelo?... Esa es una historia bastante seria."""
st_055150_0240#0,"""¡Hombre 10% amable!<br>¿Qué quieres decir?"""
st_055150_0250#0,"""Guarda silencio, ¿Está bien?.<br>También quiero que los de Arks escuchen."""
st_055150_0260#0,"""De repente, se produjo un agujero negro en un punto no muy lejos del sistema solar."""
st_055150_0270#0,"""Debido a la gran distancia, no pasa nada en este momento..."""
st_055150_0280#0,"""...Aparecio sin una explosión de supernova."""
st_055150_0290#0,"""Por otra parte, la observación numérica<br>Es gigantesca. Eso no es normal"""
st_055150_0300#0,"""¿Qué sucede si el agujero negro sigue creciendo al ritmo actual?"""
st_055150_0310#0,"""¿No es obvio?.<br>A pesar de que está lejos de la Tierra,<br>si tragas todo el sistema solar, sería<br>nuestro fin."""
st_055150_0320#0,"""Och y yo colaboraremos con las agencias gubernamentales de cada país para investigar la situacion."""
st_055150_0330#0,"""Y los demas estan cooperando con Arks<br>Si sabes algo dimelo por favor."""
st_055150_0340#0,"""Un agujero negro que se expande a una alta velocidad... Ellos están en la misma situación."""
st_055150_0350#0,"""El registro akáshico es el registro de todo el universo. Entonces el mismo fenómeno sucederá incluso si cruza la dimensión."""
st_055150_0360#0,"""Cada ves mas y mas...<br>Se esta poniendo dificil."""
st_055150_0370#0,"""Parece mejor hablare con Hitsugi y Aru."""
st_055150_0380#0,"""Si algo sucede, házmelo saber.<br>El lado de la tierra se resumirá aquí."""
st_055150_0390#0,"""Lo entiendo, gracias"""
name01#0,"""？？？"""
name02#0,"""？？？"""
