st_056210_0010#0,"""A diferencia de Cuent, este es un castillo distintivo."""
st_056210_0020#0,"""No puedo permitirme hacer un edificio tan lujoso en mi casa. El material de construcción es un desperdicio, ¿verdad?"""
st_056210_0030#0,"""Incluso aquí, fue hecho por personas que han tenido tiempo libre para sustituirme<br>Respetando mi corazón y síguiendome"""
st_056210_0040#0,"""Bienvenido a casa. Reina Margaretta."""
st_056210_0050#0,"""Bueno, tú eres..."""
st_056210_0060#0,"""Tenía la intención de darle la debida consideración a la Reina para que siguiera disfrutando...<br>como ha estado."""
st_056210_0070#0,"""Sin embargo, fue inesperado engañar al personal para que confiara en Cuent de inmediato.<br>Y, también es que Cuent respondiera a eso."""
st_056210_0080#0,"""¿Quién eres?"""
st_056210_0090#0,"""¿Olvidas a tu propio sacerdote? <br>¿Que?<br>¡Este sirviente que te dijo la técnica de invocación!"""
st_056210_0100#0,"""Oh sí<br>Usted es el que me engaño con sus metodos<br>Pensé que no volverias."""
st_056210_0110#0,"""Idiota, por supuesto que no podria olvidarlo.<br>Aunque Dios ha perdonado a los traidores<br>No recuerdo tu nombre."""
st_056210_0120#0,"""¡Ja!<br>Está totalmente en problemas, y no entiendo si mi cabeza se está torciendo o eres estúpida.<br>Bueno, esa persona es interesante, pero."""
st_056210_0130#0,"""¡Eres el sujeto de Verun!"""
st_056210_0140#0,"""Entonces, ¿qué quieres hacer?<br>Me pregunto si viniste aquí para la declarar tu rendición."""
st_056210_0150#0,"""No, solo vine por una ultima invocacion ya que no estoy satisfecho."""
st_056210_0160#0,"""Mala suerte<br>De todos modos, no voy a permitir el mal.<br>En este Reino de Margaretta, en el palacio real."""
st_056210_0170#0,"""Aquí puedo hacer cualquier cosa<br>Aunque pensé que lo sabías bien."""
st_056210_0180#0,"""¿Que?"""
st_056210_0190#0,"""Por orden de Margaretta de Epic<br>Deberas morir aqui"""
st_056210_0200#0,"""¡¿Ga?!"""
st_056210_0210#0,"""¡Bien, a comer!"""
st_056210_0220#0,"""¿Que fue eso?"""
st_056210_0230#0,"""Arte de Dios transmitido por Epic<br>El poder de los milagros, la larga forma de la fe."""
st_056210_0240#0,"""Sin embargo, solo se puede usar aquí, y no me gusta su apariencia."""
st_056210_0250#0,"""Bueno, entonces, y si te quedaste aquí para siempre, ¿pequeña Maru?"""
st_056210_0260#0,"""アタシだけ安全でどうするのよ？<br>それで国が成り立つとでも？"""
st_056210_0270#0,"""Bueno, entonces, tengo que devolverlas a su  lugar.<br>pero ¿debería hacer lo mismo en el mismo lugar?"""
st_056210_0280#0,"""Ah, sí, estoy de acuerdo."""
st_056210_0290#0,"""Bueno, entonces, ustedes acérquense.<br>Oh, está bien, no puedo hacerlo aparentemente por un tiempo a menos que no haya respeto por Dios."""
st_056210_0300#0,"""Bien entonces ... entonces de inmediato ..."""
st_056210_0310#0,"""Me tomó, por idiota."""
st_056210_0320#0,"""Pero, qué! Que?"""
st_056210_0330#0,"""¡Eso es Ephimera!"""
st_056210_0340#0,"""Me lo estoy perdiendo, Reina Margaretta.<br>Supongo que dijo que era el último empujón."""
st_056210_0350#0,"""Es el último impulso para matarme. Para hacerse cargo de este lugar, ¿verdad?"""
st_056210_0360#0,"""Tu cuerpo es la ofrenda de Dios.<br>Ahí... solo transfiere el factor, Vamos."""
st_056210_0370#0,"""Oh, esto, es malo...!<br>que se le puede hacer, no hay otra elección!<br>¡vete!"""
st_056210_0380#0,"""Mi cuerpo... desaparecerá! Que?"""
st_056210_0390#0,"""¡Reina idiota!<br>no te preocupes por nosotros<br>¡Piensa en ti!<br>¡Tonta!"""
st_056210_0400#0,"""Dejame hacerlo!<br>Ustedes van a morir si no lo hago!<br>¡Es mi deber devolverlas!<br>Vete a casa rápidamente!"""
st_056210_0410#0,"""¡Margaretta!"""
st_056210_0420#0,"""No vengas, Reina de Cuent!<br>Esto es algo que solo yo debo hacer!<br>¡No hay más vuelta atras!"""
st_056210_0430#0,"""¡Ya me rendiré de una vez!<br>¡y el guardián me rescatar!<br>¿No es realmente un heroe?"""
st_056210_0440#0,"""Como se te ocurre decir eso en un momento como este"""
st_056210_0450#0,"""Lo siento hada!<br>En verdad, estoy asustada, ¡así que déjame tratar una táctica liviana!"""
st_056210_0460#0,"""Me rendiré por el momento ya que resistir es un desperdicio, así que les dejaré el resto...<br>Por favor ayúdame, ¡definitivamente!"""
st_056210_0470#0,"""Déjalo en mis manos!"""
st_056210_0480#0,"""Es difícil ir solo"""
st_056210_0490#0,"""Fuu... no me siento nada mal.<br>Pude aparecer en mi forma completa, y la calidad de este recipiente parece ser buena esta vez."""
st_056210_0500#0,"""Reacción, confirmación...<br>No hay error<br>¡Eso es Dark Falz [Apprentice]!"""
st_056210_0510#0,"""Oye?<br>¿Tienes todo tipo de juguetes que parece estar bien?"""
st_056210_0520#0,"""これだけの素体は久々なの……<br>ウォーミングアップを手伝って<br>もらえるかしらぁ？"""
st_056210_0530#0,"""反応は【若人】ですが……<br>そのパラメータの規模が違います！"""
st_056210_0540#0,"""ダークファルス【若人】だけじゃなく<br>マルさんの力、そっくりそのまま<br>使えたりしたら、ここで勝ち目は……"""
st_056210_0550#0,"""それでも、退くわけにはいかない"""
st_056210_0560#0,"""助けると約束した"""
st_056210_0570#0,"""……はい、その通りです。<br>マルガレータ様を助けないと……！"""
st_056210_0580#0,"""い……！"""
st_056210_0590#0,"""イヤアアアアア！？<br>何コレ何コレえええええええ！"""
st_056210_0600#0,"""ケバいケバすぎ！\u3000ケバ王ケバキング！<br>嘘嘘これアタシの将来の姿なの嘘ーっ！"""
st_056210_0610#0,"""……は、ハアアアアァ？！<br>究極の美貌に向かって、乳臭いガキが<br>何を言っているのかしらあ？！"""
st_056210_0620#0,"""ああ、喋るな喋るなあ！<br>その喋り方だけアタシの系譜で<br>自分が嫌いになってきちゃうでしょ！"""
st_056210_0630#0,"""ちっ、依代ごときが出しゃばるな！<br>わきまえなさい！"""
st_056210_0640#0,"""王がわきまえるわけないでしょ！<br>アンタ本当にアタシなの！？<br>頭が足りてなさすぎない！？"""
st_056210_0650#0,"""アンタはそのまま喋らず無言のまま<br>守護輝士にぼっこぼこにされて<br>倒されてしまいなさい！"""
st_056210_0660#0,"""世のため人のため国のため神のため<br>何よりこのアタシのために！"""
st_056210_0670#0,"""乗っ取られてるはずなのに<br>この喧しさ……どうなっていても<br>マルさんはマルさんなんですね。"""
st_056210_0680#0,"""あったりまえでしょ！<br>アタシを誰だと思ってるのよ！<br>神王マルガレータよ！"""
st_056210_0690#0,"""神の力を行使するのも<br>この国を好き勝手するのも<br>アタシにだけ許された行為なの！"""
st_056210_0700#0,"""なにより、こんなケバいヤツが<br>アタシの将来像って認めたくない……！"""
st_056210_0710#0,"""だから守護輝士、やっちゃって！<br>完膚なきまで、コナゴナに！"""
st_056210_0720#0,"""任せておけ！"""
st_056210_0730#0,"""なるべく痛くする！"""
st_056210_0740#0,"""よろしく！"""
st_056210_0750#0,"""さっきと違わない！？<br>まあいいわ、よろしくね！"""
st_056210_0760#0,"""……どこまでアタシを<br>軽く見ているのかしらぁッ！？"""
name01#0,"""神官"""
name02#0,"""？？？"""
