st_056060_0010#0,"""Finalmente te encuentro.<br>Flo"""
st_056060_0020#0,"""¡Guau!<br>¡Guau! Que?<br>Es un fantasma!<br>¡Los fantasmas salieron!<br>Hermana!"""
st_056060_0030#0,"""Aun que digas eso...<br>¿Es una conocida tuya Flo？"""
st_056060_0040#0,"""Me disculpo<br>Soy la líder menor de Es-Ars.<br>Clarissa."""
st_056060_0050#0,"""Y usted es la reina de Cuent la reina Harriet y su Guardian"""
st_056060_0070#0,"""¿Clarissa?..."""
st_056060_0080#0,"""¿No es Xion?"""
st_056060_0100#0,"""Sí.<br>¿Le recuerda algo mi nombre?"""
st_056060_0120#0,"""¿¿Hum??<br>Mi nombre es Clarissa<br>No tengo otro nombre"""
st_056060_0140#0,"""Nosotros sabemos que eres un guardián.<br>No, es la lider principal."""
st_056060_0160#0,"""Te equivocas.<br>No es la primer líder."""
st_056060_0170#0,"""Eso es correcto.<br>Entonces, ahora su conducta a partir de ahora no será irrespetuosa."""
st_056060_0190#0,"""¡Duele!"""
st_056060_0200#0,"""¿Qué estás pensando en salir sin alquien que le proteja?<br>¿Cómo olvida lo importante que es?"""
st_056060_0210#0,"""¡Pero, bueno... Bien entonces!<br>¡Yo quería venir aquí!<br>¡Un hermoso lugar turístico en Cuent!"""
st_056060_0220#0,"""No aceptarias que viníera aunque dijera que quería venir<br>Entonces..."""
st_056060_0230#0,"""Entonces, ¿Viniste solo?"""
st_056060_0250#0,"""Lo siento"""
st_056060_0260#0,"""Bien."""
st_056060_0270#0,"""Reina de Cuent, Harriet y, Sr. Guardian.<br>Estoy agradecida de que protegieran a Flo"""
st_056060_0280#0,"""Disculpen por el reproche de ahora."""
st_056060_0290#0,"""Bueno, tenemos que volver, Flo.<br>Debemos comenzar a preparar el ritual."""
st_056060_0300#0,"""No."""
st_056060_0310#0,"""¿Qué?"""
st_056060_0320#0,"""¡Noo!<br>¡No podré jugar cuando termine la ceremonia!<br>¡Ya no sere libre!"""
st_056060_0330#0,"""Por favor, deja de ser egoísta.<br>Recuerda que lo prometiste."""
st_056060_0340#0,"""Lo sé, pero...<br>No podré jugar más,<br>así que por última vez,<br>solo un poco más..."""
st_056060_0360#0,"""¿Ya no podras jugar?"""
st_056060_0370#0,"""¿Qué quieres decir con eso?"""
st_056060_0390#0,"""El lugar es bastante tranquilo.<br>¿Qué se supone que debe hacer este niño?"""
st_056060_0410#0,"""No es una historia muy conocida.<br>Flo es el símbolo del país."""
st_056060_0420#0,"""Lider principal de Es-Ars.<br>Despues del ritual si toca dinero, el interés por el desaparecerá.<br>Al igual que el sentido de la codicia."""
st_056060_0430#0,"""Por lo tanto, el símbolo del país debe ser la inocencia de la inocencia.<br>Sin codicia, independientemente del desarrollo del país y el deseo de la gente."""
st_056060_0440#0,"""Un hijo de un símbolo que gobierna con intereses sobre beneficios.<br>Después de la ceremonia, este lugar tendra éxito."""
st_056060_0450#0,"""Suena bien, pero ¿Privarle la libertad a este niño?"""
st_056060_0460#0,"""¡Eso eso!<br>¡Ya no podré jugar con nadie!"""
st_056060_0470#0,"""Por lo tanto, debería permitirte hacer lo que quisieras hasta este momento."""
st_056060_0490#0,"""Flo.<br>¿Estás bien con todo esto?"""
st_056060_0500#0,"""Reina de Cuent, esta interfiriendo con asuntos internos."""
st_056060_0510#0,"""Por favor dime.<br>Flo, Que es lo que piensas."""
st_056060_0530#0,"""Yo quería jugar más<br>Creo que está bien.<br>Soy el símbolo de Es-Ars"""
st_056060_0540#0,"""Seré uno con el país.<br>Esto fue originalmente decidido.<br>Lo que se decidió desde cuando nací."""
st_056060_0550#0,"""De esa forma, todos se divertirán.<br>Todos estarán felices."""
st_056060_0560#0,"""Si todos fueran felices..<br>Si todos se divierten..."""
st_056060_0570#0,"""Nadie quiere llorar...<br>Nadie tendra que pelear, supongo."""
st_056060_0590#0,"""¿Esa es tu elección?<br>¿Es tu decisión?"""
st_056060_0600#0,"""Sí."""
st_056060_0620#0,"""Hermana mayor.<br>Guardian y Hada."""
st_056060_0630#0,"""Gracias por jugar conmigo."""
st_056060_0650#0,"""Guardian, Xierra.<br>Disculpe las molestias.<br>Estoy bien ahora."""
st_056060_0660#0,"""No puedo desperdiciar la determinacion de ese<br>pequeño, quiero regresar al reino pronto."""
st_056060_0670#0,"""Eliminar a Ephimera, la raíz del conflicto...<br>para optener la paz en este mundo."""
st_056060_0680#0,"""Si es así, Flo seguramente podría jugar sin preocupaciones."""
skit01#0,"""El secreto de su pasado"""
skit02#0,"""Un descanso para la reina"""
name01#0,"""？？？"""
name02#0,"""？？？"""
