Title#0,"""任務櫃台"""
TitleCampship#0,"""任務櫃台裝置"""
HelpNon#0,"""<c f0df60>請稍候片刻。<c>"""
HelpTopMenu#0,"""<c f0df60>請從任務列表選擇想接受的任務。<c>"""
HelpTypeSelect#0,"""<c f0df60>請選擇任務種類。<c>"""
HelpQuestSelect#0,"""<c f0df60>請從任務列表選擇想接受的任務。<c>"""
HelpQuestSelect_Vita#0,"""<c f0df60>請選擇想接受的任務。用<c><%MultiSelect><c f0df60>按鍵可確認增幅的詳細内容。<c>"""
HelpRankSelect#0,"""<c f0df60>請選擇任務級別。<c>"""
HelpPartySelect#0,"""<c f0df60>請選擇參加的隊伍。<c>"""
HelpRecordSelect#0,"""<c f0df60>請確認最接近本任務的記録（道具之類的出現率，以及敵人的出現率等記錄）。<c>"""
ReceiverPC#0,"""・「PC」登入證"""
ReceiverVITA#0,"""・「PS Vita」登入證"""
OtherBlock#0,"""其他線路"""
BoostRate#0,"""＋$(0)％"""
HelpQuestSelect_DailyOrder#0,"""<c f0df60>一部のおすすめクエストをAランク以上でクリアすると、「ボーナスキー」が低確率で入手可能です。<c>"""
HelpOrderSelect#0,"""<c f0df60>受注したいクライアントオーダーを選択してください。<c>"""
HelpEpisodeSelect#0,"""<c f0df60>エピソードを選択してください。<c>"""
HelpBasnetGradeSelect#0,"""<c f0df60>参加したいグレードを選択してください。<c>"""
HelpSubMenu#0,"""<c f0df60>クエスト受注時の設定などがおこなえます。<c>"""
PrismHelpLimitedEventMenu#0,"""-"""
HelpLimitedEventMenu#0,"""<c f0df60>閲覧したいストーリーを選択してください。<c>"""
HelpMackGradeSelect#0,"""<c f0df60>クエストのステップを選択してください。<c>"""
TitleNon#0,"""不明錯誤"""
AttentionNon#0,"""錯誤原因不名。<br><br>[No.3007]"""
TitleCancelQuest#0,"""-"""
AttentionCancelQuest#0,"""-"""
None#0,"""錯誤原因不名。<br><br>[No.3000]"""
NotReceptQuestPartyGuest#0,"""你並非隊長<br>故無法接受任務。"""
NotReceptQuestAlreadyQuest#0,"""你並非隊長<br>故無法接受任務。<br>（任務已開始。<br>建議你先前往營地小船）"""
NotFoundQuestSearch#0,"""搜尋不到<br>指定條件的任務。"""
NotFoundRoomSearch#0,"""搜尋不到<br>指定的房間任務。"""
NotFoundPartyList#0,"""搜尋不到隊伍。"""
NotFoundQuestType#0,"""無可接受的任務。"""
NotFoundQuestList#0,"""無可接受的任務。"""
NotFoundFreeFieldQuest#0,"""目前無法使用。"""
NotFoundQuestRecord#0,"""任務記錄不存在。"""
CantStartQuestNotFoundRoom#0,"""搜尋不到目標房間，<br>故任務無法開始。"""
CantStartQuestCapacityOverRoom#0,"""房間人數已滿，故無法加入。"""
CantStartQuestCapacityOverRoom2#0,"""　房間人數已滿，故無法加入。<br>　人數包含預定加入房間的玩家，<br>　可能會有無法顯示參加人數的情況。<br>　<br>　<yellow>※加入預定的有限期間是一分鐘，<br>　　請稍後再重試，<br>　　就有機會加入。<c>"""
CantStartQuestNewRaidQuest#0,"""因為隊伍成員沒有打倒<br>參加條件的敵人，<br>無法接受任務。"""
CantStartQuestNotNotFoundParty#0,"""找不到指定的隊伍，<br>故任務無法開始。"""
CantStartQuestCapacityOverParty#0,"""隊伍已超過人數無法加入。"""
CantStartQuestDifferencePasswordParty#0,"""密碼錯誤無法加入。"""
CantStartQuestAlreadyFinished#0,"""這個隊伍<br>已完成任務，<br>故無法加入。"""
CautionNotSoloParty#0,"""目前正在組成隊伍<br>故無法移動到其他線路。"""
CantStartQuestDifferenceCondition#0,"""未符合加入本隊伍的條件，<br>故無法加入。"""
CantStartQuestDifferenceConditionLine1#0,"""理由如下，<br>無法加入本隊伍。<br><br>・$(0)"""
CantStartQuestDifferenceConditionLine2#0,"""理由如下，<br>無法加入本隊伍。<br><br>・$(0)<br>・$(1)"""
CantStartQuestDifferenceConditionLine3#0,"""理由如下，<br>無法加入本隊伍。<br><br>・$(0)<br>・$(1)<br>・$(2)"""
CantStartQuestDifferenceConditionLine4#0,"""理由如下，<br>無法加入本隊伍。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)"""
CantStartQuestDifferenceConditionLine5#0,"""理由如下，<br>無法加入本隊伍。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)"""
CantStartQuestDifferenceConditionLine6#0,"""理由如下，<br>無法加入本隊伍。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)"""
CantStartQuestDifferenceConditionLine7#0,"""理由如下，<br>無法加入本隊伍。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)"""
CantStartQuestDifferenceConditionLine8#0,"""理由如下，<br>無法加入本隊伍。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)<br>・$(7)"""
QuestLevel#0,"""可接受任務的等級/Lv.$(0)～"""
PartyLevel#0,"""可加入隊伍的等級/Lv.$(1)～$(0)"""
FriendOnly#0,"""只限好友"""
GuildOnly#0,"""只限公會成員"""
PasswordNG#0,"""密碼錯誤"""
BurstIntoNG#0,"""根據任務，可能無法中途加入"""
ReasonEventFlag#0,"""特殊的接受條件"""
RareAreaNG#0,"""隊伍在特別的區域裡"""
CantStartQuestTimeLimitOver#0,"""已超過任務可接受接受的期間。"""
CapacityOverParty#0,"""限制隊伍人數"""
PlatformError#0,"""限制跨平台"""
RaidQuestDisable#0,"""尚未打倒加入條件内要求的敵人"""
NotFoundPartyListtInBasnet#0,"""搜尋不到隊伍。"""
CantStartQuestNewNetCafeQuest#0,"""パーティーメンバーが<br>ネットカフェプレミアムではないため、<br>クエストを受注できません。"""
CantStartQuestClearCountLimit#0,"""因隊員超過了參加次數限制，<br>所以無法參加。"""
CantStartQuestJustAfterRareEnemyTrigger#0,"""エネミートリガーを使用した直後は、<br>新たにクエストを受注することができません。<br>少々時間をおいてから、再度お試しください。<br><br>※新たにクエストを受注しますと、<br>\u3000トリガーアイテムを使用して受注したクエストが<br>\u3000破棄されますのでご注意ください。"""
CantStartQuestJustAfterQuestTrigger#0,"""トリガークエストを受注した直後は、<br>新たにクエストを受注することができません。<br>少々時間をおいてから、再度お試しください。<br><br>※新たにクエストを受注しますと、<br>\u3000トリガーアイテムを使用して受注したクエストが<br>\u3000破棄されますのでご注意ください。"""
CantStartQuestTriggerErrorOccurred#0,"""処理に失敗したため、対象のトリガークエストを<br>受注できませんでした。<br>しばらく時間をおいてから、再度受注してください。"""
CantStartQuestTriggerErrorUseItem#0,"""クエストトリガーを使用できませんでした。<br>しばらく時間をおいてから、再度受注してください。"""
TitielCantStartQuestTriggerReorderTimeOut#0,"""再受注可能時間が終了しています"""
CantStartQuestTriggerReorderTimeOut#0,"""再受注可能時間が終了しているため<br>トリガークエストを受注することが<br>できませんでした。"""
CantStartCapacityOverInTraning#0,"""練習クエストを開始できませんでした。<br>移動先のブロックが混雑している場合は<br>しばらく時間をあけてからお試しください。<br><br>※練習クエストは所属シップの<br>\u3000\u3000チャレンジブロックで行われます。"""
QuestSubLevel#0,"""<pict subclass_icon>Lv.$(0)～"""
ClearCountLimit#0,"""クエストのクリア回数制限を超えている"""
BasnetOrderNumZeroMembers#0,"""メインマッチ受注回数が0回のメンバーがいます"""
BasnetProperGradeError#0,"""グレードが違うルームのため参加できません"""
BasnetSupportGradeError#0,"""参加できないグレードのルームです"""
BasnetNotLimitedMatchRoom#0,"""メインマッチ：上級のルームではありません"""
BasnetOrderNumZeroSelf#0,"""メインマッチ受注回数が0回です"""
TrainingBlockChallenge#0,"""チャレンジブロックではアークス訓練所クエストを<br>受注することができません。"""
TrainingBlockQuestUnlock#0,"""練習クエスト（アークス訓練所）は<br>アークスクエスト「フォンガルフ討伐」の<br>クリア後に解放されます。"""
NotHaveQuestTrigger#0,"""以下のいずれかの理由により<br>このトリガークエストを受注できません。<br><br>・クエストトリガーを所持していない<br>・クエストトリガーの利用期限が切れている<br>・クエスト配信が一時的に停止されている<br><br>有効なクエストトリガーを所持していても<br>受注できない場合は<br>プレイヤーズサイトをご確認ください。"""
