ChallengeSet#0,"""職業配置"""
ChallengeSet_contents#0,"""職業配置内容"""
ChallengeSet_ability#0,"""職業配置説明（決定以確認職業技能等詳情）"""
ChallengeSet_ability_list#0,"""職業技能・PA・法術一覽"""
ChallengeSet_select#0,"""選擇職業配置"""
ChallengeSet_confirm#0,"""確認職業配置"""
ChallengeSet_message#0,"""將會把裝備、職業技能等內容更改為<br>「$(0)」的內容。<br><br>確定麼？"""
ChallengeSet_nouse#0,"""由於開始了任務，<br>無法更改職業配置。"""
ChallengeSet_Help#0,"""<c f0df60>可以選擇職業配置<c>"""
ChallengeSet_Toast#0,"""應用了職業配置「$(0)」"""
MySetClassSetNone#0,"""未設置職業"""
MySetEquipSetNone#0,"""未設置裝備"""
MySetPreSetNone#0,"""不存在預設"""
StatusLabelLevel#0,"""Lv."""
NoClassSkillMessage#0,"""沒有職業技能"""
NoPaMessage#0,"""沒有光子技能"""
NoTechnicMessage#0,"""沒有法術"""
MySetClassNone#0,"""未選擇職業"""
MySetItemNone#0,"""未選擇道具"""
Title#0,"""職業詳情"""
ItemDetailTitle#0,"""道具詳情"""
Class#0,"""職業"""
Error#0,"""個人配置錯誤"""
EquipError#0,"""未能更改裝備。"""
ListError#0,"""未能獲得個人配置。"""
QuestStartError#0,"""任務已經開始。"""
MenuError#0,"""沒有個人配置"""
ClassSet_Hunter#0,"""獵人(Hu)類型"""
ClassSet_Ranger#0,"""遊俠(Ra)類型"""
ClassSet_Force#0,"""法師(Fo)類型"""
ClassSet_Braver#0,"""武士(Br)類型"""
ClassSet_Bouncer#0,"""凌客(Bo)類型"""
SkillTree_Hu#0,"""Hu類型"""
Preset_Hu#0,"""組合了<yellow>獵人(Hu)、鬥士(Fi)<c>的職業配置。<br>可使用的武器數量很多，耐久力十分優秀。屬於打擊型。"""
Preset_Ra#0,"""組合了<yellow>遊俠(Ra)、鷹眼(Gu)<c>的職業配置。<br>拿手於使用特殊彈與陷阱進行支援。屬於射擊型。"""
Preset_Fo#0,"""組合了<yellow>法師(Fo)、元素使(Te)<c>的職業配置。<br>對全屬性的攻擊與輔助法術運用自如。屬於法擊型。"""
Preset_Br#0,"""組合了<yellow>武士(Br)、獵人(Hu)<c>的職業配置。<br>不論距離遠近都能進行戰鬥。屬於平衡型。"""
Preset_Bo#0,"""組合了<yellow>凌客(Bo)、獵人(Hu)<c>的職業配置。<br>空中戰鬥與機動力十分優秀。屬於平衡型。"""
ClassSet_CH3_Fi#0,"""<c ffc000>進攻<c>：鬥士(Fi)"""
ClassSet_CH3_Gu#0,"""<c ffc000>進攻<c>：鷹眼(Gu)"""
ClassSet_CH3_Br#0,"""<c ffc000>進攻<c>：武士(Br)"""
ClassSet_CH3_Hu#0,"""<c 00ffff>疾馳<c>：獵人(Hu)"""
ClassSet_CH3_Ra#0,"""<c 00ffff>疾馳<c>：遊俠(Ra)"""
ClassSet_CH3_Bo#0,"""<c 00ffff>疾馳<c>：凌客(Bo)"""
ClassSet_CH3_Fo#0,"""<green>輔助<c>：法師(Fo)"""
ClassSet_CH3_Te#0,"""<green>輔助<c>：元素使(Te)"""
ClassSet_CH3_Hr#0,"""<yellow>獨特<c>：英雄(Hr)"""
ClassSet_CH3_Ph#0,"""<yellow>獨特<c>：幻影(Ph)"""
ClassSet_CH3_Et#0,"""<yellow>獨特<c>：閃星(Et)"""
ClassSet_CH3_Lu#0,"""<yellow>獨特<c>：輝刃(Lu)"""
Preset_CH3_Fi#0,"""從正面進行戰鬥的<yellow>鬥士(Fi)型<c>。<br>在陷入HP低下或異常狀態等逆境時，會得到強化。"""
Preset_CH3_Gu#0,"""可以靈活運用連鎖起射<br>在瞬間造成大額傷害的<yellow>鷹眼(Gu)型<c>。"""
Preset_CH3_Br#0,"""能通過拔劍技能的無敵，與遠距離射擊<br>進行持續攻擊的<yellow>武士(Br)型<c>。"""
Preset_CH3_Hu#0,"""防禦十分優秀的<yellow>獵人(Hu)型<c>。<br>可以使用二段跳躍、解式PA。解式槽的增加率高。"""
Preset_CH3_Ra#0,"""擁有著脆化彈的<yellow>遊俠(Ra)型<c>。<br>可以使用二段跳躍、解式PA。"""
Preset_CH3_Bo#0,"""擁有著暴擊輔助能力的<yellow>凌客(Bo)型<c>。<br>可以使用二段跳躍、解式PA。"""
Preset_CH3_Fo#0,"""操控攻擊結界與異常狀態的<yellow>法師(Fo)型<c>。<br>可以使用複合法術，治療結界的回復力高。"""
Preset_CH3_Te#0,"""強於防禦結界等隊伍支援的<yellow>元素使(Te)型<c>。<br>可以使用複合法術、治療結界。"""
Preset_CH3_Hr#0,"""以多彩的攻擊與反擊進行作戰的職業。<br>可裝備大劍、雙機槍、導具。"""
Preset_CH3_Ph#0,"""可以憑藉鈍化造成攻擊力低下的職業。<br>可裝備步槍、拔劍、長杖。"""
Preset_CH3_Et#0,"""堅如磐石，在給予友方PP支援的同時進行作戰的職業。<br>可裝備雙頭劍、飛翔劍、短杖。"""
Preset_CH3_Lu#0,"""得意於驅使槍刃的<br>高速戰鬥的職業。只可裝備槍刃。"""
InShipToast#0,"""暫時切換為了挑戰線路專用的狀態。"""
MainMenu_Mail#0,"""共通信件"""
MainMenu_FriendList#0,"""共通好友列表"""
MainMenu_Community_Friend#0,"""共通好友列表"""
MainMenu_Community_Mail#0,"""共通信件"""
MainMenu_System_SimbolArt#0,"""共通塗鴉"""
MainMenu_Community_CommonFriend#0,"""共通好友列表"""
MainMenu_Community_CommonMail#0,"""共通信件"""
ChallengeTitleText#0,"""挑戰紀念碑"""
ChallengeGuideText#0,"""<c f0df60>將會顯示參加了挑戰任務玩家的排行。<c>"""
ChallengeGuideNow#0,"""<c f0df60>顯示的是正在進行中的挑戰排行。<c>"""
ChallengeGuideNew#0,"""<c f0df60>顯示的是最新的挑戰排行。<c>"""
ChallengeGuideOld#0,"""<c f0df60>顯示的是過去的挑戰排行。<c>"""
ChallengeTitleChallengeSelect#0,"""選擇挑戰"""
ChallengeTitleQuest#0,"""$(0)"""
ChallengeCapDate#0,"""統計期間"""
ChallengeDate#0,"""每週<utcdow>星期日22:00</utcdow>更新"""
ChallengeRankingTitle#0,"""「$(0)」挑戰排行"""
ChallengeMission#0,"""MISSION$(0)($(1)%)"""
RankingTab01#0,"""最高20名"""
RankingTab02#0,"""自己的周圍"""
RankingTab03#0,"""好友最高20名"""
RankingTab04#0,"""公會最高20名"""
RankingText01#0,"""排行"""
RankingText02#0,"""角色名稱/玩家ID名稱"""
RankingText03#0,"""到達區域/CM"""
RankingText04#0,"""你的名次"""
RankingText05#0,"""排行榜"""
RankingText06#0,"""角色名稱"""
RankingText07#0,"""玩家ID名稱"""
RankingErrorTitle#0,"""通知"""
RankingErrorMsg#0,"""目前挑戰排行暫不可用。"""
SendTitle#0,"""挑戰描述"""
Message#0,"""把這次的挑戰結果留在描述裡吧!<br><br>描述會顯示在記錄了你最高完成率的標籤裡。<br><br><yellow>※輸入的描述也會顯示給隊員。<c><br><yellow>※即便沒有超越先前的最高完成率<br>描述也會在每次輸入後進行更新。<c>"""
SendErrorTitle#0,"""挑戰描述"""
SendErrorMessage#0,"""現在服務器滿載中。<br>未能保存挑戰描述。"""
Achievement_Up#0,"""成就名(+$(0)CP)"""
Achievement_Down#0,"""達成了！"""
Clear_Msg#0,"""挑戰完成率：MISSION$(0) $(1)%"""
TextStart#0,"""challenge  start"""
TextClear#0,"""challenge clear"""
TextMission#0,"""mission"""
TextCongratulations#0,"""congratulations!"""
TextInterval#0,"""interval area"""
TextFinalMission#0,"""final mission"""
ResultEmptyMessage#0,"""可以在這裡輸入描述。"""
ReturnMessage#0,"""回到營地小船。<br>是否確定？<br><br>若返回營地小船，則不會回復VR能量<br><yellow>且會影響到隊伍全體的結算評價。<c><br>且若是在任務中長時間停留在營地小船內<br>也會影響到個人的評價。<br><br>原地復活可以回復一定量的VR能量。"""
SelectedForm_Title#0,"""共通塗鴉清單"""
Ship01#0,"""01船：費歐"""
Ship02#0,"""02船：烏爾"""
Ship03#0,"""03船：索恩"""
Ship04#0,"""04船：安斯爾"""
Ship05#0,"""05船：拉古茲"""
Ship06#0,"""06船：肯"""
Ship07#0,"""07船：鳩夫"""
Ship08#0,"""08船：維因"""
Ship09#0,"""09船：哈嘉爾"""
Ship10#0,"""10船：納烏西茲"""
DebugShip01#0,"""01船"""
DebugShip02#0,"""02船"""
DebugShip03#0,"""03船"""
DebugShip04#0,"""04船"""
DebugShip05#0,"""05船"""
DebugShip06#0,"""06船"""
DebugShip07#0,"""07船"""
DebugShip08#0,"""08船"""
DebugShip09#0,"""09船"""
DebugShip10#0,"""10船"""
