BlockForm_Title#0,"""ย้าย Block"""
BlockForm_Title2#0,"""รายละเอียด Block"""
BlockForm_MyRoom#0,"""ไปที่ห้องของคุณ (Your Room)"""
BlockForm_GuildRoom#0,"""ไปที่ห้องทีม (Team Room)"""
BlockForm_ClassicBlock#0,"""ย้ายไปยัง [PSO2] Block"""
BlackForm_Cancel#0,"""กลับ"""
BlackForm_Explanation#0,"""คำอธิบาย"""
BlackForm_PremiumSpace#0,"""Premium Space"""
BlockForm_Move_Exp#0,"""เมื่อทำการย้าย Block, Quest ใดๆ ที่คุณกำลังรอคิวอยู่จะถูกยกเลิก<br><br>เอฟเฟกต์หรือ Boost ที่ได้รับจาก Quest จะถูกยกเลิกเช่นกัน"""
BlockForm_Classic_Exp#0,"""เมื่อทำการย้าย Block, คุณจะออกจาก Party โดยอัตโนมัติ และ Quest ใดๆ ที่คุณกำลังรอคิวอยู่จะถูกยกเลิก<br><br>เอฟเฟกต์หรือ Boost ที่ได้รับจาก Quest จะถูกยกเลิกเช่นกัน"""
BlockFormTitle_Streamer_Classic_Exp#0,"""Streamer Mode"""
BlockForm_Streamer_Classic_Exp#0,"""Streamer Mode กำลังทำงานอยู่<br><br>Streamer Mode ใช้งานได้เฉพาะใน PSO2:NGS เท่านั้น<br>หากคุณย้ายไปยัง PSO2 Block, Streamer Mode จะถูกปิดใช้งาน<br><br>คุณแน่ใจหรือไม่ว่าต้องการย้ายไปยัง PSO2 Block?"""
BlockForm_MyRoom_Exp#0,"""คุณแน่ใจหรือไม่ว่าต้องการไปที่ห้องของคุณ?"""
BlockForm_GuildRoom_Exp#0,"""คุณต้องการไปที่ห้องทีมของคุณหรือไม่?"""
BlockForm_Move_Que#0,"""ดำเนินการย้ายไปยัง Block:<br>$(0)?"""
BlockForm_Classic_Que#0,"""ดำเนินการย้ายไปยัง [PSO2] Block หรือไม่?"""
BlockForm_BlockName#0,"""Block เป้าหมาย"""
BlockForm_Error_Full#0,"""ไม่สามารถเข้าสู่ Block ที่เลือกได้<br>เนื่องจากมีผู้เล่นหนาแน่นเกินไป"""
BlockForm_Error_NotFound#0,"""ไม่พบ Block ที่เลือก<br><br>[No.1000]"""
BlockForm_Error_Unknown#0,"""ไม่สามารถเข้าสู่ Block ที่เลือกได้<br>เนื่องจากเกิดข้อผิดพลาด<br><br>[No.1001]"""
BlockForm_Error_Default#0,"""คุณไม่สามารถเข้าสู่ Block นี้ได้เนื่องจาก<br>ข้อผิดพลาดที่ไม่ทราบสาเหตุ<br><br><br>[No.1002]"""
BlockForm_Error_Premium#0,"""คุณพยายามที่จะย้ายไปยัง Premium Block<br>แต่คุณไม่มี Premium Ticket<br>หรือสถานะ Premium ของคุณหมดอายุแล้ว<br>จึงไม่สามารถย้ายไปยัง Block นี้ได้<br><br>[No.1003］"""
BlockForm_Error_Platform#0,"""คุณไม่สามารถย้ายไปยัง Block นี้ได้เนื่องจาก<br>คุณกำลังใช้งานบนแพลตฟอร์มที่ไม่ถูกต้อง<br><br>[No.1004］"""
BlockForm_PublicShip#0,"""ไปที่ Shared Ship"""
BlockForm_PublicShip_Poka#0,"""ไปที่ Shared Ship Battle Lobby"""
BlockForm_PublicShip_Challenge#0,"""ไปที่ Shared Ship Challenge Lobby"""
BlockForm_PokaLobby#0,"""ไปที่ Battle Lobby"""
BlockForm_ChallengeLobby#0,"""ไปที่ Challenge Lobby"""
BlockForm_MyShip#0,"""กลับไปยัง Ship ของคุณ"""
BlockForm_PublicShip_Exp#0,"""เมื่อย้ายไปยัง Shared Ship คุณจะถูก<br>นำออกจาก Party โดยอัตโนมัติ และ<br>Quest ที่รับไว้จะถูกยกเลิก<br><br>นอกจากนี้ เอฟเฟกต์ใดๆ ที่ได้รับจาก<br>Quest ที่คุณตอบรับไว้จะหายไป<br><br>ต้องการย้ายไปยัง Shared Ship หรือไม่?"""
BlockForm_PublicShip_Exp_TriggerQuest#0,"""<yellow>คุณกำลังอยู่ในระหว่าง Trigger Quest!<c><br><br>หากย้ายไปยัง Shared Ship คุณจะหลุดจาก Party<br>โดยอัตโนมัติ และสมาชิกทุกคนใน Multi-party<br><yellow>จะถูกยกเลิก Quest ทันที<c><br>※ในกรณีที่ยังเหลือเวลาหรือจำนวนครั้ง<br>\u3000ในการลง Trigger Quest อีกครั้งเท่านั้น<br><br>นอกจากนี้ เอฟเฟกต์ที่ได้รับภายในเควสต์<br>ทั้งหมดจะหายไปด้วย<br><br><red>Meseta หรือไอเทมที่ใช้เพื่อเริ่ม Quest<br>จะไม่ถูกส่งคืน ซึ่งอาจก่อให้เกิดปัญหาได้<br>โปรดระมัดระวัง<c><br><br>ต้องการย้ายไปยัง Shared Ship หรือไม่?"""
BlockForm_MyShip_Exp#0,"""เมื่อย้ายไปยัง Ship ของคุณ คุณจะถูก<br>นำออกจาก Party โดยอัตโนมัติ และ<br>Quest ที่รับไว้จะถูกยกเลิก<br><br>นอกจากนี้ เอฟเฟกต์ใดๆ ที่ได้รับจาก<br>Quest ที่คุณตอบรับไว้จะหายไป<br><br>ต้องการย้ายไปยัง Ship ของคุณ หรือไม่?"""
