wh_mainhelp#0,"""首先"""
wh_inventory#0,"""道具/道具背包"""
wh_pallet_customize#0,"""道具/自訂"""
wh_mag#0,"""道具/瑪古"""
wh_equip#0,"""裝備/武器裝備"""
wh_equip_protector#0,"""裝備/防具裝備"""
wh_equip_subpallet#0,"""裝備/編輯快捷列"""
wh_friendlist#0,"""社群/好友列表"""
wh_team01#0,"""社群/公會指令"""
wh_party#0,"""社群/隊伍指令"""
wh_mail#0,"""社群/信件"""
wh_playerlist#0,"""社群/周圍的角色"""
wh_charainfo#0,"""個人資料/角色情報"""
wh_license#0,"""個人資料/稱號列表"""
wh_communicationlist#0,"""個人資料/交流歷史記錄"""
wh_profile_info#0,"""個人資料/編輯ARKS名片"""
wh_clientorder#0,"""任務/委託"""
wh_bingo#0,"""任務/ARKS冰菓"""
wh_arcsload#0,"""任務/ARKS之路"""
wh_questinfo#0,"""任務/任務情報"""
wh_qu_defense_friend#0,"""系統/防衛結果"""
wh_storyquest#0,"""任務 / 劇情任務"""
wh_symbolart#0,"""系統/塗鴉"""
wh_macro#0,"""系統/聊天設置"""
wh_config#0,"""系統/設置"""
wh_logwindow#0,"""系統/記錄窗口"""
wh_loginstamp#0,"""系統/登録獎勵"""
wh_es#0,"""系統/es聯動"""
wh_acshop#0,"""AC清單/AC商店"""
wh_gacha#0,"""AC清單/轉蛋"""
wh_history#0,"""AC清單/購買歷史"""
wh_expirationdate#0,"""AC清單/服務有效期限"""
wh_logout#0,"""登出"""
wh_selectmenu#0,"""快速菜單"""
wh_visifon#0,"""通訊裝置"""
wh_myshop#0,"""通訊裝置/個人商店"""
wh_myshop_sell#0,"""通訊裝置/個人商店管理"""
wh_partner_registration#0,"""通訊裝置/登録好友夥伴"""
wh_profile#0,"""通訊裝置/編輯ARKS名片"""
wh_arcssearch#0,"""通訊裝置/搜尋ARKS"""
wh_library#0,"""通訊裝置/圖鑑"""
wh_ranking#0,"""通訊裝置/排行"""
wh_item_code#0,"""通訊裝置/特典道具碼"""
wh_goodjob#0,"""角色菜單/鼓勵"""
wh_trade#0,"""角色菜單/道具交易"""
wh_questcounter#0,"""櫃台/任務櫃台"""
wh_freefield#0,"""櫃台/選擇自由區域"""
wh_class_counter#0,"""櫃台/職業櫃台"""
wh_skilltree#0,"""櫃台/職業天賦樹"""
wh_license_counter#0,"""櫃台/稱號櫃台"""
wh_teamcounter01#0,"""櫃台/公會櫃台"""
wh_team_extension#0,"""櫃台/公會擴充、公會小屋擴充"""
wh_medical#0,"""櫃台/醫學中心"""
wh_netcafe#0,"""櫃台/網伽櫃台"""
wh_shop#0,"""商店/道具商店"""
wh_rabo#0,"""商店/道具實驗室"""
wh_exchange#0,"""商店/交換商店"""
wh_recycling#0,"""商店/回收商店"""
wh_shop_simple#0,"""商店/限定商店"""
wh_judgment#0,"""商店/鑑定"""
wh_esthetic#0,"""商店/美容院"""
wh_funshop#0,"""商店/FUN商店"""
wh_dailyshop_na#0,"""ショップ / おすすめショップ"""
wh_container#0,"""裝置/倉庫"""
wh_guild_container#0,"""裝置/公會倉庫"""
wh_partner_terminal#0,"""裝置/召喚夥伴裝置"""
wh_myroom#0,"""裝置/個人小屋裝置"""
wh_team_boost#0,"""裝置/光子樹"""
wh_qu_eternal_terminal#0,"""裝置/極限任務裝置"""
wh_qu_eternal_floorinfo#0,"""裝置/階層情報(極限任務)"""
wh_qu_defense_console#0,"""裝置/採掘基地裝置"""
wh_charamake#0,"""創立角色"""
wh_faintingmenu#0,"""無法戰鬥状態菜單"""
wh_areamap#0,"""區域地圖"""
wh_keybordhelp#0,"""鍵盤幫助"""
wh_partner_list#0,"""夥伴清單"""
wh_supportpartner_menu#0,"""支援夥伴/菜單"""
wh_supportpartner_custom#0,"""支援夥伴/裝備設定"""
wh_supportpartner_search#0,"""支援夥伴/探索指示"""
wh_craft_top#0,"""鍛造/鍛造菜單"""
wh_craft_extend#0,"""鍛造/武裝擴張"""
wh_craft_tec_custom#0,"""鍛造/法術自定義"""
wh_craft_orders_created#0,"""鍛造/委託清單"""
wh_craft_signboard#0,"""鍛造/看板設定"""
wh_craft_visifon_top#0,"""鍛造/鍛造情報"""
wh_craft_search#0,"""鍛造/鍛造者搜尋"""
wh_craft_user_order#0,"""鍛造/發委託給其他玩家"""
