EquipNoteCheckSheet#0,"""查看收集板"""
EquipNoteDeleteSheet#0,"""放棄收集板"""
EquipNoteClearCoolTime#0,"""重新接受收集板<pict StarGem>"""
EquipNoteExtendHaveSheet#0,"""擴張收集板數量上限<pict StarGem>"""
EquipNoteOffTime#0,"""無實施期限"""
DeleteYesNoTitle#0,"""放棄收集板"""
DeleteYesNoMsgOnTime#0,"""將放棄<pict $(0)>$(1) 的收集板。<c><br><br><red>※收集板內「必要道具」的槽已儲存的量<br>　將會全部重置。<c><br><br>確定放棄麼？"""
DeleteYesNoMsgOffTime#0,"""將放棄<pict $(0)>$(1) 的收集板。<br><br><red>※收集板內「必要道具」的槽已儲存的量<br>　將會全部重置。<c><br><yellow>※因為已經過了實施期間<br>　放棄後無法再次接受。<c><br><br>確定放棄麼？"""
DeleteSuccessMsg#0,"""放棄了收集板<pict $(0)>$(1)。"""
TopMenu_Empty#0,"""可以從裝備管理官普林接受實施中的收集板任務。"""
TopMenu_EmptyGray#0,"""<gray>可以從裝備管理官處接受<c>"""
TopMenu_EmptyByPremium#0,"""<pict Arcscash><gray>可用VIP服務擴張<c>"""
TopMenu_EmptyByTicket#0,"""<pict StarGem><gray>可用SG擴張<c>"""
TopMenu_EmptyByPremiumClosable#0,"""這是在VIP服務有效期間中<pict Arcscash><br>或者是在官方Net Cafe登錄中<br>才有效的收集板。"""
TopMenu_EmptyByTicketClosable#0,"""這是在裝備管理官的「收集板」菜單中<br>使用SG購買「シート所持数拡張」後<br>才有效的收集板。"""
TopMenu_SheetName#0,"""<pict $(0)>$(1) 的收集板"""
TopMenu_SheetNameExpired#0,"""<red><c><pict $(0)><red>$(1) 的收集板<c>"""
SheetNum_InfoDefault#0,"""<gray>未擴張收集板數量上限<c>"""
SheetNum_InfoPremiumEnable#0,"""<pict Arcscash><yellow>VIP服務擴張2個<c>"""
SheetNum_InfoPremiumOver#0,"""<red>VIP服務過期<c>"""
SheetNum_InfoPremiumNetCafe#0,"""<green>官方Net Cafe特典擴張2個<c>"""
SheetNum_InfoAdd#0,""" + $(0)"""
SheetNum_InfoTicketEnable#0,"""<pict StarGem><c 00ffff>SG擴張$(0)個<c>"""
SheetNum_OrderNum#0,"""$(0)個進行中"""
SheetNum_CurrentNum#0,""" （$(0)/$(1)）"""
SheetNum_CurrentNum_Equal#0,""" （<c ff9c70>$(0)/$(1)<c>）"""
SheetNum_CurrentNum_Over#0,""" （<c ff0000>$(0)/$(1)<c>）"""
Toast_ExpiredSheet#0,"""這個收集板已經過期了。"""
Title_SheetDetail#0,"""收集板詳情"""
Title_SheetDetailQuestInfo#0,"""掉落情報"""
Title_itemDetail#0,"""道具詳情"""
SheetDetail_Reward#0,"""報酬打偶"""
SheetDetail_SpecialSheetDetail_Reward#0,"""報酬打偶"""
SheetDetail_Target#0,"""必要道具"""
SheetDetail_Quest#0,"""目標敵人在以下任務經常出現"""
SheetDetail_QuestSpecify#0,"""槽只會在以下任務中上漲"""
SheetDetail_QuestType#0,"""以下のクエストタイプで対象エネミーが多く出現します"""
SheetDetail_QuestTypeSpecify#0,"""以下のクエストタイプでのみゲージが上昇します"""
SheetDetail_DropEnemy#0,"""目標敵人"""
SheetDetail_TargetQuestOrQuestType#0,"""以下のクエスト/クエストタイプのクリアでゲージ上昇"""
SheetDetail_SheetGet#0,"""接受這個收集板"""
SheetDetail_Back#0,"""返回"""
SD_Closable_Title#0,"""收集板"""
SD_Closable_Message#0,"""接受了<pict $(0)>$(1) 的收集板。"""
SD_Closable_Error_01#0,"""未能接受這個收集板。"""
Quest_None#0,"""無"""
Quest_Level#0,"""Lv.$(0)～"""
Quest_Level_New#0,"""Lv.$(0)～"""
Quest_Level_New_Info#0,"""<yellow>※エネミーレベルによって上昇量が変動<c>"""
Quest_Format#0,"""$(1)$(0)"""
Quest_QuestType_Urgency#0,"""（トリガークエスト含む）"""
Quest_QuestType_Warning#0,"""<yellow>※クエスト難易度によって上昇量が変動<c>"""
Enemy_None#0,"""無"""
Enemy_All#0,"""全部敵人"""
Target_Rate#0,"""$(0).$(1)%"""
GetRewardMessage#0,"""獲得報酬道具「<yellow>$(0)<c>」！"""
GetRewardMessage2#0,"""達成收集板的目標，<br>獲得了道具「<pict $(0)>$(1)」 ★$(2)。"""
GetRequireMessage#0,"""掉落了必要道具「<yellow>$(0)<c>」！"""
EquipNoteError_Title#0,"""收集板"""
EquipNoteError_IllegalParam#0,"""發生錯誤。<br><br>請稍後再試。"""
EquipNoteError_DB#0,"""發生問題。<br><br>請稍後再試。"""
EquipNoteError_MaxSheet#0,"""無法再接受收集板。<br>請先放棄其他收集板<br>再試着接受。"""
EquipNoteError_Payment#0,"""SG不足。"""
EquipNoteError_ExpiredSheet#0,"""收集板已經不在實施期間。"""
EquipNoteError_RequirePremium#0,"""發生錯誤。<br>沒有開通「VIP服務」，<br>或是已經過期。<br><br>請確認遊玩環境的時間設定是否正確。"""
EquipNoteError_MaxExtendHaveSheetByTicket#0,"""收集板數量上限已經擴張到最多了<br>無法繼續擴張。"""
EquipNoteError_NoMoreSpecialCollection#0,"""<pict sp_icon>スペシャルコレクトシートは1つしか<br>所持することができません。<br><br>すでに1つ所持しているため入手することができません。"""
EquipNote_ConfirmToGetSheet#0,"""<pict sp_icon>スペシャルコレクトシートは、1つだけ所持できます。<br><br>このコレクトシートを入手しますか？"""
EquipNote_ClearCoolTimeTitle#0,"""確認購買道具"""
EquipNote_ClearCoolTimeMessage#0,"""<pict StarGem><c 1dedd7>SG消費明細<c><br><br>購買「$(1)」之後，<br>馬上就可以再次接受 <pict $(0)>$(2) 的收集板。<br><br>進入「$(1)」的購買畫面麼？"""
EquipNote_ClearCoolTimeMessage2#0,"""將以$(0)SG購買以下道具。<br>確定麼？<br><br>（所持SG：$(1)）"""
EquipNote_ClearCoolTimeSuccessTitle#0,"""收集板"""
EquipNote_ClearCoolTimeSuccessMessage#0,"""購買了<pict $(0)>$(1) 的收集板的<br>重置冷卻服務。"""
EquipNote_ClearCoolTimeItem#0,"""收集板冷卻時間重置"""
EquipNote_TitleSheetInfo#0,"""收集板情報"""
EquipNote_TitleTimeInfo#0,"""實施期間"""
EquipNote_CoolTime#0,"""冷卻時間"""
EquipNote_CoolTime_Free#0,"""-"""
EquipNote_CoolTime_Wait#0,"""這個收集板到<br><red>$(0)<c><br>為止無法接受。<br>（可用星鑽重置）"""
EquipNote_CoolTime_None#0,"""沒有收集板。"""
EquipNote_CoolTime_SheetExpired#0,"""這個收集板已經過期了。<br>無法接受或者重新接受收集板。"""
EquipNote_BondMessage#0,"""$(0)$(1)"""
EquipNote_AndText#0,"""&"""
EquipNoteBoost_Title#0,"""ゲージ増加アイテムを使う"""
EquipNoteBoost_ItemWinTitle#0,"""アイテム選択"""
EquipNoteBoost_ProTitle#0,"""$(0) の必要アイテムと進行度"""
EquipNoteBoost_UseCheckTitle#0,"""アイテム使用確認"""
EquipNoteBoost_UseCheck#0,"""「$(0)」を使用して<br>「$(1)」の<br>進行度ゲージを上昇させます。<br><br>よろしいですか？"""
EquipNoteBoost_UseToast#0,"""使用了「$(0)」 。"""
EquipNoteBoost_Help#0,"""<c f0df60>使用するアイテムを選んでください。"""
EquipNoteBoost_SheetDetail#0,"""コレクトシート情報"""
EquipNoteBoost_UseCheck2#0,"""一部の進行度ゲージが100%を超えてしまいます。<br>超えてしまった分は失われますが<br>本当によろしいですか？"""
EquipNoteBoost_NoItemMessage#0,"""アイテムがありません"""
DirectBuyTicket_Title#0,"""確認購買道具"""
DirectBuyTicket_Msg1Seq1#0,"""<pict StarGem><c 1dedd7>SG消費明細<c><br><br>購買「$(0)」之後，<br>收集板的數量將會增加一個。<br>（最大可增加 $(1)個）<br><br>進入「$(0)」的購買畫面麼？"""
