Common#0,"""เข้าใช้งาน"""
Npc#0,"""สนทนา"""
Gather#0,"""หยิบ"""
Sit#0,"""นั่ง"""
TransferSingle#0,"""เทเลพอร์ต"""
TransferMultiStart#0,"""เปิดใช้งานเทเลพอร์ต"""
TransferMultiStop#0,"""หยุดเทเลพอร์ต"""
ItemStorage#0,"""เข้าถึงคลัง"""
Jump#0,"""กระโดด"""
DivaAccess#0,"""สลับมุมกล้อง"""
GazeCamera#0,"""มองเป้าหมาย"""
ReturnNormalCamera#0,"""กดค้างเพื่อกลับ"""
Pickup#0,"""เก็บ"""
FloatingBoardRide#0,"""Floating Board"""
FieldRace#0,"""Field Race"""
Door_open#0,"""เปิด"""
Door_close#0,"""ปิด"""
Sleep#0,"""นอนลง"""
Bath#0,"""แช่น้ำ"""
Shower#0,"""อาบน้ำฝักบัว"""
Edit#0,"""แก้ไข"""
ToStiaSection_1#0,"""ไปยัง Stia: Fringes"""
ToStiaSection_2#0,"""ไปยัง Dreisen Plant"""
ToStiaSection_3#0,"""ไปยัง Outer Mediola: Sector 2"""
ToStiaSection_4#0,"""ไปยัง Neusen Plant"""
ToStiaSection_5#0,"""ไปยัง Outer Mediola: Sector 1"""
Ignite#0,"""เปิดไฟ"""
MarsBattery#0,"""ชาร์จแบตเตอรี่ M.A.R.S."""
ToHalpha#0,"""กลับ"""
NeonReset#0,"""จัดวาง Rappy Twinkle ใหม่"""
StopCrane#0,"""หยุด"""
