Npc_7001001#0,"""瑪儂|マノン"""
Npc_7002001#0,"""愛娜|アイナ"""
Npc_7002002#0,"""愛娜|アイナ"""
Npc_7003001#0,"""嘉羅亞|ガロア"""
Npc_7004001#0,"""克羅福德|クロフォード"""
Npc_7005001#0,"""布魯達|ブルーダー"""
Npc_7006001#0,"""蘭|ラン"""
Npc_7007001#0,"""綠琳|リューリン"""
Npc_7008001#0,"""羅莎|ロッサ"""
Npc_7009001#0,"""歐蘭潔|オランジェ"""
Npc_7010001#0,"""娜德蕾芙|ナーデレフ"""
Npc_7017001#0,"""哈迪|ハーディ"""
Npc_7018001#0,"""加利勒|ジャリル"""
Npc_7019001#0,"""穆赫辛|モフセン"""
Npc_7020001#0,"""穆拉|ムーラ"""
Npc_7021001#0,"""莉絲|リッス"""
Npc_7195001#0,"""斯洛娜|スローナ"""
Npc_7196001#0,"""達丘雅|ダチュア"""
Npc_7197001#0,"""響雷|シャンレイ"""
Npc_7198001#0,"""霍洛曼|ホロマン"""
Npc_7199001#0,"""格伊登|グイーデン"""
Npc_7200001#0,"""卡爾特維|カルテヴィエ"""
Npc_7201001#0,"""索繆雅|ソミュア"""
Npc_7203001#0,"""弗蘭梅|フランメ"""
Npc_7205001#0,"""拉博娜|ラボナ"""
Npc_7206001#0,"""米夏|ミイシャ"""
Npc_7207001#0,"""尤提羅伊|ユーティロイ"""
Npc_7208001#0,"""克羅謝|クロシェ"""
Npc_7209001#0,"""艾提爾娜|エテルナ"""
Npc_7210001#0,"""特拉維斯|トラヴィス"""
Npc_7211001#0,"""香蒂|シャンディー"""
Npc_7212001#0,"""克雷頓|クレイトン"""
Npc_7213001#0,"""格萊夫|グライフ"""
Npc_7214001#0,"""拉菲卡|ラフィカ"""
Npc_7215001#0,"""卡塔麗娜|カタリナ"""
Npc_7216001#0,"""烏拉干|ウラガン"""
Npc_7217001#0,"""亞爾希歐涅|アルシオーネ"""
Npc_7218001#0,"""薩耶塔|サエッタ"""
Npc_7220001#0,"""￥索尼克"""
Npc_7221001#0,"""￥塔爾斯"""
Npc_7222001#0,"""￥艾米"""
Npc_7223001#0,"""￥蛋頭博士"""
Npc_7224001#0,"""希特蕾|シトレー"""
Npc_7400001#0,"""杜雅德拉|デュアドラ"""
Npc_7417001#0,"""迪格霍爾|ディグホール"""
Npc_7418001#0,"""貝爾克曼|ベルクマン"""
Npc_7419001#0,"""博諾|ボノ"""
Npc_7420001#0,"""漢普登|ハンプデン"""
Npc_7421001#0,"""阿力艾提|アリエテ"""
Npc_7422001#0,"""妲娜|ダーナ"""
Npc_7423001#0,"""芭芬|バフィン"""
Npc_7424001#0,"""莉亞梅|リアメイ"""
Npc_7425001#0,"""蘿娜爾汀|ロナルディン"""
Npc_7602001#0,"""巴里|バリー"""
Npc_7604001#0,"""阿格麗|アグリ"""
Npc_7605001#0,"""伊吉|イジー"""
Npc_7606001#0,"""達利|ダリ"""
Npc_7607001#0,"""阿潔|アジェ"""
Npc_7608001#0,"""奧托|オットー"""
Npc_7609001#0,"""莫里艾|モーリエ"""
Npc_7610001#0,"""威克斯|ウェイクス"""
Npc_7611001#0,"""南黛|ナンデル"""
Npc_7612001#0,"""北希|ホクシー"""
Npc_7613001#0,"""東炎|トウエン"""
Npc_7617001#0,"""拉斯琪娜|ラスキナ"""
Npc_7618001#0,"""西瑪|セイマー"""
Npc_7619001#0,"""巴爾梅|バルメ"""
Npc_7622001#0,"""肯金斯|ケンジンス"""
Npc_7623001#0,"""諾力西莫|ノーリシモ"""
Npc_7632001#0,"""露露|ルル"""
Npc_7633001#0,"""尼克|ニコ"""
Npc_7634001#0,"""洛洛|ロロ"""
Npc_7635001#0,"""蘇拉|スーラ"""
Npc_7636001#0,"""維拉|ヴェラ"""
Npc_7637001#0,"""朱莉|ジュリ"""
Npc_7638001#0,"""阿內斯特|アーネスト"""
Npc_7642001#0,"""拉爾|ラル"""
Npc_7643001#0,"""雷吉斯|レッジス"""
Npc_7645001#0,"""露迪|ルーディー"""
Npc_7646001#0,"""碧爾|ビル"""
Npc_7648001#0,"""法因|ファイン"""
Npc_7649001#0,"""伯基|ボージ"""
Npc_7653001#0,"""瑪琪露達|マチルダ"""
Npc_7654001#0,"""可繆娜|コミューナ"""
Npc_7655001#0,"""衛斯理|ウェズリー"""
Npc_7656001#0,"""塞格雷特|セグレット"""
Npc_7657001#0,"""阿蒂拉|アディラ"""
Npc_7658001#0,"""拉德瑪格|ラドマッグ"""
Npc_7660001#0,"""斯塔基|スタッギィ"""
Npc_7661001#0,"""巴西尼雅|バシニア"""
Npc_7662001#0,"""丹托雷|ダントレイ"""
Npc_7663001#0,"""夏爾奇|シャルキ"""
Npc_7664001#0,"""霍尼安|ホーニャン"""
Npc_7667001#0,"""内斯卡|ネスカ"""
Npc_7687001#0,"""特雷西絲|トレイシス"""
Npc_7688001#0,"""迪蒙特露娜|ディメンテルナ"""
Npc_7690001#0,"""尼姆羅德|ニムロード"""
Npc_7691001#0,"""烏弗|ウーフー"""
Npc_7693001#0,"""伊利達|イリーダ"""
Npc_7694001#0,"""萊桑達|ライサンダー"""
Npc_7695001#0,"""茨卡諾|ツカーノ"""
Npc_7696001#0,"""無力亞|ムリーヤ"""
Npc_7700001#0,"""謝里丹|シェリダン"""
Npc_7702001#0,"""琪可妮雅|チコーニャ"""
Npc_7705001#0,"""琳切|リンチェ"""
Npc_7707001#0,"""瑪琳|マーリン"""
Npc_7708001#0,"""正在吃飯的情侶男"""
Npc_7709001#0,"""正在吃飯的情侶女"""
Npc_7710001#0,"""魯斯蘭|ルスラン"""
Npc_7711001#0,"""蘿亞拉|ロアーラ"""
Npc_7712001#0,"""戈帕爾特|ゲパルト"""
Npc_7713001#0,"""拉絲塔|ラスタ"""
Npc_7714001#0,"""古拉特|グラート"""
Npc_7717001#0,"""比巴利|ビバリー"""
Npc_7718001#0,"""沃拉斯|ウォーラス"""
Npc_7719001#0,"""拉泰爾|ラーテル"""
Npc_7720001#0,"""路易卡特|ルーイカット"""
Npc_7903001#0,"""達爾蓋|ダルゲ"""
Npc_7904001#0,"""達丘雅|ダチュア"""
Npc_7905001#0,"""夏馬爾|シャマール"""
Npc_7906001#0,"""響雷|シャンレイ"""
Npc_7907001#0,"""霍薩尼雅|ホサーニャ"""
Npc_7908001#0,"""霍洛曼|ホロマン"""
Npc_7909001#0,"""艾格札|エグザ"""
Npc_7910001#0,"""維斯泰|ヴェステ"""
Npc_7991001#0,"""黑"""
Npc_7992001#0,"""白"""
Npc_7993001#0,"""Npc_7993001"""
Npc_7994001#0,"""Npc_7994001"""
Npc_7995001#0,"""Npc_7995001"""
Npc_ArksTrainer#0,"""ARKS指導官"""
Npc_CounterQuest1#0,"""ARKS歷史：歷史研究員"""
Npc_CounterSalon1#0,"""美容院：店員"""
Npc_CounterLab1#0,"""道具研究所：強化技師"""
Npc_ClassCounter#0,"""職業接待處：職業管理官"""
Npc_EmergencyCounter#0,"""緊急任務管理官"""
Npc_KitchenPolice#0,"""食物站：店員"""
Npc_Appraiser#0,"""道具研究所：鑑定士"""
Npc_MyShop#0,"""拍賣行：店員"""
Npc_ItemShop#0,"""道具商店：店員"""
Npc_RecycleShop#0,"""道具交易商"""
Npc_Restaurant#0,"""休息角：引導員"""
Npc_MineralResearcher#0,"""ARKS礦物研究員"""
Npc_Communication#0,"""ARKS情報支援員"""
Npc_WeatherResearcher#0,"""ARKS氣象研究員"""
Npc_Telegraphist#0,"""ARKS通信士"""
Npc_SeniorTelegraphist#0,"""ARKS上級通信士"""
Npc_MagEngineer#0,"""ARKS機械技師"""
Npc_MeleeInstructor#0,"""ARKS打擊教官"""
Npc_MeleeInstructor2#0,"""鬥士(Fi)教導官"""
Npc_RangeInstructor#0,"""ARKS射擊教導官"""
Npc_RangeInstructor2#0,"""鷹眼(Gu)教導官"""
Npc_CasterInstructor#0,"""ARKS法擊教導官"""
Npc_CasterInstructor2#0,"""元素使(Te)教導官"""
Npc_Seasonal#0,"""ARKS特異現象研究員"""
Npc_MiniGame#0,"""迷你游戲NPC（暫）"""
Npc_BraverInstructor#0,"""ARKS複合技能教導官"""
Npc_DrillInstructor#0,"""ARKS訓練教官"""
Npc_AdDrillInstructor#0,"""ARKS上級訓練教官"""
Npc_Commissariat#0,"""ARKS後方支援員"""
Npc_PPResearcher#0,"""ARKS特異現象調查員"""
