YesText#0,"""ใช่"""
NoText#0,"""ไม่"""
CloseText#0,"""ปิด"""
OpenText#0,"""เปิด"""
MaxText#0,"""สูงสุด"""
MinText#0,"""ต่ำสุด"""
Sort#0,"""จัดเรียง"""
Copy#0,"""คัดลอก"""
Peaste#0,"""วาง"""
NextText#0,"""ถัดไปทดสอบ"""
PrevText#0,"""ก่อนหน้า"""
DecideText#0,"""นำไปใช้"""
CancelText#0,"""ยกเลิก"""
OKText#0,"""ตกลง"""
ReturnText#0,"""กลับ"""
TitleText#0,"""ข้อความ"""
CheckText#0,"""ไม่ต้องแสดงหน้าต่างนี้อีก"""
NoneText#0,"""ไม่มี"""
Preview#0,"""แสดงตัวอย่าง"""
SimplePreview#0,"""แสดงตัวอย่างแบบง่าย"""
Skip#0,"""คุณแน่ใจหรือไม่ว่าต้องการข้ามไปยัง<br>ตอนจบของฉากหรือตัวเลือกถัดไป?"""
SkipMovie#0,"""การทำเช่นนี้จะเป็นการออกจากวิดีโอ<br><br>ต้องการดำเนินการต่อหรือไม่?"""
SymbolArt_BANtext#0,"""ไม่สามารถบันทึก Symbol Art ได้"""
BlockBurstIntoNG#0,"""คุณไม่สามารถเข้าร่วม Party ได้เนื่องจากมีการเปลี่ยนแปลงสถานะของ Party นั้น"""
TimeText#0,"""$(0):$(1):$(2)"""
NumItem#0,"""$(0) x$(1)"""
NumItem2#0,"""$(0) x$(1)"""
Bracket#0,"""($(0))"""
SquareBracket#0,"""[$(0)]"""
ErrorResetAmCoinWithoutWarning#0,"""ไม่สามารถโอน Casino Coins ได้เนื่องจากเกินขีดจำกัดสูงสุด"""
Ranking#0,"""อันดับ $(3) $(2): $(1) $(0)"""
RankingVita#0,"""อันดับ $(3) $(2): $(1) $(0) Shared Block"""
VolcanoClearTime#0,"""เวลาเคลียร์: $(0)"""
Contribution#0,"""คะแนนรวมที่ได้รับ: $(0)<pict Target_CP>"""
SkipNaviKey#0,"""กด <yellow>ปุ่ม [Esc]<c> เพื่อข้าม"""
SkipNaviButton#0,"""กด <yellow>ปุ่ม <c><%AllWindowClose><yellow><c> เพื่อข้าม"""
BoostLevelUp#0,"""Quest-Linked Boost เลเวลอัปเป็น $(0) แล้ว!<br>เอฟเฟกต์ใหม่พร้อมใช้งานแล้วใน Quests ที่ได้รับ Boost!"""
PreviewZoom#0,""" (<c cfcfcf>สลับการหมุน/<c><yellow>การเคลื่อนที่<c><c cfcfcf>: <%Exception><c>)"""
PreviewZoom_mouse#0,""" (<c cfcfcf>สลับการหมุน/<c><yellow>การเคลื่อนที่<c><c cfcfcf>: <pict mouse_right><c>)"""
PreviewMove#0,""" (<c cfcfcf>สลับ<c><yellow>การหมุน<c><c cfcfcf>/การเคลื่อนที่: <%Exception><c>)"""
PreviewMove_mouse#0,""" (<c cfcfcf>สลับ<c><yellow>การหมุน<c><c cfcfcf>/การเคลื่อนที่: <pict mouse_right><c>)"""
ErrorMackQuest#0,"""ไม่สามารถเริ่มได้เนื่องจากสมาชิก Party ไม่ได้อยู่ใน Quest"""
ErrorIgnoreQuest#0,"""Quest ไม่พร้อมใช้งาน กรุณาตรวจสอบข้อมูลเพิ่มเติมที่เว็บไซต์ของผู้เล่น"""
BlockType_01#0,"""PSO2 Block"""
BlockType_02#0,"""PSO2: NGS Block"""
BlockType_03#0,"""All Ship Matchmaking Block"""
Hyphen#0,"""-"""
All#0,"""ทั้งหมด"""
FreeSgScratch#0,"""วันนี้คุณสามารถสุ่ม Scratch ฟรีได้<br>ต้องการเปิดหน้าต่าง Scratch หรือไม่?"""
FreeFirsrtTimeACScratch#0,"""คุณสามารถสุ่ม First Time Free AC Scratch ได้<br>ต้องการเปิดหน้าต่าง Scratch หรือไม่?"""
FreeFirsrtTimeMainMenuText#0,"""สุ่ม Scratch ฟรี<br>ครั้งแรก"""
BlockMoveFailure#0,"""การย้าย Blocks ล้มเหลว"""
BlockadeMsg_Title1#0,"""ข้อมูล"""
BlockadeMsg_Text1#0,"""ขณะนี้ไม่สามารถเข้าถึงออบเจ็กต์นี้ได้<br>กรุณาตรวจสอบรายละเอียดที่เว็บไซต์ของผู้เล่น"""
SimpleTimeText#0,"""$(0): $(1)"""
Lupe_TextStart#0,"""เปิดใช้งาน Magnifier mode แล้ว"""
Lupe_TextEnd#0,"""ปิดใช้งาน Magnifier mode แล้ว"""
Lupe_TextTerminate1#0,"""Magnifier ถูกปิดใช้งานเนื่องจากมีการเปลี่ยนแปลง Keybinds"""
Lupe_TextTerminate2#0,"""Magnifier ถูกปิดใช้งานเนื่องจากมีการเปลี่ยนแปลงการตั้งค่า"""
Lupe_ControlGuide#0,"""เลื่อนหน้าจอ: <swguidetype CursorMove>\u3000\u3000ซูม: <swguidetype Zoom>\u3000\u3000ออกจาก Magnifier: <swguidetype ShiftTrigger> + <swguidetype EscMenu>"""
NotReceptQuestPartyGuest#0,"""คุณไม่สามารถรับ Quests ได้เนื่องจากคุณไม่ใช่หัวหน้า Party"""
NotFoundQuestSearch#0,"""ไม่พบ Quests ที่ตรงกับเงื่อนไข"""
