CorrectionAssignMapTitle#0,"""การกู้คืนการตั้งค่าปุ่ม"""
CorrectionAssignMapMessage#0,"""ตรวจพบปัญหาเกี่ยวกับการตั้งค่าปุ่มที่สำคัญ เช่น 【 ยืนยัน 】 หรือ 【 ยกเลิก 】. ระบบได้ทำการซ่อมแซมให้โดยอัตโนมัติ"""
Title#0,"""การตั้งค่า"""
Category_Game#0,"""ตั้งค่าพื้นฐาน"""
Category_Game_Hint#0,"""ตั้งค่าเกี่ยวกับมุมกล้องและการตั้งค่าพื้นฐานของเกม"""
Category_Device#0,"""ตั้งค่าการควบคุม"""
Category_Device_Hint#0,"""ตั้งค่าเกี่ยวกับการควบคุมด้วยคีย์บอร์ด, เมาส์ และ <%GamePad> จอยเกม"""
Category_Sound#0,"""ตั้งค่าเสียง"""
Category_Sound_Hint#0,"""ตั้งค่าเกี่ยวกับเสียง"""
Category_Graphics#0,"""ตั้งค่ากราฟฟิก"""
Category_Graphics_Hint#0,"""ตั้งค่าเกี่ยวกับการแสดงผลกราฟิก"""
SubCategory_GameFunction#0,"""ฟังก์ชันเกม"""
SubCategory_GameFunction_Hint#0,"""ตั้งค่าเกี่ยวกับฟังก์ชันต่างๆ ของเกม"""
SubCategory_Camera#0,"""ตั้งค่ามุมกล้อง"""
SubCategory_Camera_VITA#0,"""ตั้งค่ามุมกล้อง"""
SubCategory_Camera_Hint#0,"""ตั้งค่าเกี่ยวกับมุมกล้อง"""
SubCategory_TextEffect#0,"""ตั้งค่าการแสดงข้อความ"""
SubCategory_TextEffect_Hint#0,"""ตั้งค่าขนาดข้อความในเกมสำหรับ ความเสียหาย, EXP และการได้รับไอเทม"""
SubCategory_Notice#0,"""ตั้งค่าการแจ้งเตือน"""
SubCategory_Notice_Hint#0,"""ตั้งค่าเกี่ยวกับการแจ้งเตือน"""
SubCategory_Talk#0,"""ตั้งค่าแชท"""
SubCategory_Talk_Hint#0,"""ตั้งค่าเกี่ยวกับการแชท"""
SubCategory_Capture#0,"""ตั้งค่าสกรีนช็อต"""
SubCategory_Capture_Hint#0,"""ตั้งค่าเกี่ยวกับระบบถ่ายสกรีนช็อตในเกม"""
SubCategory_Other#0,"""ตั้งค่าอื่นๆ"""
SubCategory_Other_Hint#0,"""ตั้งค่าเกี่ยวกับ Dark Blast, Rideroid, Salon และอื่นๆ"""
SubCategory_InputGuide#0,"""รูปแบบการแสดงปุ่มกด"""
SubCategory_InputGuide_Hint#0,"""ตั้งค่ารูปแบบของไอคอนปุ่มกดที่จะแสดงตลอดทั้งเกม"""
SubCategory_PadDefine#0,"""ตั้งค่าพื้นฐาน <%GamePad> จอยเกม"""
SubCategory_PadDefine_Hint#0,"""ตั้งค่าเกี่ยวกับ <%GamePad> จอยเกม"""
SubCategory_KeyBind_Pad#0,"""ตั้งค่าปุ่ม (<%GamePad>) จอยเกม"""
SubCategory_KeyBind_Pad_Hint#0,"""ตั้งค่าปุ่มต่างๆ สำหรับ <%GamePad> จอยเกม"""
SubCategory_KeyBind_Mouse#0,"""ตั้งค่าปุ่ม (เมาส์)"""
SubCategory_KeyBind_Mouse_Hint#0,"""ตั้งค่าปุ่มต่างๆ ของเมาส์"""
SubCategory_KeyBind_Keyboard#0,"""ตั้งค่าปุ่ม (คีย์บอร์ด)"""
SubCategory_KeyBind_Keyboard_Hint#0,"""ตั้งค่าปุ่มต่างๆ ของคีย์บอร์ด"""
SubCategory_MainInputDevice#0,"""อุปกรณ์ควบคุมหลัก"""
SubCategory_MainInputDevice_Hint#0,"""ตั้งค่าอุปกรณ์หลักที่จะใช้ควบคุมเกม"""
SubCategory_ActionType#0,"""เลือกรูปแบบการควบคุม"""
SubCategory_ActionType_Hint#0,"""ตั้งค่าว่าจะใช้รูปแบบการควบคุมแบบ 3 ปุ่ม หรือ 2 ปุ่ม"""
SubCategory_SoundVolume#0,"""ระดับเสียง"""
SubCategory_SoundVolume_Hint#0,"""ปรับระดับเสียงของ BGM หรือ SFX"""
SubCategory_SoundFunction#0,"""การเล่นเสียง"""
SubCategory_SoundFunction_Hint#0,"""ปรับการตั้งค่าเกี่ยวกับรูปแบบการเล่นเสียง"""
SubCategory_GraphicsFunction#0,"""ฟีเจอร์การแสดงผลภาพ"""
SubCategory_GraphicsFunction_Hint#0,"""การตั้งค่าวิดีโอขั้นสูง"""
SubCategory_GraphicsQuality#0,"""คุณภาพการแสดงผล"""
SubCategory_GraphicsQuality_Hint#0,"""ปรับคุณภาพของเงาและการแสดงผล"""
SubCategory_FilterView#0,"""ฟิลเตอร์หน้าจอ <pict Arcscash>"""
SubCategory_FilterView_Hint#0,"""ฟิลเตอร์หน้าจอแบบพรีเมียม ซึ่งจะเปิดใช้งานเมื่อคุณมีสถานะ Premium Set"""
SubCategory_ResetWindow#0,"""รีเซ็ตหน้าต่าง"""
SubCategory_ResetWindow_Hint#0,"""รีเซ็ตขนาดและตำแหน่งของหน้าต่างทั้งหมด"""
SubCategory_GraphicsPreset#0,"""ตั้งค่ากราฟิกแบบง่าย"""
SubCategory_GraphicsPreset_Hint#0,"""ปรับการตั้งค่ากราฟิกทั้งหมด"""
GraphicsPreset_Info#0,"""ปรับการตั้งค่ากราฟิกทั้งหมด<br>หากตั้งค่าเหล่านี้ไว้สูง คุณภาพกราฟิกจะ<br>สูงขึ้น แต่ก็ต้องการการประมวลผลที่เพิ่มขึ้นตามไปด้วย<br><br>การตั้งค่าที่แนะนำ: <yellow>$(0)<c>."""
GraphicsPreset_Info_CS#0,"""ปรับการตั้งค่ากราฟิกทั้งหมด<br>หากตั้งค่าเหล่านี้ไว้สูง คุณภาพกราฟิกจะ<br>สูงขึ้น แต่ก็ต้องการการประมวลผลที่เพิ่มขึ้นตามไปด้วย"""
GraphicsPreset_Button_Change#0,"""เปลี่ยน"""
GraphicsPreset_Button_Cancel#0,"""ยกเลิก"""
GraphicsPreset_choice_1#0,"""1: ต่ำสุด"""
GraphicsPreset_choice_2#0,"""2: ต่ำ"""
GraphicsPreset_choice_3#0,"""3: ปานกลาง"""
GraphicsPreset_choice_4#0,"""4: สูง"""
GraphicsPreset_choice_5#0,"""5: สูงมาก"""
