MenuTitle#0,"""ร้านแลกเปลี่ยน"""
MenuGuide#0,"""<c f0df60>ไอเทมในรายการสามารถแลกเปลี่ยนเป็นไอเทมที่เลือกได้<c>"""
ButtonChange#0,"""แลกเปลี่ยน"""
SuccessMessage#0,"""แลกเปลี่ยนสำเร็จ"""
FailedMessage#0,"""แลกเปลี่ยนล้มเหลว<br><br>[No.2100]"""
FailedMessage2#0,"""ไอเทมสำหรับแลกเปลี่ยนไม่เพียงพอ"""
FailedMessage3#0,"""แลกเปลี่ยนล้มเหลว จำนวนไอเทมจะเกิน<br>ขีดจำกัด หรือ Inventory<br>ของคุณเต็มแล้ว"""
TitleChange#0,"""ยืนยันการแลกเปลี่ยน"""
ChangeCheck#0,"""คุณแน่ใจหรือไม่ว่าต้องการแลกเปลี่ยน<br>เป็นไอเทมต่อไปนี้?"""
TicketName#0,"""$(0) x$(2) (มีอยู่: $(1))"""
CancelTitle#0,"""ยกเลิกการแลกเปลี่ยน"""
CancelMessage#0,"""การกระทำนี้จะยกเลิกการแลกเปลี่ยน<br>ดำเนินการต่อหรือไม่?"""
HaveTicket#0,"""ที่มีอยู่"""
TotalTicket#0,"""ทั้งหมด"""
SwapItemTitle#0,"""ไอเทมแลกเปลี่ยน"""
ItemNone#0,"""ไม่มี"""
ChangeCheckVita#0,"""คุณแน่ใจหรือไม่ว่าต้องการแลกเปลี่ยน<br>เป็นไอเทมต่อไปนี้?"""
MenuGuideVita#0,"""ข้อมูลแลกเปลี่ยน"""
TitleVita#0,"""รายการสินค้า"""
ItemNum#0,"""($(0))"""
SelectItemVita#0,"""โปรดระบุจำนวน"""
SelectItemInputVita#0,"""โปรดระบุจำนวน"""
PluralityMenuGuide#0,"""<c f0df60>โปรดเลือกร้านค้า<c>"""
Warehouse#0,"""เปิด Storage"""
MenuTitleCq01#0,"""ร้านแลกเปลี่ยน CM 1"""
MenuTitleCq02#0,"""ร้านแลกเปลี่ยน CM 2"""
MenuTitle_jene#0,"""ร้านแลกเปลี่ยนจำกัดเวลา (~7 มิ.ย. 2017, 11:00 JST)"""
MenuTitle_serafi#0,"""ร้านแลกเปลี่ยนจำกัดเวลา (~8 มิ.ย. 2016, 11:00 JST)"""
MenuTitle_anet#0,"""ร้านแลกเปลี่ยนจำกัดเวลา (~1 พ.ย., 11:00 JST)"""
