ActiveStatus_Title#0,"""เปลี่ยนข้อความแสดงในรายชื่อเพื่อน"""
ActiveStatus_Info#0,"""ข้อความนี้จะปรากฏให้ผู้เล่นอื่นเห็น'ในรายชื่อเพื่อน.<br>กด \""ตกลง\"" เพื่อบันทึก.<br><br>ข้อความแสดงในรายชื่อเพื่อนจะไม่แสดงเมื่อออกจากเกม.<br> จะแสดงอีกครั้งหลังจากกลับเข้าเกม,เปิดเมนูนี้และกด \""ตกลง\"" อีกครั้ง"""
ActiveStatus_Comment#0,"""คุยกับเพื่อน"""
ActiveStatus_Send#0,"""ยืนยัน"""
ActiveStatus_Cancell#0,"""ยกเลิก"""
ActiveStatus_PartyNum#0,"""$(0)/$(1)"""
ActiveStatus_ApcNum#0,"""(<pict apc_icon> $(0))"""
ActiveStatus_Connecting#0,"""กำลังเชื่อมต่อ..."""
ActiveStatus_Error#0,"""ข้อความที่กรอก<br>ตัวอักษรไม่สามารถใช้ได้."""
ActiveStatus_SendMessage#0,"""บันทึกข้อความสำเร็จ."""
Camera_Title#0,"""เลือกประเภทมุมกล้อง"""
Menu_Normal#0,"""มุมกล้องปกติ"""
Menu_Camera1#0,"""ปรับแต่งมุมกล้อง 1"""
Menu_Camera2#0,"""ปรับแต่งมุมกล้อง 2"""
Menu_Camera3#0,"""ปรับแต่งมุมกล้อง 3"""
Pop_ChangeCamera#0,"""ใช้งาน"""
Pop_ChangeAngle#0,"""เปลี่ยนมุมกล้อง"""
Info_ChangeCamera#0,"""บันทึกมุมกล้องใหม่<br>as: $(0).<br><br>ต้องการบักทึกมุมกล้องหรือไม่"""
Message_ChangeCamera#0,"""บันทึกมุมกล้องใหม่เป็น: $(0)."""
Message_ExitEditingCamera#0,"""ยกเลิกการแก้ไข"""
FreeCamera_CameraGuideSave#0,"""บันทึกมุม:"""
FreeCamera_CameraGuide_Angle#0,"""หมุนมุม:"""
FreeCamera_CameraGuide_Move#0,"""ขยับมุม:"""
FreeCamera_CameraGuide_Height#0,"""มุมสูง:"""
FreeCamera_CameraGuide_Rotate#0,"""เอียงมุม:"""
FreeCamera_CameraGuide_Zoom#0,"""ขยายมุม:"""
FreeCamera_CameraGuideReset#0,"""มุมเริ่มต้น:"""
FreeCamera_CameraGuideResetVita#0,"""มุมเริ่มต้น:"""
FreeCamera_CameraGuideCancel#0,"""ยกเลิก:"""
FreeCamera_CameraGuideSave_key#0,"""<%Decide>"""
FreeCamera_CameraGuide_Angle_key#0,"""ขยับด้วยเมาส์"""
FreeCamera_CameraGuide_Move_key#0,"""<%MultiSelect>+<%MoveForward>/<%MoveBack>/<%MoveLeft>/<%MoveRight>"""
FreeCamera_CameraGuide_Height_key#0,"""<%MoveForward>/<%MoveBack>"""
FreeCamera_CameraGuide_Rotate_key#0,"""<%MoveLeft>/<%MoveRight>"""
FreeCamera_CameraGuide_Zoom_key#0,"""<%PaletteForce>/<%PaletteReverse>"""
FreeCamera_CameraGuideReset_key#0,"""<%NextTabDetails>"""
FreeCamera_CameraGuideResetVita_key#0,"""<%AllWindowClose>"""
FreeCamera_CameraGuideCancel_key#0,"""<%Cancel>/Esc"""
FreeCamera_CameraGuideSave_pad#0,"""<%Decide>"""
FreeCamera_CameraGuide_Angle_pad#0,"""<%RStick>"""
FreeCamera_CameraGuide_Move_pad#0,"""<%MultiSelect>+<%LStick>"""
FreeCamera_CameraGuide_Height_pad#0,"""<%LStick> (Up/Down)"""
FreeCamera_CameraGuide_Rotate_pad#0,"""<%LStick> (Left/Right)"""
FreeCamera_CameraGuide_Zoom_pad#0,"""<%PaletteForce>/<%PaletteReverse>"""
FreeCamera_CameraGuideReset_pad#0,"""<%NextTabDetails>"""
FreeCamera_CameraGuideResetVita_pad#0,"""<%AllWindowClose>"""
FreeCamera_CameraGuideCancel_pad#0,"""<%Cancel>"""
CameraLight_Title#0,"""มุมกล้อง/แสง"""
Menu_Camera4#0,"""มุมกล้อง 4<pict Arcscash>"""
Menu_Camera5#0,"""มุมกล้อง 5<pict Arcscash>"""
Menu_Camera6#0,"""มุมกล้อง 6<pict Arcscash>"""
Menu_NormalLight#0,"""แสงปกติ"""
Menu_FreeLightSetting#0,"""ปรับแสง1<pict Arcscash>"""
Menu_FreeLightSetting2#0,"""ปรับแสง 2<pict Arcscash>"""
Menu_FreeLightSetting3#0,"""ปรับแสง 3<pict Arcscash>"""
Pop_UseFreeLight#0,"""ใช้งาน"""
Pop_ChangeFreeLight#0,"""ปรับการตั้งค่า"""
FreeLight_CameraGuideSave#0,"""ปรับแสง:"""
Title_1#0,"""ปรับแสง 1"""
Title_2#0,"""ปรับแสง 2"""
Title_3#0,"""ปรับ 3"""
Title_ColorPicker#0,"""ปรับสี"""
Title_ChangeFreeLight1#0,"""แสง 1"""
Title_ChangeFreeLight2#0,"""แสง 2"""
Title_ChangeFreeLight3#0,"""แสง 3"""
Headline_LightNum1#0,"""ปรับแสง 1"""
Headline_LightNum2#0,"""ปรับ 2"""
Headline_LightNum3#0,"""ปรับ 3"""
Headline_CamLight#0,"""แสงกล้อง"""
Button_1#0,"""ปรับสี"""
Button_2#0,"""ตำแหน่ง"""
Button_3#0,"""เปิดแสงทั้งหมด"""
Button_4#0,"""ปิดแสงทั้งหมด"""
Button_5#0,"""รีเซ็ตทั้งหมด"""
Button_6#0,"""ยืนยัน"""
Button_7#0,"""ยกเลิก"""
Text_1#0,"""Power"""
icon_on#0,"""<pict icon_light_on>"""
icon_off#0,"""<pict icon_light_off>"""
Button_Decide#0,"""ยืนยัน"""
Button_Reset#0,"""รีเซ็ต"""
Message_Initialization_all#0,"""รีเซ็ตปรับแต่งเริ่มต้นทั้งหมด.<br><br>ต้องการตั้งค่าหรือไม่"""
Message_ChangeFreeLight#0,"""ทำการปรับแสง $(0).<br><br> ปรับหรือไม่"""
Toast_ChangeFreeLight#0,"""แสง $(0) เปลี่ยนค่าแสง."""
Toast_ExitFreeLight#0,"""พรีเมี่ยมของคุณหมดอายุ, ไม่สามารถใช้งานฟังชั่นนี้"""
Toast_ExitEditinglight#0,"""ปิดการใช้งานการปรับแต่งแสง"""
ErrorTitle_ShaderSetting#0,"""กำหนดค่าล้มเหลว"""
Error_ShaderSetting#0,"""ตั้งค่าปรับแสงทำได้ต่อเมื่อตั้งค่าเชเดอร์คุณภาพสูง<br><br>สามารถตั้งค่าเชเดอร์ที่รันเชอร์เกม เลือกความพึงพอใจกราฟฟิค จากนั้นดูแท็บที่เรียก."""
Message_DiscardLightSettings#0,"""ออกโดยไม่บันทึกตั้งค่า<br>ดำเนินการโดยไม่บันทึกหรือไม่"""
Selfie_OperationGuide#0,"""Hide UI: <%NextTabDetails>\u3000\u3000Face camera: <%Decide>\u3000\u3000Look at camera: <%MultiSelect>+<%Decide>\u3000\u3000Change facial expression: <%TabForward>\u3000\u3000Lobby Action: <%TabBack>\u3000\u3000Button action: <%NextWidget>\u3000\u3000Camera settings: <%ChangeCtrlWindowForward>\u3000\u3000Cancel: <%Cancel>"""
Selfie_OperationGuide_Camera_Screenshot#0,"""ถ่ายรูป: """
Selfie_OperationGuide_Camera_Move#0,"""ขยับกล้อง: """
Selfie_OperationGuide_Camera_Rotate#0,"""หมุนกล้อง: """
Selfie_OperationGuide_Camera_Zoom#0,"""ขยายกล้อง: """
Selfie_OperationGuide_Camera_Reset#0,"""รีเซ็ตกล้อง: """
Selfie_OperationGuide_Camera_Screenshot_Guide#0,"""<%Exception2>"""
Selfie_OperationGuide_Camera_Move_Guide#0,"""<%LStick>"""
Selfie_OperationGuide_Camera_Rotate_Guide#0,"""<%MultiSelect>＋<%LStick>"""
Selfie_OperationGuide_Camera_Zoom_Guide#0,"""<%PaletteForce>/<%PaletteReverse>"""
Selfie_OperationGuide_Camera_Reset_Guide#0,"""<%Exception>"""
Selfie_OperationGuide_Camera_Screenshot_Key_Guide#0,"""<%Exception2>"""
Selfie_OperationGuide_Camera_Move_Key_Guide#0,"""<%MoveForward>/<%MoveBack>/<%MoveLeft>/<%MoveRight>"""
Selfie_OperationGuide_Camera_Rotate_Key_Guide#0,"""<%MultiSelect> + <%MoveLeft>/<%MoveRight>"""
Selfie_OperationGuide_Camera_Zoom_Key_Guide#0,"""<%PaletteForce>/<%PaletteReverse>"""
Selfie_OperationGuide_Camera_Reset_Key_Guide#0,"""<%Exception>"""
Selfie_FacialConfigWindow_Title#0,"""เปลี่ยนการแสดงทางสีหน้า"""
Selfie_FacialConfigWindow_Detail#0,"""การแสดงทางสีหน้าสามารถปรับแต่งได้<br>ในร้านเสริมสวย."""
Selfie_FacialConfigWindow_Item1#0,"""ปกติ"""
Selfie_FacialConfigWindow_Item2#0,"""ยิ้ม"""
Selfie_FacialConfigWindow_Item3#0,"""โกรธ"""
Selfie_FacialConfigWindow_Item4#0,"""เศร้า"""
Selfie_FacialConfigWindow_Item5#0,"""สงสัย"""
Selfie_FacialConfigWindow_Item6#0,"""ปิดตา"""
Selfie_FacialConfigWindow_Item7#0,"""ปกติ (ไม่ขยับปาก)"""
Selfie_FacialConfigWindow_Item8#0,"""กำลังยิ้ม 2"""
Selfie_FacialConfigWindow_Item9#0,"""ขยิบตา"""
Selfie_DepthoffieldWindow_Title#0,"""ตั้งค่ามุมกล้อง"""
Selfie_DepthoffieldWindow_Depthoffield#0,"""รายละเอียดพื้นผิว"""
Selfie_DepthoffieldWindow_Depthoffield_Select1#0,"""ไม่ให้ใช้"""
Selfie_DepthoffieldWindow_Depthoffield_Select2#0,"""ใช้งาน"""
Selfie_DepthoffieldWindow_Aperturevalue#0,"""Aperture size (F-stop)"""
Selfie_DepthoffieldWindow_Focus#0,"""Focal target"""
Selfie_DepthoffieldWindow_Focus_Select1#0,"""ตัวละคร"""
Selfie_DepthoffieldWindow_Focus_Select2#0,"""Manual focus"""
Selfie_DepthoffieldWindow_Focusvalue#0,"""Focus adjustment"""
Selfie_DepthoffieldWindow_Focusvalue_Balloon#0,"""Hold <%Decide> and use <swguidetype T_ItemWarehouse> to adjust by 10 at a time"""
Selfie_CameraWindow_TemporarySave#0,"""บันทึกตั้งค่ามุมกล้องชั่วคราว"""
Selfie_CameraWindow_TemporarySave_Select1#0,"""ไม่ใช้"""
Selfie_CameraWindow_TemporarySave_Select2#0,"""ใช้"""
Selfie_CameraWindow_TemporarySave_Balloon#0,"""บันทึกตำแหน่งกล้องและการตั้งค่าอื่นจนกว่าจะปิดเกม"""
Selfie_StopActionWindow_Title1#0,"""พักท่า LA<pict Arcscash>"""
Selfie_StopActionWindow_Item1#0,"""พักท่า LA"""
Selfie_StopActionWindow_Head1#0,"""พักหยุดเวลา"""
Selfie_StopActionWindow_Detail1#0,"""If \""Pause Permanently\"" is selected, you will still appear to be moving to other players."""
Selfie_StopActionWindow_Detail2#0,"""ตั้งให้ท่า LA หยุดตามใจ."""
Selfie_StopActionWindow_Selector1#0,"""ไม่ให้พัก"""
Selfie_StopActionWindow_Selector2#0,"""พัก 10 วินาที"""
Selfie_StopActionWindow_Selector3#0,"""พักถาวร"""
Selfie_StopActionWindow_StopTime_Balloon#0,"""Hold <%Decide> and press <swguidetype T_ItemWarehouse> to change timer in 0.5 second increments"""
Selfie_StopActionWindow_StopTime_Disabled#0,"""ท่า LA ไม่รองรับการพัก."""
Selfie_CameraWindow_Parameter_Title#0,"""ตั้งค่าการแสดงกล้อง"""
Selfie_CameraWindow_Parameter_Select1#0,"""ห้ามแสดง"""
Selfie_CameraWindow_Parameter_Select2#0,"""แสดง"""
Selfie_CameraWindow_Parameter_Balloon#0,"""ตั้งค่าแสดงผลเช่นตำแหน่งกล้อง"""
Selfie_ParameterWindow_Camera_Fovy#0,"""FoV (Zoom):"""
Selfie_ParameterWindow_Camera_Roll#0,"""หมุน:"""
Selfie_ParameterWindow_Camera_Offset#0,"""Offset:"""
Selfie_ParameterWindow_Camera_AngleUD#0,"""V. Angle:"""
Selfie_ParameterWindow_Camera_AngleLR#0,"""H. Angle:"""
SelectMenuType_CommunicationMenu1#0,"""ใช้คำทางลัด"""
SelectMenuType_CommunicationMenu2#0,"""แสดงท่าทาง Lobby Action"""
