Title#0,"""萬象盤列表"""
AchieveRatio#0,"""$(0)％"""
Episode#0,"""EP$(0) -"""
Title#1,"""萬象盤"""
HintClose#0,"""不可搜索的事件"""
HintOpen#0,"""可搜索的事件"""
HintAchieved#0,"""已搜索完畢的事件"""
HintAccepted#0,"""搜索中的事件"""
HintGuide#0,"""導覽中的事件"""
HintKeyOpen#0,"""可搜索的關鍵事件"""
HintKeyAchieved#0,"""已搜索完畢的關鍵事件"""
HintKeyAccepted#0,"""搜索中的關鍵事件"""
HintKeyGuide#0,"""導覽中的關鍵事件"""
PercentComplete#0,"""達成率"""
Title#2,"""事件情報"""
OrderName#0,"""$(0)－$(1) $(2)"""
Info#0,"""情報"""
Target#0,"""目標"""
Close_Vita#0,"""不可搜索"""
Open_Vita#0,"""可搜索"""
Accepted_Vita#0,"""搜索中"""
Achieved#0,"""已搜索完畢"""
DetailsTitle1#0,"""道具詳情"""
DetailsTitle2#0,"""活動情報"""
SearchGauge#0,"""進行状況"""
AcceptTitle#0,"""確認開始搜索"""
Accept1#0,"""要開始搜索這個事件了麼?"""
Accept2#0,"""變更搜索中的事件，<br>要開始搜索這個事件了麼?"""
Accept3#0,"""在任務櫃台要顯示<br>這個事件的導覽麼?"""
Accept4#0,"""要對這個事件<br>的對象角色進行導覽麼?"""
Target#1,"""目標："""
Area#0,"""主要區域:"""
Guide#0,"""(如果是導覽這個事件的對象，<br>此萬象盤就會成為搜索對象)"""
AutoGuide#0,"""建議獨像「$(0)－$(1) $(2)」設定了導覽。"""
CompleteTitle#0,"""確認選擇"""
Complete1#0,"""這塊萬象盤的所有獨像<br>已經全部探索完成。<br>設定探索這塊萬象盤的話，大廳裏的<br>角色和對話内容會變動。<br><br>更改萬象盤麼？"""
Complete2#0,"""設置了這塊萬象盤。"""
