Title#0,"""ข้อมูล"""
Menu_Notify#0,"""ประกาศ"""
Title_Campaign#0,"""แคมเปญปัจจุบัน"""
Menu_LoginStamp#0,"""ล็อกอินแสตมป์"""
Menu_Tutorial#0,"""ยืนยัน Tutorial"""
Menu_Help#0,"""เมนูช่วยเหลือ"""
Menu_Tips#0,"""ข้อมูลที่เป็นประโยชน์"""
Menu_Element#0,"""พจนานุกรม Special Ability"""
Title#1,"""คู่มือเกม"""
Search#0,"""ค้นหา"""
EditBoxText#0,"""<c a0a0a0>กรอกคำค้นหา<c>"""
NotFound#0,"""ไม่พบผลลัพธ์การค้นหา"""
Title#2,"""ข้อมูลที่เป็นประโยชน์"""
Title#3,"""พจนานุกรม Special Ability"""
Name#0,"""ชื่อ Special Ability"""
Info#0,"""รายละเอียด"""
ParameterTltle#0,"""ปรับค่าสเตตัส"""
HP#0,"""HP"""
PP#0,"""PP"""
Strike#0,"""S-ATK"""
Firearm#0,"""R-ATK"""
Technic#0,"""T-ATK"""
Dex#0,"""DEX"""
DfpStrike#0,"""S-DEF"""
DfpFirearm#0,"""R-DEF"""
DfpTechnic#0,"""T-DEF"""
AttributeResistFire#0,"""ต้านทานไฟ"""
AttributeResistIce#0,"""ต้านทานน้ำแข็ง"""
AttributeResistThunder#0,"""ต้านทานสายฟ้า"""
AttributeResistWind#0,"""ต้านทานลม"""
AttributeResistLight#0,"""ต้านทานแสง"""
AttributeResistDark#0,"""ต้านทานความมืด"""
