Title_Partyselect#0,"""เลือกปาร์ตี้"""
Room_Friend_Filter#0,"""คัดกรองห้องที่มีเพื่อนของคุณ"""
Room_Team_Filter#0,"""คัดกรองห้องที่มีทีมของคุณ"""
Basic_Info#0,"""ข้อมูลพื้นฐาน"""
Field_Info#0,"""ข้อมูลฟิลด์"""
Menber_Info#0,"""สมาชิกปาร์ตี้"""
Filter_On#0,"""เปิด"""
Filter_OFF#0,"""ปิด"""
Room_Timecount#0,"""$(0): $(1)"""
Room_Leaving#0,"""<red>3 ชั่วโมง+<c>"""
PasswordTitle#0,"""พาสเวิร์ด"""
PasswordMessage#0,"""ใส่พาสเวิร์ด: """
Window_Titletelop#0,"""เมนูรับเควสต์"""
Window_TwolineGuide#0,"""เลือกได้ว่าคุณต้องการเป็นหัวหน้าปาร์ตี้ หรือเข้าร่วมปาร์ตี้อื่นในฐานะสมาชิกปาร์ตี้"""
Window_ControlGuide#0,"""<%Decide>: ตกลง\u3000<%Cancel>: ยกเลิก"""
Window_ControlGuide_infodetails#0,"""<%NextTabDetails>: เปลี่ยนหน้า"""
Top_Quest_info#0,"""ข้อมูลเควสต์"""
Top_Quest_infodetails#0,"""รายละเอียดเควสต์"""
Title_Quest_Name#0,"""ภาพรวม"""
Title_Quest_Reward#0,"""รางวัลเคลียร์คงที่ <yellow>※แตกต่างกันไปตามผลการเคลียร์<c>"""
Title_Quest_Reward_2#0,"""รางวัลเคลียร์ครั้งแรก <yellow>※รับได้ครั้งเดียวต่อบัญชี<c>"""
Title_Quest_Restriction#0,"""ข้อจำกัด"""
Title_Quest_Recommended#0,"""Power Level ที่แนะนำ"""
Title_Quest_Order#0,"""เงื่อนไขการรับเควสต์"""
Title_Quest_Clear_Failure#0,"""เงื่อนไขการเคลียร์/เงื่อนไขการล้มเหลว"""
Title_Quest_Clear#0,"""เงื่อนไขการเคลียร์"""
Title_Quest_Failure#0,"""เงื่อนไขการล้มเหลว"""
Title_Quest_Description#0,"""คำอธิบาย"""
Btn_Departimmediately#0,"""ออกเดินทางทันที"""
Btn_Partyconfluence#0,"""เข้าร่วมปาร์ตี้"""
AcceptNG_Description1#0,"""สมาชิกปาร์ตี้ไม่สามารถรับเควสต์ได้"""
AcceptNG_Description2#0,"""คุณไม่ผ่านเงื่อนไขในการรับเควสต์นี้"""
AcceptNG_Description3#0,"""มีสมาชิกปาร์ตี้อย่างน้อยหนึ่งคนเกินขีดจำกัด<br>การเคลียร์ของเควสต์นี้ไปแล้ว คุณจึงไม่สามารถรับเควสต์นี้ได้"""
AcceptNG_Description4#0,"""ไม่สามารถรับเควสต์นี้ได้เนื่องจากกำลังอยู่ระหว่างเตรียมการ"""
Btn_Fasttravel#0,"""Fast Travel"""
Btn_Storyconfirmation#0,"""ดูเนื้อเรื่อง"""
Title_Mainmission#0,"""Main Mission"""
Title_Submission#0,"""Sub Mission"""
Title_Bestscore#0,"""สถิติส่วนตัว (Solo)"""
Title_Bestscore_Challengebuff#0,"""สถิติส่วนตัว (Solo: $(0))"""
Title_Bestscore_pt#0,"""สถิติส่วนตัว (Party)"""
Title_Bestscore_pt_Challengebuff#0,"""สถิติส่วนตัว (Party: $(0))"""
