Window_Titletelop_Exchange_General#0,"""ร้านค้าแลกเปลี่ยนไอเทม"""
Window_TwolineGuide_Exchange_General#0,"""<c f0df60>กรุณาเลือกร้านค้า<c>"""
Window_Titletelop_Exchange#0,"""แลกเปลี่ยนไอเทม"""
Window_TwolineGuide_Exchange#0,"""<c f0df60>แลกเปลี่ยนไอเทมที่กำหนดเป็นไอเทมจากรายการ<c>"""
Window_Controlguide#0,"""ยืนยัน: <%Decide>\u3000ยกเลิก: <%Cancel>\u3000สลับหน้าต่าง: <%ChangeCtrlWindowForward>"""
Window_Exchange_Itemselection#0,"""เลือกไอเทมที่ต้องการแลกเปลี่ยน"""
Window_Material_Itemselection#0,"""เลือกวัตถุดิบที่ต้องการแลกเปลี่ยน"""
Window_Target_Itemselection#0,"""เลือกไอเทมเป้าหมาย"""
Window_Exchange_Quantity#0,"""ยืนยันการแลกเปลี่ยน"""
Mes_Exchange_Quantity#0,"""คุณกำลังจะแลกเปลี่ยนไอเทมด้านล่างเป็น<br><yellow>$(0)<c><br>กรุณาระบุจำนวนที่ต้องการแลกเปลี่ยน<br><br><yellow>※กด <c><%Function><yellow><c> เพื่อกลับไปยังเมนูเวอร์ชันเก่า"""
Mes_Exchange_Quantity2#0,"""คุณกำลังจะแลกเปลี่ยนไอเทมด้านล่างเป็น<br><yellow>$(0) x $(1)<c><br>กรุณาระบุจำนวนที่ต้องการแลกเปลี่ยน<br><br><yellow>※กด <c><%Function><yellow><c> เพื่อกลับไปยังเมนูเวอร์ชันเก่า<c>"""
Window_Target_Itemlist#0,"""รายการไอเทมเป้าหมาย"""
Window_Target_Itemlist_ExchangePattern#0,"""รูปแบบการแลกเปลี่ยน <%MultiSelect>"""
Window_ExchangeCandidate_Itemlist#0,"""รายการไอเทมที่สามารถแลกเปลี่ยนได้"""
Label_Item_Name#0,"""ชื่อไอเทม"""
Label_Required_Number#0,"""ต้องการ"""
Label_Possession_Number#0,"""มีอยู่"""
Label_Exchange_Number#0,"""จำนวนที่แลกเปลี่ยน"""
Window_Special_Ability_Transfer#0,"""ถ่ายโอนความสามารถพิเศษ"""
Content_Special_Ability_Transfer#0,"""รายละเอียดการถ่ายโอนความสามารถ"""
Content_Iteminfo_Capacity#0,"""ความจุ $(0) หลังแลกเปลี่ยน"""
Button_Exchange#0,"""แลกเปลี่ยน"""
Button_Item_Search#0,"""ค้นหาไอเทม"""
Window_Want_Item#0,"""ไอเทมที่ต้องการ"""
Window_Item_Exchange#0,"""แลกเปลี่ยนไอเทม"""
Mes_Item_Unequipped#0,"""ไอเทมต่อไปนี้กำลัง<yellow>สวมใส่<c>อยู่<br>ต้องการถอดออกและดำเนินการต่อหรือไม่?"""
Mes_Item_Unlock#0,"""ไอเทมต่อไปนี้ถูก<yellow>ล็อก<c>อยู่<br>ต้องการปลดล็อกและดำเนินการต่อหรือไม่?"""
Mes_Item_Unequipped_Unlock#0,"""ไอเทมต่อไปนี้กำลัง<yellow>สวมใส่หรือถูกล็อก<c>อยู่<br>ต้องการถอด/ปลดล็อกและดำเนินการต่อหรือไม่?"""
Label_Unequipped#0,"""ไม่ได้สวมใส่"""
Label_Unlock#0,"""ล็อกอยู่"""
Label_NoItem#0,"""ไม่มีไอเทมเป้าหมาย"""
Mes_Exchange_Start#0,"""แลกเปลี่ยนไอเทมต่อไปนี้เป็น<br>$(0) x$(1) หรือไม่?<br><br><yellow>※หากคุณเลือกไอเทมเกินกว่าที่กำหนด,<br>จะถูกหักไปแค่ตามจำนวนที่ต้องการเท่านั้น<c>"""
Mes_Exchange_Start2#0,"""แลกเปลี่ยนไอเทมต่อไปนี้เป็น<br>$(0) ($(1) ชิ้น) x$(2) หรือไม่?<br><br><yellow>※หากคุณเลือกไอเทมเกินกว่าที่กำหนด,<br>จะถูกหักไปแค่ตามจำนวนที่ต้องการเท่านั้น<c>"""
Mes_Exchange_Completed#0,"""แลกเปลี่ยนไอเทมสำเร็จแล้ว"""
Window_Get_Method#0,"""วิธีการได้รับไอเทม"""
Label_Recommended_TaskList#0,"""ทาสก์ที่แนะนำ"""
Label_Myshop_History#0,"""ประวัติการซื้อ"""
Button_Myshop_Search#0,"""ค้นหาใน MyShop"""
Label_Strengthening_Value#0,"""ระดับการตีบวก"""
Label_Quantity#0,"""จำนวน"""
Label_Price#0,"""ราคา"""
Window_Titletelop_Recycle#0,"""รีไซเคิลไอเทม"""
Window_Titletelop_MangaMemory#0,"""แลกเปลี่ยน [PSO2] Manga Memory"""
Window_Titletelop_AdvanceCorps#0,"""แลกเปลี่ยน Expedition Special Ticket (จนถึง: $(0))"""
Window_Titletelop_KvarisItem#0,"""แลกเปลี่ยนไอเทม: Kvaris"""
Window_Titletelop_StiaItem#0,"""แลกเปลี่ยนไอเทม: Stia"""
Window_Titletelop_Ages#0,"""แลกเปลี่ยนไอเทม: Aegis Integra"""
Window_Titletelop_Ranking#0,"""แลกเปลี่ยน ARKS Record Badge"""
Window_Titletelop_Slayer#0,"""แลกเปลี่ยน Slayer Preparation Special Emblem (จนถึง: $(0))"""
Window_Titletelop_Gigas#0,"""แลกเปลี่ยน Gigas Stragment"""
Window_Titletelop_Dev#0,"""แลกเปลี่ยน Development Preparation Special Emblem"""
Window_Titletelop_G-Up#0,"""แลกเปลี่ยน Growthment"""
Window_Titletelop_SpScratch#0,"""แลกเปลี่ยน Special Scratch"""
Window_Titletelop_D-Stone#0,"""แลกเปลี่ยน Dread Scale"""
Window_Titletelop_G-Up2#0,"""แลกเปลี่ยน Growthment II"""
Window_TwolineGuide_Recycle#0,"""<c f0df60>คุณสามารถรับไอเทมจากการนำไอเทมอื่นมาแลกเปลี่ยนได้ หากคุณส่งมอบไอเทมเพียงพอ สามารถแลกรับไอเทมได้มากกว่าหนึ่งชิ้นพร้อมกัน<c>"""
Window_Titletelop_TeamBadge#0,"""ร้านค้าแลกเปลี่ยน Team Badge"""
Window_TwolineGuide_TeamBadge#0,"""สามารถนำ Team Badge มาแลกเปลี่ยนเป็นไอเทมได้ หากส่งมอบไอเทมทวีคูณตามจำนวนที่กำหนด จะสามารถรับไอเทมได้หลายชิ้น"""
Label_Acquisition_Quantity#0,"""จำนวน"""
Mes_Shop_Access_NG#0,"""ไม่สามารถใช้งานได้ในระหว่างดำเนินเควสต์"""
Special conditions_1#0,"""+$(0)~"""
Special conditions_2#0,"""$(0)"""
Special conditions_3#0,"""ธาตุใดก็ได้"""
Special conditions_4#0,"""★$(0)~"""
Special conditions_5#0,"""<pict potential_icon>ปลดล็อก $(0) แล้ว"""
Special conditions_6#0,"""<pict potential_icon>Lv. $(0)"""
Special conditions_7#0,"""<pict Ability_icon>เพิ่ม $(0) แล้ว"""
Special conditions_8#0,"""<pict Ability_icon> x$(0)"""
Special conditions_9#0,"""ซีรีส์ $(0)"""
Special conditions_10#0,"""ประเภทไอเทม: $(0)"""
Special conditions_11#0,"""สวมใส่ได้โดย $(0)"""
Special conditions_12#0,"""$(0)/$(1)"""
Special conditions_13#0,"""$(1) $(0)"""
Special conditions_14#0,"""ไอเทม"""
Exchange rate_itemname_1#0,"""$(0) ($(1) ชิ้น) x$(2)"""
Exchange rate_itemname_2#0,"""$(0) x$(1)"""
Caution_Failure#0,"""แลกเปลี่ยนล้มเหลว"""
Caution_MaximumNumber#0,"""ถึงขีดจำกัดการแลกเปลี่ยนสูงสุดแล้ว"""
Caution_InsufficientStorage#0,"""ไม่สามารถแลกเปลี่ยนได้เนื่องจากช่องเก็บของเต็ม หรือไอเทมเกินขีดจำกัดความจุ"""
Caution_ReadExtendedWarehouse#0,"""เมื่อเลือกไอเทมในคลังเก็บของส่วนขยายอยู่<br>จะไม่สามารถโหลดคลังเก็บของส่วนขยายอื่นได้"""
Caution_ProductList#0,"""ไม่สามารถดึงข้อมูลรายการสินค้าได้ กรุณาลองใหม่อีกครั้งในภายหลัง"""
EnhancementValue#0,"""ระดับการตีบวก +1 ขึ้นไป"""
No_EnhancementValue#0,"""ไม่มีการตีบวก"""
Button_Item_Search_Myshop_NG#0,"""ไอเทมนี้ไม่สามารถแสดงในร้านค้าผู้เล่น (Player Shops) ได้"""
Recyclebadge_ac#0,"""ไอเทมเป้าหมายจาก AC Scratch"""
Recyclebadge_sg#0,"""ไอเทมเป้าหมายจาก SG Scratch"""
Recommend_ac#0,"""ไอเทมแนะนำเป้าหมายจาก AC Scratch"""
Label_Delivered_Items#0,"""ไอเทมที่ใช้แลกเปลี่ยน"""
Label_Exchange_Quantity#0,"""จำนวนที่ต้องการแลกเปลี่ยน"""
Button_Exchange_Confirmation#0,"""ยืนยันการแลกเปลี่ยน"""
Caution_Unswitchable#0,"""ไอเทมนี้ไม่สามารถเปลี่ยนเมนูการแลกเปลี่ยนได้"""
Window_Titletelop_TakeOverExchange#0,"""อัปเกรดอุปกรณ์ (ถ่ายโอนความสามารถ)"""
Caution_TakeOverExchange#0,"""คุณสามารถเลือกอาวุธหรือชุดป้องกันเป็นฐานในการแลกเปลี่ยนได้เพียงชิ้นเดียวเท่านั้นในที่นี้"""
Window_Titletelop_N-Weaponbadge#0,"""แลกเปลี่ยน N-Weapon Badge"""
Window_Titletelop_Main_Group1#0,"""รีไซเคิลไอเทม"""
