SharedServers#0,"""共用服務器"""
MoveSharedServers#0,"""移動到共用服務器。"""
NormalServers#0,"""一般服務器"""
ReturnNormalServers#0,"""回到一般服務器。"""
SelectPlace#0,"""選擇傳送目的地"""
SelectPlaceMessage#0,"""在副本上有傳送裝置。<br>要移動到何處呢?"""
TransportPlace#0,"""傳送目的地"""
Telepipe#0,"""傳送裝置"""
StartPoint#0,"""起點"""
ReturnCampship#0,"""要回到營地小船麼?"""
ReturnCampshipWarning#0,"""尚未接受到可領取報酬的數量，<br>要回到營地小船麼?<br><br>若要領取報酬，請選擇「否」後，<br>連線到極限裝置。<br><br><red>※一旦回到營地小船、<br>　就會無法再領取報酬。<c>"""
ReturnWithoutCampship#0,"""帰還しますか?"""
ReturnCampshipYes#0,"""戻る"""
ReturnCampshipNo#0,"""いいえ"""
QuestClear#0,"""任務結束後<br>無法降落在副本上。"""
CampshipToField#0,"""出口"""
ToFieldClear#0,"""完成任務後<br>無法降落在副本上。"""
ToFieldFaild#0,"""任務失敗後<br>無法降落在副本上。"""
ToOtherSinglePartyArea#0,"""不被允許進入前方區域。"""
NowBlockRetry#0,"""現在のブロックでリトライ"""
MultiBlockRetry#0,"""複数ブロックの検索でリトライ"""
ReturnCampship#1,"""キャンプシップへ戻る"""
CloseWindow#0,"""戻る"""
RetryConfirmHeader#0,"""リトライ確認"""
NowBlockRetryDescription#0,"""現在のブロックで検索して<br>クエストをリトライしますか?"""
MultiBlockRetryDescription#0,"""複数のブロックを検索して<br>クエストをリトライしますか?"""
RetryYes#0,"""リトライする"""
RetryNo#0,"""いいえ"""
