TitleLogo_Enter#0,"""按ENTER鍵開始"""
TitleLogo_Start#0,"""按START鍵開始"""
TitleLogo_CopyRight#0,"""(C)SEGA"""
TitleLogo_PS4#0,"""按任意鍵開始"""
Title_IdSelect#0,"""登入菜單"""
Title_IdSelect_v#0,"""登入菜單"""
Title_Login#0,"""選擇艦船"""
Title_StartMenuSelect#0,"""開始菜單（連接艦船：$(0)）"""
Title_StartMenuSelect_Vita#0,"""開始菜單"""
Title_CharacterSelect#0,"""選擇角色（連接艦船：$(0)）"""
Title_CharacterSelect_Vita#0,"""選擇/創建角色"""
Title_CharacterMake#0,"""創立角色"""
Title_BenchmarkMenu#0,"""跑分測試"""
Title_ShipList#0,"""艦船列表"""
Title_CharacterList#0,"""角色列表"""
Title_StartMenu#0,"""開始菜單"""
Title_FirstPlay#0,"""致初次進行遊戲的玩家"""
Title_RecommandShip#0,"""在推薦艦船開始遊戲"""
Title_IdSelect_cc#0,"""登入菜單"""
Title_IssueUserIdName#0,"""生成玩家ID名稱"""
Language_WindowTitle#0,"""-"""
Title_hange#0,"""SEGA ID遷移"""
Title_Xone_Invite#0,"""-"""
Title_IdSelect#1,"""<c f0df60>若欲開始遊戲時，請選擇“開始遊戲”。若欲變更郵箱等資料時，請選擇“變更玩家資料”。"""
Title_IdSelect_v#1,"""<c f0df60>遊戲開始時，須由[開始遊戲]登入“PlayStation Network”。<c>"""
Title_Login#1,"""請選擇要遊玩的艦船。"""
Title_StartMenuSelect#1,"""請選擇項目。"""
Title_CharacterSelect#1,"""請選擇欲使用的角色，或選擇「創立新角色」。"""
Title_CharacterMake#1,"""<c f0df60>請選擇項目。<c>"""
Title_BenchmarkMenu#1,"""<c f0df60>請選擇項目。<c>"""
Connecting#0,"""請稍候片刻。"""
Title_IdSelect_cc#1,"""<c f0df60>若欲開始遊戲時，請選擇[開始遊戲]。若欲變更郵箱等資料時，請選擇[變更玩家資料]。<c>"""
Title_Login_v#0,"""<c f0df60>PC版、PlayStation®Vita版、PlayStation®4版、Nintendo Switch™可以使用相同的SEGA ID。<c>"""
Title_Login_Hangame#0,"""<c f0df60>請選擇艦船。<c>"""
Title_ID#0,"""<c f0df60>PC版、PlayStation®Vita版、PlayStation®4版可以使用同一個SEGA ID。<c>"""
Language_Help#0,"""<c f0df60>請選擇遊戲中的語音和文本語言。<c>"""
hange_ID#0,"""<c f0df60>將Hangame ID的遊玩數據遷移到SEGA ID請選「是」，不遷移請選「否」。<c>"""
IpEdit#0,"""請輸入欲進行連接的IP地址"""
Disconnect#0,"""與服務器的連線中斷。"""
PSN_Connect_Error#0,"""未能連線至PlayStation®Network。<br>請稍待片刻，再重新嘗試。<br>若状況仍未改善，<br>請前往夢幻之星ONLINE2玩家專頁、<br>或至 Play Station® 官方網站的<br>障礙，維修情報進行確認。"""
UseAgreement_Title#0,"""『夢幻之星ONLINE2』使用條款"""
UseAgreement_Message#0,"""注意事項：本漢化沒有任何捐贈贊助渠道。請小心不要被騙。<br><br>漢化補丁可由以下兩個網站下載：pso2.icu(服務器由4船犀利哥提供)<br>                              pso2.ys168.com<br><br>由以下人員協助文本漢化（排名不分先後）：<br>raysortier  ichoney  marsbrake<br>unknown  yar  cxqsnow  itosama<br>YoshinoSakura  Lanker  Aqusic<br>QJH  BBA  hibiki  3船ムラサキ<br>梅桐彩葉  青夕璃依  nayo  Moser<br><br>技術支持由3船貓貓頭女神提供。<br><br>特別感謝名單：3船NSR（群管理相关）<br>              4船犀利哥（提供儲存下載服務器）<br>              中文字庫補丁：focuslite#2197<br><br>如果對此名單有任何疑問，請聯繫漢化基地qq群管理員（21587709）3船明日香。如果在列表的人希望改變列出來的名字也可以聯繫我。<br><br>漢化BUG或者反饋也請聯繫漢化基地qq群管理員（21587709）3船明日香，或者在两个网站留言也可以。"""
UseAgreement_Message_v#0,""" """
UseAgreement_Decide#0,"""同意使用條款開始遊戲"""
UseAgreement_Cancel#0,"""不同意"""
UseAgreement_WebLink#0,"""確認使用條款"""
UseAgreementConfirm#0,"""未同意使用條款時，<br>將無法進行遊戲<br>確定麼？"""
UseAgreementURL#0,"""https://pso2.jp/players/support/rule/"""
UseAgreementURLVita#0,"""http://pso2.jp/players/support/rule/vita/"""
UseAgreement_Message_break2#0,""" """
UseAgreement_Message_v_break2#0,""" """
UseAgreement_Message_ps4#0,""" """
UseAgreement_Message_ps4_break2#0,""" """
Agreement_Message_Combination#0,"""$(0)<br>$(1)"""
UseAgreement_Message_cc#0,""" """
UseAgreement_Message_cc_break2#0,""" """
UseAgreement_Title#1,"""『夢幻之星ONLINE2』使用條款"""
UseAgreement_Message#1,""" """
UseAgreement_Decide#1,"""同意使用條款開始遊戲"""
UseAgreement_Cancel#1,"""不同意"""
UseAgreement_WebLink#1,"""確認使用條款"""
UseAgreementConfirm#1,"""未同意使用條款時，<br>將無法進行遊戲<br>確定麼？"""
UseAgreementURL#1,"""http://pso2.jp/players/support/rule/"""
UseAgreement_Message_break2#1,""" """
LoginIdSelect_Sega#0,"""開始遊戲"""
LoginVita#0,"""開始遊戲"""
LoginIdSelect_UserInfo#0,"""變更玩家資料"""
LoginIdSelect_UserInfo_v#0,"""變更玩家資料（前往遊戲官網）"""
LoginIdSelect_AR#0,"""角色圖示"""
LoginIdSelect_CharaCreate#0,"""離線創立角色"""
LoginIdSelect_Credit#0,"""工作人員列表(漢化群：21587709)"""
LoginIdSelect_GameEnd#0,"""遊戲結束"""
LoginIdSelect_OnlineManual#0,"""遊戲百科"""
LoginIdSelect_ReturnTitle#0,"""回到標題界面"""
LoginIdSelect_LinkSegaId#0,"""綁定SEGA ID"""
LoginIdSelect_SegaId_Link#0,"""遷移到SEGA ID"""
Title#0,"""登入菜單"""
TitleVita#0,"""標題菜單"""
UserInfoURL#0,"""https://USER-INFO-CHANGE-URL"""
UserInfoURLVita#0,"""https://USER-INFO-CHANGE-URL"""
FirstPlay_Message#0,"""歡迎來到『夢幻之星ONLINE2』的世界！<br><br>在這個遊戲裡，需要選擇被稱為「艦船」的服務器，來登錄角色。<br><br><yellow>■初次遊玩的玩家<c><br>請選擇「在推薦艦船開始遊戲」。<br><br><yellow>■已經玩過的玩家<c><br>請選擇正在遊玩的艦船。"""
IssueUserIdName_Message#0,"""你的玩家ID名稱：<br>　　<yellow>$(0)<c><br><br>每個玩家都會被分配到一段獨特的玩家ID名稱，<br>該名稱也會在與其他玩家交流時使用。<br><br>該名稱可在遊戲開始後，自由更改為<br><yellow>喜歡的名稱<c>（第一次免費）。<br><br>若要進行更改，可在選擇艦船後的<br>開始菜單＞輔助菜單中，<br>選擇「變更玩家ID名稱」進行更改。"""
Recommand_Message#0,"""從頭開始遊戲<br><br>現在開始創立的角色，將登録於<br><br><yellow>「 $(0) 」<c><br><br>這艘艦船（服務器）上，<br>以後要遊玩時，請選擇這艘艦船進行遊戲。<br><br>※在朋友邀請系統中被邀請的玩家和<br>　想轉換到別艘艦船上的玩家，請選擇「返回」<br>　再選擇想選擇的艦船。"""
Recommand_Title_Vita#0,"""歡迎來到『夢幻之星ONLINE2』的世界！"""
Recommand_Message_Vita#0,"""需要選擇被稱為「艦船」的服務器，來創立角色。<br>創立好的角色只能在之前選擇的艦船進行遊戲。<br><br>新玩家若選擇<green>「$(0)」<c>，<br>在進行遊戲時會更流暢。<br><br><yellow>想轉換到別艘艦船上的玩家和<br>在朋友邀請系統中被邀請的玩家<br>可選擇想選擇的任何一艘艦船。<c><br><br><red>※不同艦船間的角色無法進行交流。<br>　想移動艦船必須花費ARKS貨幣(AC)。<c>"""
Recommand_Start#0,"""開始遊戲"""
Recommand_Back#0,"""返回"""
LoginCloud#0,"""開始遊戲"""
LoginIdSelect_es#0,"""和『PSO2es』聯動"""
LoginIdSelect_es_Title#0,"""和『PSO2es』角色聯動"""
LoginIdSelect_es_Message#0,"""在PSO2中玩PSO2es創建的角色需要<br>從PSO2es處進行聯動。<br><br>PSO2es大廳畫面的PSO2聯動菜單中，<br>輕觸現在聯動按鈕，<br>按照屏幕上的説明完成聯動後<br>登入PSO2<br><br>　<&URL pso2.jp_es_players_guide_beginners>"""
SegaID_URL#0,"""https://pso2.jp/ref/ngs001/"""
LoginIdSelect_LanguageSetting#0,"""-"""
Language_selectionTitle#0,"""-"""
Language_selectionMessage#0,"""-"""
Language_selectionVoice#0,"""-"""
Language_selectionText#0,"""-"""
Language_Used#0,"""-"""
Language_English#0,"""-"""
Language_Japanese#0,"""-"""
Language_ButtonText#0,"""-"""
VitaEndTitle#0,"""致遊玩“PS Vita”版的玩家"""
