Title_DeadMenu#0,"""Incapacitation Menu"""
Label_Return#0,"""キャンプシップへ戻る"""
Label_Revival#0,"""Revive Here"""
Title_Return#0,"""キャンプシップへ戻る"""
Message_Return#0,"""キャンプシップへ戻ります。<br>よろしいですか？"""
Message_Return_NoReward#0,"""キャンプシップへ戻ります。<br>よろしいですか？<br><br><red>※一度キャンプシップに戻ると、<br>\u3000報酬を受け取ることができなくなります。<c>"""
Title_Revival#0,"""Revive Here"""
Message_Revival#0,"""この場で復活します。<br>よろしいですか？"""
Message_Revival_NoReward#0,"""この場で復活します。<br>よろしいですか？<br><br><red>※一度復活すると、<br>\u3000報酬を受け取ることができなくなります。<c>"""
Message_ReturnFailure#0,"""現在、キャンプシップへ戻ることはできません。 """
Message_RevivalFailure#0,"""現在、復活することはできません。"""
Label_Failure#0,"""Abandon Quest"""
Message_Failure#0,"""クエストをリタイアします。<br>よろしいですか？"""
Label_FailurePartyExit#0,"""Abandon Quest (Leave Party)"""
Message_FailurePartyExit#0,"""Abandon the Quest & leave<br>the Party?"""
Label_Chat#0,"""Chat"""
Label_UseHalf#0,"""Resurrect using a Half Doll"""
Title_HalfDollUse#0,"""Use Half Doll"""
Message_HalfDollUse#0,"""ハーフドールを使用して復活します。<br>よろしいですか？<br><br><yellow>※ハーフドールは、残り$(1)回使用することができます。<br>\u3000使用回数は、キャンプシップに戻ることで回復します。<c><br>（所持数：$(0)）"""
Message_HalfDollNotRemain#0,"""ハーフドール使用回数が$(1)回のため、復活できません。<br><br><yellow>※キャンプシップに戻ることで、$(2)回まで回復します。<c><br>（所持数：$(0)）"""
Message_HalfDollNotHave#0,"""ハーフドールを持っていないため、復活できません。<br><br><yellow>※ハーフドールは、所持していることで<br>\u3000$(0)回まで使用することができます。<br>\u3000使用回数は、キャンプシップに戻ることで回復します。<c>"""
Message_CanNowUseHalfDoll#0,"""ハーフドールの使用回数が回復しました。"""
Message_Revive_count#0,"""Auto-revive in 10 seconds."""
Message_Revive_count_5#0,"""Auto-revive in 5 seconds."""
Message_Revive_count_Time#0,"""Auto-revive in $(0) seconds."""
Title_RetryConform#0,"""Retry Menu"""
Label_Retry#0,"""Retry"""
