BuffToast_Prefix#0,""" \""Mag Boost\"": """
BuffToast_Suffix#0,""" เปิดใช้งานแล้ว"""
RegionMag:AttackBuff#0,"""เพิ่มพลังโจมตี"""
RegionMag:QuestDropRareUp#0,"""เพิ่มอัตราดรอป Rare"""
RegionMag:ExpUp#0,"""เพิ่ม EXP ที่ได้รับ"""
RegionMag:SeasonalPointUp#0,"""เพิ่มอัตราการเกิดของศัตรู Seasonal"""
BuffToast#0,"""\""Mag Boost\"" ของ $(1) มอบเอฟเฟกต์ $(0)"""
MagName_1#0,"""Regional Mag ไร้เทียมทาน"""
MagName_2#0,"""Regional Mag ผู้เชี่ยวชาญ"""
MagName_3#0,"""Regional Mag ผู้มั่งคั่งทดสอบ"""
MagName_4#0,"""Regional Mag ไร้เทียมทาน"""
MagName_5#0,"""Regional Mag ผู้เชี่ยวชาญ"""
MagName_6#0,"""Regional Mag ผู้มั่งคั่ง"""
MagName_7#0,"""Regional Mag ไร้เทียมทาน (ทนความหนาวเย็น)"""
MagName_8#0,"""Regional Mag ผู้เชี่ยวชาญ (ทนความหนาวเย็น)"""
MagName_9#0,"""Regional Mag ผู้มั่งคั่ง (ทนความหนาวเย็น)"""
MagName_10#0,"""Regional Mag ไร้เทียมทาน"""
MagName_11#0,"""Regional Mag ผู้เชี่ยวชาญ"""
MagName_12#0,"""Regional Mag ผู้มั่งคั่ง"""
