01_MainLobby_001#0,"""在使用「VIP服務」的期間，委託最多可以同時接受40件。"""
01_MainLobby_002#0,"""進行「特殊能力追加」時，選擇多個同樣的特殊能力道具當作素材可以提高成功確率。"""
01_MainLobby_003#0,"""在「任務記録」中，可以確認本次任務中會出現的敵人以及會掉落的道具。"""
01_MainLobby_004#0,"""「裝備」了瑪古的話，瑪古的屬性會增加到自身的狀態中。"""
01_MainLobby_005#0,"""給予瑪古道具的話，就可以提高瑪古的等級。"""
01_MainLobby_006#0,"""要是瑪古的能量減少了的話，就給它道具吧。"""
01_MainLobby_007#0,"""瑪古的等級上升後，可以進化成更強大的瑪古。"""
01_MainLobby_008#0,"""在「称号櫃台」獲得称号時，也可以獲得道具。"""
01_MainLobby_009#0,"""在大廳區域的「職業櫃台」中，可以改變玩家的職業和學習技能。"""
01_MainLobby_010#0,"""學習了「武裝」技能后，可以獲得對當前武器有利的效果。"""
01_MainLobby_011#0,"""在任務櫃台中選擇「任務執行中的隊伍」後，可以確認其他正在執行任務的隊伍，并加入其中。"""
01_MainLobby_012#0,"""在任務櫃台中選擇「作為其他的隊伍參加」後，可以和那個隊伍一起在多隊伍區域遊玩。"""
01_MainLobby_013#0,"""委託中，有可以重複接受並完成的任務。"""
01_MainLobby_014#0,"""完成特定的委託後，會有各種各樣的功能可以使用。"""
01_MainLobby_015#0,"""在「周囲的玩家」菜單中可以給玩家發送短信息。"""
01_MainLobby_016#0,"""通過發送「短信息」可以獲得FUN點數，并可以用於「FUN轉蛋」。"""
01_MainLobby_017#0,"""「交流歷史記錄」可以用於查看附有描述的短信息。"""
01_MainLobby_018#0,"""「交流歷史記錄」可以用於查看組過的隊伍的履歴記録。"""
01_MainLobby_019#0,"""在「玩家情報」菜單中可以確認狀態以及正在發生中的效果。"""
01_MainLobby_020#0,"""連續登陸遊戲的話，就可以獲得很多登陸獎勵（FUN點數）。"""
01_MainLobby_021#0,"""在「周囲的玩家」菜單中可以邀請玩家加入隊伍或者申請成為好友。"""
01_MainLobby_022#0,"""在主菜單中的「称号/Ａｒｋｓ名片」＞「Ａｒｋｓ名片編輯」菜單中，<br>可以編輯自己的Ａｒｋｓ名片所顯示的情報。"""
