YesText#0,"""是"""
NoText#0,"""否"""
EventChronicleTitle1#0,"""事件紀事"""
EventChronicleTitle2#0,"""章節選擇"""
EventChronicleTitle3#0,"""事件紀事情報"""
OccurrenceCondition#0,"""發生條件"""
Condition#0,"""達成状況"""
PerusalOnly#0,"""已達成只閲覧"""
Clear#0,"""已達成"""
Nonattainment#0,"""未達成"""
SubScenarioText#0,"""(擴充按鈕)顯示次要劇情"""
SubScenarioTextVita#0,"""<pict Sign_TRIANGLE>顯示次要劇情"""
SubScenario#0,"""次要劇情"""
EventNone#0,"""沒有已達成的過場動畫"""
PlayBackTitle#0,"""播放過場動畫"""
PlayBackMessage#0,"""確定要播放選擇的過場動畫麼？"""
PlaySkipMessage#0,"""略過過場動畫並跳到下一個選項<br>或過場動畫結束的時間點。<br><br>是否要略過？"""
AllClearMessage#0,"""新增了新的章節「(該章的標題)」。<br>請確認EP(EP的編號) 第(章的編號)章。"""
BrowserTitle#0,"""播放過場動畫"""
BrowserMessage#0,"""ブラウザから再生することができます。<br><br>http://pso2.jp/vita/players/about/movie/"""
Episode_1#0,"""第1章　主活動"""
Uncommon1#0,"""章節1 次要事件"""
Episode_2#0,"""章節2 主要事件"""
Uncommon2#0,"""章節2 次要事件"""
Episode_3#0,"""エピソード３\u3000メインイベント"""
Uncommon3#0,"""エピソード３\u3000サブイベント"""
Etc#0,"""其它"""
Chapter_0#0,"""序章"""
Chapter_1#0,"""第1章"""
Chapter_2#0,"""第2章"""
Chapter_3#0,"""第3章"""
Chapter_4#0,"""第4章"""
Chapter_5#0,"""第5章"""
Chapter_6#0,"""第6章"""
Chapter_7#0,"""第7章"""
Chapter_8#0,"""第8章"""
Chapter_9#0,"""第9章"""
Chapter_10#0,"""第10章"""
Chapter_EX#0,"""外傳"""
Chapter_EX2#0,"""外傳2"""
Chapter_EX3#0,"""外傳3"""
Chapter_EX4#0,"""外傳4"""
Etc#1,"""その他"""
Zeno#0,"""傑諾"""
Echo#0,"""艾可"""
Afin#0,"""亞方"""
Matoi#0,"""瑪托依"""
Gettem#0,"""哥德哈特"""
