Outline_00#0,"""一直等待這天的到來"""
Outline_01#0,"""一直等待著明天 A"""
Outline_02#0,"""一直等待著明天 B"""
Outline_03#0,"""氣氛詭異的納貝流士 A"""
Outline_04#0,"""氣氛詭異的納貝流士 B"""
Outline_05#0,"""沙塵的深處 A"""
Outline_06#0,"""沙塵的深處 B"""
Outline_07#0,"""龍之病 A"""
Outline_08#0,"""龍之病 B"""
Outline_09#0,"""隱藏在沙塵中之物 A"""
Outline_10#0,"""龍所託付之物 A"""
Outline_11#0,"""隱藏在沙塵中之物 B"""
Outline_12#0,"""龍所託付之物 B"""
Outline_13#0,"""黑暗種的強襲"""
Outline_14#0,"""終末的開始 A"""
Outline_15#0,"""終末的開始 B"""
Outline_16#0,"""終末的開始 C"""
Outline_17#0,"""最初的訣別 A"""
Outline_18#0,"""最初的訣別 B"""
Outline_19#0,"""最後的道別"""
Outline_20#0,"""ARKS戰技大會！ A"""
Outline_21#0,"""ARKS戰技大會！ B"""
Outline_22#0,"""ARKS戰技大會！ C"""
Outline_23#0,"""意志引導下的未知路程 A"""
Outline_24#0,"""意志引導下的未知路程 B"""
Outline_25#0,"""到現在為止，和從現在開始 A"""
Outline_26#0,"""到現在為止，和從現在開始B"""
Outline_27#0,"""終末的開始D"""
Outline_28#0,"""意外的邂逅A"""
Outline_29#0,"""意外的邂逅 B"""
Outline_30#0,"""已經不在那裡的我"""
Outline_31#0,"""在蒼海底，顫抖 A"""
Outline_32#0,"""在蒼海底，顫抖 B"""
Outline_33#0,"""黑暗種強襲　B"""
Outline_34#0,"""重生之日"""
Outline_35#0,"""我誕生了的理由"""
Outline_36#0,"""白黑遊戲"""
Outline_37#0,"""誰原諒了誰"""
Outline_38#0,"""抹上灰色的傳承"""
Outline_39#0,"""欺騙歴史，改變現在"""
Outline_40#0,"""搞砸了的最高傑作"""
Outline_41#0,"""為了守護重要的人"""
Outline_42#0,"""你誕生的那個理由"""
Outline_43#0,"""存在於此的意義"""
Outline_00#1,"""EP1 序章"""
Outline_01#1,"""EP1 第1章"""
Outline_02#1,"""EP1 第1章"""
Outline_03#1,"""EP1 第2章"""
Outline_04#1,"""EP1 第2章"""
Outline_05#1,"""EP1 第3章"""
Outline_06#1,"""EP1 第3章"""
Outline_07#1,"""EP1 第4章"""
Outline_08#1,"""EP1 第4章"""
Outline_09#1,"""EP1 第5章"""
Outline_10#1,"""EP1 第6章"""
Outline_11#1,"""EP1 第5章"""
Outline_12#1,"""EP1 第6章"""
Outline_13#1,"""EP1 第7章"""
Outline_14#1,"""EP1 第8章"""
Outline_15#1,"""EP1 第8章"""
Outline_16#1,"""EP1 第8章"""
Outline_17#1,"""EP1 第9章"""
Outline_18#1,"""EP1 第9章"""
Outline_19#1,"""EP1 第10章"""
Outline_20#1,"""EP1 外傳"""
Outline_21#1,"""EP1 外傳"""
Outline_22#1,"""EP1 外傳"""
Outline_23#1,"""EP2 第1章"""
Outline_24#1,"""EP2 第1章"""
Outline_25#1,"""EP2 第2章"""
Outline_26#1,"""EP2 第2章"""
Outline_27#1,"""EP1 第8章"""
Outline_28#1,"""EP2 第３章"""
Outline_29#1,"""EP2 第３章"""
Outline_30#1,"""EP2 外傳"""
Outline_31#1,"""EP2 第４章"""
Outline_32#1,"""EP2 第４章"""
Outline_33#1,"""EP1 第7章"""
Outline_34#1,"""EP2 第５章"""
Outline_35#1,"""EP2 第６章"""
Outline_36#1,"""EP3 第１章"""
Outline_37#1,"""EP3 第２章"""
Outline_38#1,"""EP3 第３章"""
Outline_39#1,"""EP3 第４章"""
Outline_40#1,"""EP3 第５章"""
Outline_41#1,"""EP3 第６章"""
Outline_42#1,"""EP3 第７章"""
Outline_43#1,"""EP3 外傳"""
