f2#0,"""突發試煉「$(0)」失敗!"""
f0#0,"""隊伍有1人無法戰鬥了!"""
f1#0,"""隊伍全員都無法戰鬥了!"""
f4#0,"""時間到!"""
f3#0,"""已選擇退出任務!"""
f5#0,"""隊伍人數不是任務規定的人數!"""
f6#0,"""$(0)無法戰鬥了!"""
f7#0,"""其他隊伍結束了任務!"""
f8#0,"""沒有在時間内累積$(0)任務點數!"""
f9#0,"""因任務開始時的領導者已經離開，任務結束!"""
f10#0,"""所有的據點全部遭到破壞了！"""
f11#0,"""採掘基地防衛失敗！"""
f12#0,"""突發試煉失敗！"""
f13#0,"""其他隊伍結束了任務!"""
f14#0,"""到達戰鬥不能次數上限！"""
f15#0,"""防衛対象が破壊されてしまった！"""
f16#0,"""ライフポイントが０になった！\u3000任務継続不能！"""
Test#0,"""Dummy1"""
ApeAnnihilate#0,"""殲滅紅猿猴!"""
QueenAnnihilate#0,"""殲滅蛛后!"""
WormAnnihilate#0,"""殲滅磁穿龍!"""
CollectData#0,"""捕獲大嘴拉比!"""
DestroyTarget#0,"""調査最深處的異常状態！"""
GetPoints#0,"""獲得任務點數！"""
ReachDeep#0,"""探索至最深區域！"""
story_outline_10010#0,"""突破黑暗種群！"""
story_outline_10020_01#0,"""突破黑暗種群！"""
story_outline_10020_02#0,"""確認聲音來源！"""
story_outline_10020_03#0,"""確認聲音來源！"""
story_outline_10030_01#0,"""採取地質樣本！"""
story_outline_10030_02#0,"""追蹤不明人影！"""
story_outline_10040_01#0,"""找出莉莉芭族！"""
story_outline_10040_02#0,"""找出莉莉芭族！"""
story_outline_10050_01#0,"""和龍族接觸!"""
story_outline_10050_02#0,"""和龍族接觸!"""
story_outline_10060_01#0,"""探索至最深區域！"""
story_outline_10060_02#0,"""一面保護莉莉芭族一面前進！"""
story_outline_10070_01#0,"""探索浮游大陸！"""
story_outline_10070_02#0,"""去見等你的人！"""
story_outline_10080#0,"""殲滅入侵的黑暗種！"""
story_outline_10080_02#0,"""前往居住地區！"""
story_outline_10090_01#0,"""探尋遺跡的祕密!"""
story_outline_10090_02#0,"""探尋遺跡的祕密!"""
story_outline_10090_03#0,"""探尋遺跡的祕密!"""
story_outline_10090_04#0,"""盡全力改變歷史吧！"""
story_outline_10100_01#0,"""捕捉哈德烈!"""
story_outline_10100_02#0,"""捕捉哈德烈!"""
story_outline_10110_01#0,"""和在内部的庫娜會合！"""
story_outline_10120#0,"""賺取積分點數！"""
story_outline_10130_01#0,"""尋找奇布拉岡的同伴！"""
story_outline_10130_02#0,"""與提歐德爾一起往内部前進！"""
story_outline_10140_01#0,"""尋找洛・卡密茲！"""
story_outline_10140_02#0,"""與莎拉一起前進！"""
story_outline_10150_01#0,"""去護衛採掘場遺跡吧"""
story_outline_10150_02#0,"""和亞方一同去探索吧"""
story_outline_10160_01#0,"""去調査海底建築吧！"""
story_outline_10160_02#0,"""去調査海底建築吧！"""
story_outline_10170_01#0,"""和梅爾馮希娜一起向最深處前進！"""
story_outline_10180_01#0,"""快找錫安！"""
story_outline_10175_01#0,"""快找在最深處孤軍奮戰的她！"""
freefield_outline_20010#0,"""朝最深處前進！"""
freefield_outline_20020#0,"""朝最深處前進！"""
freefield_outline_20030#0,"""朝最深處前進！"""
freefield_outline_20040#0,"""朝最深處前進！"""
freefield_outline_20050#0,"""朝最深處前進！"""
freefield_outline_20060#0,"""朝最深處前進！"""
freefield_outline_20070#0,"""朝最深處前進！"""
freefield_outline_20080#0,"""朝最深處前進！"""
freefield_outline_20090#0,"""朝最深處前進！"""
freefield_outline_20100#0,"""朝最深處前進！"""
freefield_outline_20110#0,"""朝最深處前進！"""
arks_outline_30010#0,"""討伐紅猿猴!"""
arks_outline_30015#0,"""討伐紅野狼!"""
arks_outline_30020#0,"""捕獲大嘴拉比!"""
arks_outline_30030#0,"""クエストポイントをためろ！"""
arks_outline_30040#0,"""討伐牙之暴君男巫！"""
arks_outline_30050#0,"""クエストポイントをためろ！"""
arks_outline_30060#0,"""殲滅黑暗背甲蟲！"""
arks_outline_30070#0,"""討伐磁穿龍！"""
arks_outline_30080#0,"""クエストポイントをためろ！"""
arks_outline_30090#0,"""回收稀有礦物！"""
arks_outline_30100#0,"""發掘礦石！"""
arks_outline_30110#0,"""クエストポイントをためろ！"""
arks_outline_30120#0,"""搜索失去連絡的ARKS！"""
arks_outline_30130#0,"""鎮壓巨型猛瑪象！"""
arks_outline_30140#0,"""クエストポイントをためろ！"""
arks_outline_30150#0,"""救出求援者！"""
arks_outline_30160#0,"""撃破變形機甲曼沙！"""
arks_outline_30170#0,"""クエストポイントをためろ！"""
arks_outline_30180#0,"""回收特殊礦物！"""
arks_outline_30190#0,"""討伐藍磁穿龍！"""
arks_outline_30200#0,"""クエストポイントをためろ！"""
arks_outline_30210#0,"""破壞黑暗汚染球！！"""
arks_outline_30220#0,"""殲滅黑暗力士！"""
arks_outline_30230#0,"""クエストポイントをためろ！"""
arks_outline_30240#0,"""討伐龍族戰騎・索魯"""
arks_outline_30250#0,"""鎮壓磁喚龍！"""
arks_outline_30260#0,"""クエストポイントをためろ！"""
arks_outline_30270#0,"""驅除最深處的砲仙花！"""
arks_outline_30280#0,"""討伐狂浪獸！"""
arks_outline_30290#0,"""クエストポイントをためろ！"""
arks_outline_30300#0,"""守護最深處的村落！"""
arks_outline_30310#0,"""討伐旺達索瑪！"""
arks_outline_30320#0,"""クエストポイントをためろ！"""
arks_outline_30330#0,"""救援沃帕爾原生住民！"""
arks_outline_30340#0,"""討伐圖騰鳥・瑪利達！"""
time_outline_40010#0,"""朝最深處前進！"""
time_outline_40020#0,"""朝最深處前進！"""
time_outline_40030#0,"""朝最深處前進！"""
time_outline_40040#0,"""朝最深處前進！"""
time_outline_40050#0,"""朝最深處前進！"""
time_outline_40060#0,"""朝最深處前進！"""
urgency_outline_50010#0,"""クエストポイントをためろ！"""
urgency_outline_50020#0,"""クエストポイントをためろ！"""
urgency_outline_50030#0,"""朝最深處前進！"""
urgency_outline_50035#0,"""朝最深處前進！"""
urgency_outline_50040#0,"""撃破大型戰艦旺達！"""
urgency_outline_50050#0,"""在時間結束前盡量撃退敵人！"""
urgency_outline_50060#0,"""找出娜烏拉的蛋糕店！"""
urgency_outline_50070#0,"""在時間結束前盡量撃退敵人！"""
urgency_outline_50080#0,"""撃退法爾斯之腕"""
urgency_outline_50090#0,"""撃破黑暗法爾斯・愛爾達"""
urgency_outline_50100#0,"""找出娜烏拉的蛋糕店！"""
urgency_outline_50110#0,"""獲得情人節Pt！"""
urgency_outline_50120#0,"""獲得白色情人節Pt！"""
urgency_outline_50130#0,"""朝最深處前進！"""
urgency_outline_50140#0,"""朝最深處前進！"""
urgency_outline_50160#0,"""クエストポイントをためろ！"""
escape_outline_030010#0,"""朝回收地點前進！"""
escape_outline_030020#0,"""朝回收地點前進！"""
tgs2012vita_outline_00000#0,"""打倒磁炎龍！"""
tgs2013_outline_00000#0,"""朝最深處前進！"""
cost_outline_010010#0,"""朝最深處前進！"""
cost_outline_020010#0,"""朝最深處前進！"""
cost_outline_030010#0,"""朝最深處前進！"""
cost_outline_040010#0,"""朝最深處前進！"""
cost_outline_050010#0,"""朝最深處前進！"""
cost_outline_060010#0,"""朝最深處前進！"""
cost_outline_070010#0,"""朝最深處前進！"""
cost_outline_080010#0,"""朝最深處前進！"""
cost_outline_090010#0,"""朝最深處前進！"""
cost_outline_100010#0,"""朝最深處前進！"""
cost_outline_110010#0,"""朝最深處前進！"""
cost_outline_120010#0,"""朝最深處前進！"""
event_outline_80010#0,"""朝最深處前進！"""
event_outline_80020#0,"""朝最深處前進！"""
event_outline_80030#0,"""撃破黑暗法爾斯・愛爾達"""
event_outline_80040#0,"""クエストポイントをためろ！"""
event_outline_80060#0,"""クエストポイントをためろ！"""
event_outline_80070#0,"""朝最深處前進！"""
event_outline_80080#0,"""エネミーを100体倒せ！"""
event_outline_80100#0,"""クエストポイントをためろ！"""
event_outline_80110#0,"""クエストポイントをためろ！"""
tower_outline_90010#0,"""稱霸5個舞台吧！"""
tower_outline_90020#0,"""稱霸5個舞台吧！"""
tower_outline_90030#0,"""稱霸5個舞台吧！"""
defense_outline_010010#0,"""防衛採掘基地！"""
defense_outline_010030#0,"""防衛採掘基地！"""
urgency_outline_100010#0,"""獲得海灘Pt！"""
urgency_outline_100015#0,"""獲得海灘Pt！"""
urgency_outline_060020#0,"""撃破謎樣敵方機械敵人"""
urgency_outline_50210#0,"""找出娜烏拉的蛋糕店！"""
urgency_outline_50200#0,"""朝最深處前進！"""
urgency_outline_50220#0,"""找出娜烏拉的蛋糕店！"""
urgency_outline_50230#0,"""クエストポイントをためろ！"""
urgency_outline_50240#0,"""獲得情人節Pt！"""
urgency_outline_50250#0,"""獲得白色情人節Pt！"""
urgency_outline_50260#0,"""起動開關，殲滅敵人"""
urgency_outline_50270#0,"""打倒阿波斯・朵莉歐斯！"""
urgency_outline_50280#0,"""ダークファルス・ルーサーの撃破"""
urgency_outline_50290#0,"""ダークファルス・ルーサーの撃破"""
urgency_outline_50300#0,"""クエストポイントをためろ！"""
urgency_outline_50310#0,"""朝最深處前進！"""
urgency_outline_100020#0,"""獲得海灘Pt！"""
story_outline_10190_01#0,"""去找事代！"""
story_outline_10200_01#0,"""調查浮上施設！"""
story_outline_10210_01#0,"""前往封印之地！"""
story_outline_10220_01#0,"""搜索【若人】！"""
story_outline_10230#0,"""從【双子】內的宇宙中逃出！"""
story_outline_10240_01#0,"""目標是【双子】的本質！"""
story_outline_10250_01#0,"""【仮面】との決着をつけろ！"""
story_outline_10250_02#0,"""擊敗瑪托依！"""
story_outline_10250_03#0,"""マトイの元に向かえ！"""
story_outline_10270_01#0,"""壊世区域を調査せよ！"""
story_outline_10280_01#0,"""ヒツギと行動をともにせよ！"""
story_outline_10290_01#0,"""ハギトの軍勢を撃退せよ！"""
story_outline_10300_01#0,"""ヒツギと共に状況を打開せよ！"""
story_outline_10310_01#0,"""迅速に幻創種を撃破せよ！"""
story_outline_10320_01#0,"""ベトールを止めろ！"""
story_outline_10330_01#0,"""魔人・ファレグを撃退せよ！"""
story_outline_10330_02#0,"""全ての幻創種を殲滅しろ！"""
story_outline_10340#0,"""行く手を阻む幻創種を撃破せよ！"""
story_outline_10350_99#0,"""魔人・ファレグを撃退せよ！"""
story_outline_10350_01#0,"""捕らわれたヒツギを救出せよ！"""
story_outline_10350_02#0,"""侵入した外敵を撃退せよ！"""
story_outline_10380_99#0,"""ダーカーのような幻創種を倒せ！"""
story_outline_10390_99#0,"""ヒツギたちと共に学校を守れ！"""
