Accessories_Name1#0,"""เครื่องประดับ 1"""
Accessories_Name2#0,"""เครื่องประดับ 2"""
Accessories_Name3#0,"""เครื่องประดับ 3"""
Accessories_Name4#0,"""เครื่องประดับ 4"""
Accessories_FormTitle#0,"""เครื่องประดับ"""
List_FormTitle#0,"""รายการเครื่องประดับ"""
NoAccessoriesMessage#0,"""ไม่มีเครื่องประดับ"""
Remove#0,"""ถอดออก"""
AccessoryTab_All#0,"""เครื่องประดับทั้งหมด"""
AccessoryTab_Hat#0,"""ศีรษะ"""
AccessoryTab_Glasses#0,"""ศีรษะ"""
AccessoryTab_HeadAll#0,"""ศีรษะ"""
AccessoryTab_Other#0,"""อื่นๆ"""
AccessoryTab_Favorite#0,"""รายการโปรด"""
Fashion_Title#0,"""แก้ไขแฟชั่น"""
Fashion_Title2#0,"""ข้อมูลแฟชั่น"""
Fashion_HairStyle#0,"""ทรงผม"""
Fashion_HeadParts#0,"""ชิ้นส่วนส่วนหัว"""
Fashion_BodyPaint#0,"""เลือก Body Paint"""
Fashion_Costume#0,"""คอสตูม"""
Fashion_Body#0,"""ชิ้นส่วนลำตัว"""
Fashion_Arm#0,"""ชิ้นส่วนส่วนแขน"""
Fashion_Leg#0,"""ชิ้นส่วนส่วนขา"""
Fashion_BaseWear#0,"""เลือก Basewear"""
Fashion_InnerWear#0,"""เลือก Innerwear"""
Fashion_OuterWear#0,"""เลือก Outerwear"""
Fashion_Acc#0,"""สวมใส่เครื่องประดับ"""
Fashion_PaintPriority#0,"""เปลี่ยนลำดับ Body Paint"""
Fashion_SwordPosition#0,"""ตำแหน่งเก็บอาวุธ"""
Fashion_MoveMotion#0,"""ประเภท Motion"""
Fashion_MyFashion#0,"""My Fashion"""
Item_Motion_Leg#0,"""เดิน"""
Item_Motion_Hover#0,"""Hover"""
info_title_Hair#0,"""ทรงผม/ชิ้นส่วนส่วนหัว"""
info_title_Body#0,"""Body Paint"""
info_title_Costume#0,"""คอสตูม"""
info_title_Parts#0,"""ชิ้นส่วน"""
info_title_Layer#0,"""Layering Wear"""
info_title_Acc#0,"""เครื่องประดับ"""
info_title_Face#0,"""ใบหน้า"""
info_title_Make#0,"""เมคอัพ"""
info_title_Sticker#0,"""สติกเกอร์"""
info_Hair#0,"""ศีรษะ"""
info_Body#0,"""ลำตัว"""
info_Arm#0,"""แขน"""
info_Leg#0,"""ขา"""
info_Costume#0,"""คอสตูม"""
info_Outer#0,"""Outer"""
info_Base#0,"""Base"""
info_Inner#0,"""Inner"""
