MesetaDenomination#0,"""<pict reb_meseta> Meseta"""
AcDenomination#0,"""AC"""
CpDenomination#0,"""CP"""
FunDenomination#0,"""FUN"""
StarDenomination#0,"""Stars"""
CcDenomination#0,"""CC"""
CmDenomination#0,"""CM"""
SgDenomination#0,"""SG"""
BcDenomination#0,"""BC"""
SpDenomination#0,"""SP"""
Cash#0,"""ที่มีอยู่"""
CashMeseta#0,"""Meseta ปัจจุบัน"""
CashAc#0,"""AC ปัจจุบัน"""
CashCp#0,"""CP ปัจจุบัน"""
CashFun#0,"""FUN ปัจจุบัน"""
CashStar#0,"""Stars ปัจจุบัน"""
CashCc#0,"""CC ปัจจุบัน"""
CashCm#0,"""CM ปัจจุบัน"""
CashSg#0,"""SG ปัจจุบัน"""
CashBc#0,"""BC ปัจจุบัน"""
CashSp#0,"""SP ปัจจุบัน"""
CashDenomi#0,"""$(0) ปัจจุบัน"""
TotalAmount#0,"""ทั้งหมด"""
TotalMeseta#0,"""Meseta ทั้งหมด"""
TotalAc#0,"""AC ทั้งหมด"""
TotalCp#0,"""CP ทั้งหมด"""
TotalFun#0,"""FUN ทั้งหมด"""
TotalStar#0,"""Stars ทั้งหมด"""
TotalCc#0,"""CC ทั้งหมด"""
TotalCm#0,"""CM ทั้งหมด"""
TotalSg#0,"""SG ทั้งหมด"""
TotalBc#0,"""BC ทั้งหมด"""
TotalSp#0,"""SP ทั้งหมด"""
TotalDenomi#0,"""$(0) ทั้งหมด"""
InputBuyNumberTitle_Vita#0,"""ซื้อ"""
InputSellNumberTitle_Vita#0,"""ขาย"""
StockNumber_Vita#0,"""ชิ้นละ $(0)"""
InsufficientCash#0,"""$(0) ไม่เพียงพอ"""
BuyDayLimitOver#0,"""ไอเทมไม่พร้อมจำหน่าย"""
ExchangeDayLimitOver#0,"""ไอเทมไม่พร้อมแลกเปลี่ยน"""
BuyNumLimitOver#0,"""คุณกำลังพยายามซื้อเกินจำนวนสูงสุดที่กำหนด"""
ExchangeNumLimitOver#0,"""คุณกำลังพยายามแลกเปลี่ยนเกินจำนวนสูงสุดที่กำหนด"""
ItemBuyDBAccessError#0,"""ไม่สามารถดำเนินการซื้อได้<br>เนื่องจากขณะนี้ server ทำงานหนักเกินไป"""
ItemChangeDBAccessError#0,"""ไม่สามารถดำเนินการแลกเปลี่ยนได้<br>เนื่องจากขณะนี้ server ทำงานหนักเกินไป"""
ShopTitle#0,"""Treasure Shop"""
ShopTitle_N_SG#0,"""Treasure Shop<pict StarGem>"""
ShopTitle_N_Meseta#0,"""Treasure Shop<pict reb_meseta>"""
