TopMenu_Title#0,"""สกิล M.A.R.S."""
TopMenu_GetSkill#0,"""แลกเปลี่ยนแต้มสกิล M.A.R.S."""
TopMenu_Distribution#0,"""เรียนรู้สกิล M.A.R.S."""
TopMenu_Explanation#0,"""เรียนรู้สกิล M.A.R.S. หรือแลกเปลี่ยนไอเทมเป็นแต้มสกิล"""
Explanation1#0,"""คุณสามารถแลกเปลี่ยนไอเทมที่กำหนดเพื่อรับแต้มสกิล M.A.R.S. ได้"""
Title_ModuleSkillSet#0,"""เรียนรู้สกิล M.A.R.S."""
ModuleSkillList#0,"""รายการสกิล $(0)"""
HavePointLabel#0,"""แต้มสกิล M.A.R.S."""
GetPointMessage#0,"""คุณกำลังแลกเปลี่ยนไอเทมที่กำหนดเพื่อรับแต้มสกิล M.A.R.S.<br><br><yellow>※จำนวนไอเทมที่ต้องการจะเปลี่ยนไปตามแต้มสกิล M.A.R.S. รวมที่คุณมี<br>\u3000แต้มสกิล M.A.R.S. จะมอบให้กับตัวละครทั้งหมดในบัญชีของคุณ<c>"""
GetPointLabel#0,"""รับแต้มสกิล M.A.R.S."""
GetPoint_Yes#0,"""ตกลง"""
GetPoint_No#0,"""ยกเลิก"""
Medium_Title1#0,"""แต้มเป้าหมาย"""
Medium_Title2#0,"""ก่อน"""
Medium_Title3#0,"""หลัง"""
Medium_Title4#0,"""ไอเทมที่ใช้"""
Medium_Title5#0,"""ต้องการ"""
GetPoint_ToastMessage#0,"""ได้รับแต้มสกิล M.A.R.S. แล้ว"""
GetPoint_ToastMessage2#0,"""คุณไม่สามารถรับแต้มสกิล M.A.R.S. ได้อีกแล้ว"""
Title_ModuleSkillSet#1,"""รายการสกิล M.A.R.S."""
Explanation1#1,"""ที่นี่คุณสามารถปลดล็อกสกิลได้โดยใช้แต้มสกิล M.A.R.S."""
Popup_SkillCheck#0,"""ยืนยันผังสกิล"""
Popup_Use#0,"""ใช้ผังสกิล"""
Popup_Help#0,"""แสดงวิธีใช้"""
Title_ModuleSkillTree#0,"""M.A.R.S. (เซ็ต<pict 4space>$(0))"""
Combo_All#0,"""แสดงทั้งหมด"""
Combo_Common#0,"""สกิลทั่วไปของอุปกรณ์ทั้งหมด"""
Combo_Sword#0,"""VA-1SRM Garmr"""
Combo_Scythe#0,"""VA-2MRM Nidhoggr"""
Combo_Railgun#0,"""VA-3LRM Hydra"""
Combo_Broom#0,"""VA-4XRM Scylla"""
Combo_Sub#0,"""ประเภท SA"""
Label_HaveSkillPoint#0,"""แต้มสกิล M.A.R.S. ของคุณ"""
DecideText#0,"""ตกลง"""
CancelText#0,"""ยกเลิก"""
SkillPointText#0,"""$(0) / $(1)"""
Title_SkillAcquisition#0,"""แต้มสกิล"""
Message_SkillAcquisition#0,"""คุณแน่ใจหรือไม่ว่าต้องการจัดสรรแต้มสกิลเหล่านี้?"""
Message_SkillAcquisitionCancel#0,"""คุณแน่ใจหรือไม่ว่าต้องการละทิ้งการเปลี่ยนแปลง?"""
Message_SkillAcquisitionLack#0,"""แต้มสกิลไม่เพียงพอ"""
SkillPoint_ToastMessage#0,"""จัดสรรแต้มสกิล M.A.R.S. เสร็จสิ้น"""
Sword#0,"""VA-1SRM Garmr"""
Scythe#0,"""VA-2MRM Nidhoggr"""
Railgun#0,"""VA-3LRM Hydra"""
Broom#0,"""VA-4XRM Scylla"""
Sub_HMT#0,"""SA-1HMP Fenrir"""
Sub_HDT#0,"""SA-2HDP Fafnir"""
Sub_AET#0,"""SA-3HFP Lindwyrm"""
Skillcommon#0,"""สกิลทั่วไปของอุปกรณ์ทั้งหมด"""
