tut_006207#0,"""治療光晶"""
tut_006208#0,"""快捷列"""
tut_006213#0,"""鎖定／切換鎖定"""
tut_006219#0,"""普通攻擊造成的PP回復"""
tut_006221#0,"""道具箱"""
tut_006222#0,"""道具背包"""
tut_006223#0,"""防具裝備"""
tut_006225#0,"""弱點屬性"""
tut_006226#0,"""弱點部位"""
tut_006229#0,"""E標記"""
tut_006230#0,"""多人遊玩"""
tut_006231#0,"""繭"""
tut_006232#0,"""蹬墻跳"""
tut_006233#0,"""自定義快捷列"""
tut_006234#0,"""光子爆發"""
tut_006235#0,"""天賦點數"""
tut_006236#0,"""職業櫃檯"""
tut_006237#0,"""天賦樹"""
tut_006238#0,"""重置天賦"""
tut_006239#0,"""獵人(Hu)"""
tut_006240#0,"""遊俠(Ra)"""
tut_006241#0,"""法師(Fo)"""
tut_006242#0,"""鬥士(Fi)"""
tut_006243#0,"""鷹眼(Gu)"""
tut_006244#0,"""元素使(Te)"""
tut_006245#0,"""ARKS貨幣與AC商店"""
tut_006246#0,"""星鑽與SG商店"""
tut_006247#0,"""滑步反擊"""
tut_006248#0,"""大劍"""
tut_006249#0,"""長槍"""
tut_006250#0,"""自在槍"""
tut_006251#0,"""步槍"""
tut_006252#0,"""大炮"""
tut_006253#0,"""長杖"""
tut_006254#0,"""導具"""
tut_006255#0,"""鋼拳"""
tut_006256#0,"""雙頭劍"""
tut_006257#0,"""雙小劍"""
tut_006258#0,"""雙機槍"""
tut_006259#0,"""短杖"""
tut_006261#0,"""倉庫"""
tut_006262#0,"""與『PSO2』的共有要素"""
tut_006263#0,"""武器裝備"""
tut_006264#0,"""切換武器快捷列"""
tut_006265#0,"""切換快捷列"""
tut_006266#0,"""主線委託"""
tut_006267#0,"""支線委託"""
tut_006268#0,"""傳送信標"""
tut_006269#0,"""傳送"""
tut_006270#0,"""世界地圖"""
tut_006271#0,"""探索區域"""
tut_006272#0,"""採集"""
tut_006273#0,"""親馴種(TAMES)"""
tut_006274#0,"""便捷食物"""
tut_006275#0,"""區域情報"""
tut_006276#0,"""快速菜單"""
tut_006277#0,"""自定義武器快捷列"""
tut_006278#0,"""武器與防具的強化"""
tut_006280#0,"""戰鬥力・1"""
tut_006281#0,"""每日／每週委託"""
tut_006283#0,"""委託的向導信息"""
tut_006284#0,"""通行證"""
tut_006285#0,"""隊伍"""
tut_006287#0,"""復活光晶"""
tut_006288#0,"""ARKS名片"""
tut_006289#0,"""表情"""
tut_006290#0,"""聊天"""
tut_006291#0,"""大廳動作"""
tut_006294#0,"""數值"""
tut_006295#0,"""無法戰鬥狀態菜單"""
tut_006296#0,"""試煉"""
tut_006297#0,"""天氣"""
tut_006299#0,"""美容院"""
tut_006300#0,"""任務臨時倉庫"""
tut_006301#0,"""掉落臨時倉庫"""
tut_006302#0,"""線路移動"""
tut_006304#0,"""變更行動方式"""
tut_006305#0,"""好友列表"""
tut_006306#0,"""快捷訊息"""
tut_006307#0,"""自動訊息"""
tut_006308#0,"""ARKS檢索"""
tut_006309#0,"""群組聊天"""
tut_006310#0,"""塗鴉"""
tut_006311#0,"""操作設置"""
tut_006312#0,"""放棄任務"""
tut_006313#0,"""增益道具"""
tut_006314#0,"""裝扮票券"""
tut_006315#0,"""瑪古"""
tut_006316#0,"""預設能力"""
tut_006318#0,"""轉蛋"""
tut_006319#0,"""道具交換商店"""
tut_006320#0,"""稱號"""
tut_006321#0,"""戰鬥區域"""
tut_006322#0,"""副職業"""
tut_006324#0,"""PSE／PSE爆發"""
tut_006325#0,"""稀有型敵人"""
tut_006326#0,"""追加特殊能力"""
tut_006329#0,"""解放潛在能力"""
tut_006330#0,"""界限突破"""
tut_006331#0,"""地區瑪古"""
tut_006336#0,"""無人機"""
tut_006337#0,"""塔"""
tut_006338#0,"""增強型敵人"""
tut_006339#0,"""複合武器"""
tut_006340#0,"""擬戰設施：黃"""
tut_006341#0,"""世界試煉"""
tut_006342#0,"""緊急任務"""
tut_006343#0,"""絕巨體"""
tut_006344#0,"""受保護的道具箱"""
tut_006350#0,"""物理倒地／属性倒地"""
tut_006351#0,"""擬戰設施：紫"""
tut_006352#0,"""天氣造成的敵人強化"""
tut_006353#0,"""昼夜易形"""
tut_006354#0,"""BOSS型敵人"""
tut_006356#0,"""法術"""
tut_006357#0,"""PA（光子技能）"""
tut_006358#0,"""移動動作的操作"""
tut_006359#0,"""攻撃動作的操作"""
tut_006360#0,"""地區"""
tut_006361#0,"""集結點掃蕩"""
tut_006362#0,"""DOLLS管制機試煉"""
tut_006363#0,"""提議立刻開始任務"""
tut_006364#0,"""倒地槽"""
tut_006365#0,"""匹配"""
tut_006366#0,"""接受緊急任務"""
tut_006367#0,"""訊息清單"""
tut_006368#0,"""上升器"""
tut_006369#0,"""主動聲納"""
tut_006370#0,"""敵人討伐試煉"""
tut_006371#0,"""星辰贈禮試煉"""
tut_006372#0,"""防衛試煉"""
tut_006378#0,"""設置匹配密碼"""
tut_006379#0,"""個人商店"""
tut_006390#0,"""*DOLLS"""
tut_006397#0,"""職業技能"""
tut_006398#0,"""戰鬥力的提升方法・１"""
tut_006399#0,"""簡單操作"""
tut_006403#0,"""兇惡型敵人"""
tut_006404#0,"""高級別區域"""
tut_006405#0,"""星辰恩賜回收作戰"""
tut_006408#0,"""戰鬥力的提升方法・２"""
tut_006409#0,"""戰鬥力的提升方法・３"""
tut_006411#0,"""資源開採鑽機防衛戰"""
tut_006412#0,"""遞送裝置"""
tut_006413#0,"""DOLLS兵器"""
tut_006414#0,"""拾集光晶"""
tut_006415#0,"""資源開採鑽機的機能"""
tut_006416#0,"""突發事件(SUDDEN INCIDENT)"""
tut_006418#0,"""機動加農炮"""
tut_006419#0,"""建議"""
tut_006421#0,"""武士(Br)"""
tut_006422#0,"""拔劍"""
tut_006423#0,"""強弓"""
tut_006431#0,"""凌客(Bo)"""
tut_006432#0,"""魔裝腳"""
tut_006433#0,"""飛翔劍"""
tut_006434#0,"""異變種(ALTERS)"""
tut_006435#0,"""昔生種(FORMERS)"""
tut_006451#0,"""受身"""
tut_006452#0,"""拉比"""
tut_006453#0,"""N-肝塊"""
tut_006454#0,"""莉亞梅的支線委託"""
tut_006455#0,"""設置房間密碼／攝影專用房間"""
tut_006456#0,"""暴風域敵人討伐試煉"""
tut_006457#0,"""破壞招妖匣試煉"""
tut_006463#0,"""VIP服務"""
tut_006465#0,"""異色武器"""
tut_006466#0,"""瑪古的顏色設置"""
tut_006467#0,"""蘿娜爾汀的委託"""
tut_006468#0,"""異常狀態"""
tut_006472#0,"""自定義快速菜單"""
tut_006474#0,"""隊員招募"""
tut_006476#0,"""戰鬥力・２"""
tut_006477#0,"""戰鬥力的提升方法・４"""
tut_006478#0,"""戰鬥力的提升方法・５"""
tut_006479#0,"""瑪古點唱機"""
tut_006480#0,"""藍色傳送陣：變化型"""
tut_006483#0,"""攝影專用房間"""
tut_006484#0,"""膠囊仔"""
tut_006485#0,"""調衡型敵人"""
tut_006486#0,"""聖三一塔"""
tut_006487#0,"""挑戰設置"""
tut_006491#0,"""複合屬性法術"""
tut_006492#0,"""銳巨體"""
unknown#0,"""不明"""
player_move#0,"""角色的動作／操作"""
base_system#0,"""其他／便捷功能"""
equip_wepon_type#0,"""武器的種類"""
battle#0,"""戰鬥的基本操作"""
skill_class#0,"""職業技能"""
adventure#0,"""冒險"""
quest_basic#0,"""探索區域／戰鬥區域"""
urgency#0,"""緊急任務"""
communication#0,"""交流"""
enemy#0,"""敵人"""
datanum#0,"""$(0)"""
task#0,"""委託／通行證"""
palettes#0,"""武器快捷列／快捷列"""
battle_power#0,"""戰鬥力"""
class#0,"""職業"""
trial#0,"""試煉"""
urgency_defence#0,"""資源開採鑽機防衛戰"""
item_shop#0,"""道具／商店"""
weapons_enhancement#0,"""強化裝備"""
limited_time_event#0,"""期間限定活動"""
world_trial#0,"""世界試煉"""
