BoxGacha_Top_Title#0,"""Reward Box"""
BoxGacha_Top_Step#0,"""Step $(0) (In Progress)"""
BoxGacha_Top_Step2#0,"""Step $(0)"""
BoxGacha_Top_Step3#0,"""Step $(0) (Loop)"""
BoxGacha_Top_Step4#0,"""Step $(0) (In Progress/Loop)"""
BoxGacha_Top_RestGift#0,"""Remaining Item(s)"""
BoxGacha_Top_RestGift_Num#0,"""$(0)/$(1)"""
BoxGacha_Top_SeasonName#0,"""$(0)"""
BoxGacha_Top_Ticket_Name#0,"""$(0)"""
BoxGacha_Top_Tickets_Num#0,"""$(0)"""
BoxGacha_Top_Period#0,"""Duration"""
BoxGacha_Top_Lots_Draw#0,"""$(0) pulls<br>Required Sheets: $(1)"""
BoxGacha_Top_ItemStuckNum#0,"""x$(0)"""
BoxGacha_Top_Confirm_Title1#0,"""Message"""
BoxGacha_Top_Confirm_Detail#0,"""Consume $(1) Medal(s) to acquire “$(0)” item(s)?"""
BoxGacha_Top_Confirm_Decide#0,"""Yes"""
BoxGacha_Top_Confirm_Cancel#0,"""No"""
BoxGacha_Top_AllComplete#0,"""All Items Acquired"""
BoxGacha_Result_Title#0,"""Item(s) Acquired"""
BoxGacha_Result_Detail#0,"""Obtained the following item(s):"""
BoxGacha_Result_End#0,"""Close"""
BoxGacha_Guide#0,"""Accept:<%Decide>\u3000\u3000Cancel:<%Cancel>\u3000\u3000Swap Selection:<%NextWidget>"""
BoxGacha_Notice1#0,"""All items have been acquired. Proceed to Step $(0)."""
BoxGacha_Notice2#0,"""All items have been acquired. You may try the current step again without advancing."""
BoxGacha_Notice3#0,"""All rewards in the current box have been acquired."""
Title#0,"""Message"""
EmergencyStopClose#0,"""The selected function is currently experiencing issues & thus not available. Please check the players website for more information."""
MatchingClose#0,"""Cannot be used while Matching queue is in progress."""
OtherErrorClose#0,"""An unexpected error has occurred."""
NoTicket#0,"""対象メダルが不足しています。<br>対象メダルを、<br>アイテムパックに入れた状態で実行してください。"""
NotEnoughTicket#0,"""対象メダルが不足しています。<br>対象メダルを、<br>アイテムパックに入れた状態で実行してください。"""
NoSpaceInWarehouse#0,"""リワードボックスを引くための<br>倉庫の空き容量が不足しています。"""
NotEnoughSpaceInWarehouse#0,"""リワードボックスを引くための<br>倉庫の空き容量が不足しています。"""
OutOfStock#0,"""このステップの報酬は、すべて獲得済みです。"""
NotEnoughStock#0,"""指定したメダル数よりも、残りアイテム数が少ない状態です。"""
Matching#0,"""You cannot use this while Matching queue is in progress."""
OtherError#0,"""An unexpected error has occurred."""
UseItem#0,"""Item could not be used."""
UnexpetedClose#0,"""An unexpected error has occurred."""
