Category_All#0,"""全部"""
Category_Head#0,"""頭部"""
Category_Face#0,"""面部"""
Category_Body#0,"""身體"""
Category_Arm_Right#0,"""右臂"""
Category_Arm_Left#0,"""左臂"""
Category_Waist#0,"""腰"""
Category_Leg_Right#0,"""右脚"""
Category_Leg_Left#0,"""左脚"""
Category_Finger#0,"""指"""
Default#0,"""默認"""
HeadTop#0,"""頭頂"""
EyesRoot#0,"""眉間"""
NoseBridge#0,"""鼻柱"""
JawUpper#0,"""上顎"""
JawLower#0,"""下顎"""
RightEar#0,"""右耳"""
LeftEar#0,"""左耳"""
HeadofHead#0,"""後腦勺"""
Neck#0,"""頸部"""
NeckRoot#0,"""頸根"""
Right_Breast#0,"""右胸"""
Center_Breast#0,"""胸中央"""
Left_Breast#0,"""左胸"""
Spine1#0,"""背骨1"""
Spine2#0,"""背骨2"""
Waist#0,"""腰"""
Crotch#0,"""大腿"""
Left_Clavicle#0,"""左鎖骨"""
Left_UpperArm1#0,"""左上臂1"""
Left_UpperArm2#0,"""左上臂2"""
Left_ForeArm1#0,"""左前臂1"""
Left_ForeArm2#0,"""左前臂2"""
Left_Hand#0,"""左手"""
Right_Clavicle#0,"""右鎖骨"""
Right_UpperArm1#0,"""右上臂1"""
Right_UpperArm2#0,"""右上臂2"""
Right_ForeArm1#0,"""右前臂1"""
Right_ForeArm2#0,"""右前臂2"""
Right_Hand#0,"""右手"""
Left_Thigh1#0,"""左腿1"""
Left_Thigh2#0,"""左腿2"""
Left_Knee#0,"""左膝"""
Left_Ankle#0,"""左足首"""
Right_Thigh1#0,"""右腿1"""
Right_Thigh2#0,"""右腿2"""
Right_Knee#0,"""右膝"""
Right_Ankle#0,"""右足首"""
Left_Thumb1#0,"""左大拇指1"""
Left_Thumb2#0,"""左大拇指2"""
Left_FirstFinger1#0,"""左食指1"""
Left_FirstFinger2#0,"""左食指2"""
Left_FirstFinger3#0,"""左食指3"""
Left_SecondFinger1#0,"""左中指1"""
Left_SecondFinger2#0,"""左中指2"""
Left_SecondFinger3#0,"""左中指3"""
Left_ThirdFinger1#0,"""左無名指1"""
Left_ThirdFinger2#0,"""左無名指2"""
Left_ThirdFinger3#0,"""左無名指3"""
Left_ForthFinger1#0,"""左小指1"""
Left_ForthFinger2#0,"""左小指2"""
Left_ForthFinger3#0,"""左小指3"""
Right_Thumb1#0,"""右大拇指1"""
Right_Thumb2#0,"""右大拇指2"""
Right_FirstFinger1#0,"""右食指1"""
Right_FirstFinger2#0,"""右食指2"""
Right_FirstFinger3#0,"""右食指3"""
Right_SecondFinger1#0,"""右中指1"""
Right_SecondFinger2#0,"""右中指2"""
Right_SecondFinger3#0,"""右中指3"""
Right_ThirdFinger1#0,"""右無名指1"""
Right_ThirdFinger2#0,"""右無名指2"""
Right_ThirdFinger3#0,"""右無名指3"""
Right_ForthFinger1#0,"""右小指1"""
Right_ForthFinger2#0,"""右小指2"""
Right_ForthFinger3#0,"""右小指3"""
Key_DefaultColor#0,"""默認顏色"""
Key_HairColor1#0,"""顏色1"""
Key_HairColor2#0,"""顏色2"""
Key_EyeColor_Right#0,"""右瞳孔顏色"""
Key_EyeColor_Left#0,"""左瞳孔顏色"""
Key_EyebrowsColor#0,"""顏色"""
Key_EyeLashesColor#0,"""顏色"""
Key_SkinMainColor#0,"""皮膚顏色"""
Key_SkinSubColor#0,"""皮膚血色"""
Key_CostumeColor#0,"""顏色"""
Key_OuterWearColor1#0,"""顏色1"""
Key_OuterWearColor2#0,"""顏色2"""
Key_BaseWearColor1#0,"""顏色1"""
Key_BaseWearColor2#0,"""顏色2"""
Key_InnerWearColor1#0,"""顏色1"""
Key_InnerWearColor2#0,"""顏色2"""
Key_CastMainColor#0,"""主色調"""
Key_CastSubColor1#0,"""副色調1"""
Key_CastSubColor2#0,"""副色調2"""
Key_CastSubColor3#0,"""副色調3"""
Key_SetWearColor1#0,"""顏色1"""
Key_SetWearColor2#0,"""顏色2"""
Key_RestoreDefaultColor#0,"""變回默認顏色"""
Key_CostumeColorFull#0,"""服裝顔色"""
Key_OuterWearColor1Full#0,"""外套顔色1"""
Key_OuterWearColor2Full#0,"""外套顔色2"""
Key_BaseWearColor1Full#0,"""底衣顔色1"""
Key_BaseWearColor2Full#0,"""底衣顔色2"""
Key_InnerWearColor1Full#0,"""内衣顔色1"""
Key_InnerWearColor2Full#0,"""内衣顔色2"""
Key_HairColor1Full#0,"""頭髮顔色1"""
Key_HairColor2Full#0,"""頭髮顔色2"""
Key_EyebrowsColorFull#0,"""眉毛顔色"""
Key_EyeLashesColorFull#0,"""睫毛顔色"""
Key_SetWearColor1Full#0,"""設定套服顔色1"""
Key_SetWearColor2Full#0,"""設定套服顔色2"""
Title_CategoryMenu#0,"""編輯菜單"""
Operation_CategoryMenu#0,"""確定：<%Decide>　取消：<%Cancel>　變更鏡頭距離：<swguidetype CameraLength>　鏡頭旋轉：<swguidetype CameraTurn>　鏡頭上下移動：<swguidetype CameraUpDown>"""
Key_Category_Preset#0,"""管理角色創建數據"""
Help_Category_Preset#0,"""可以保存或載入角色創建數據。"""
Key_Category_Face#0,"""頭部編輯"""
Help_Category_Face#0,"""可以進行髮型、睫毛等等的調整。"""
Key_Category_Body#0,"""身體編輯"""
Help_Category_Body#0,"""可以進行體型類型的變更、皮膚模式的選擇。"""
Key_Category_Fashion#0,"""編輯裝扮"""
Help_Category_Fashion#0,"""可以進行分層服裝、機器人部件、飾品等等的變更及調整。"""
Key_Category_Other#0,"""其他編輯"""
Help_Category_Other#0,"""可以進行語音、行動方式的變更。"""
Key_Category_CreateData#0,"""角色創建數據"""
Help_Category_CreateData#0,"""可以保存或載入角色創建數據。"""
Key_Category_Test#0,"""各項測試"""
Help_Category_Test#0,"""可以測試行動方式或者場景。"""
Operation_Category_Test#0,"""各種測試的幫助菜單。<%Decide>確定　<%Cancel>取消"""
Operation_EditItem#0,"""確定：<%Decide>　取消：<%Cancel>　變更鏡頭距離：<swguidetype CameraLength>　鏡頭旋轉：<swguidetype CameraTurn>　鏡頭上下移動：<swguidetype CameraUpDown>"""
