Title_Yellow#0,"""[Yellow Portal: $(0)]"""
Title_Purple#0,"""[Purple Portal: $(0)]"""
Title_Purple_Starless#0,"""[Purple Portal: Aelio EX]"""
DirectionTitle#0,"""[$(0)]"""
Battledia#0,"""Battledia"""
Title_Blue#0,"""[Blue Portal: Variable]"""
Title#0,"""Trainia Cocoon"""
DirectionTitle#1,"""[$(0)]"""
BrokenAllBarrierPod#0,"""ขณะนี้กล่องไม่มีการป้องกันแล้ว."""
LestBarrierPodNum#0,"""เหลือ Barrier Pod $(0) อัน"""
BarrierActive#0,"""ได้มีการติดตั้ง Barrier Pods รอบกล่องแล้ว"""
Title#1,"""Ryuker Device"""
DirectionTitle#2,"""[$(0)]"""
GetItem#0,"""ได้รับไอเทมจากกล่องข้อความแล้ว"""
Title#2,"""Mag ภูมิภาค"""
DirectionTitle#3,"""[$(0)]"""
Title#3,"""Trainia Tower"""
DirectionTitle#4,"""[$(0)]"""
TookThis#0,"""Photon Blast ready"""
Title#4,"""Trinitas"""
DirectionTitle#5,"""[$(0)]"""
VehicleStand_Unusable#0,"""หมดจำนวนใช้งาน"""
VehicleStand_Confirmation#0,"""สามารถใช้อาวุธพิเศษได้ครั้งเดียว.<br><br>ต้องการใช้หรือไม่"""
VehicleStand_ConfirmationCount#0,"""จำนวนอาวุธพิเศษ $(0) time(s) ต่อเควส.<br><br>ต้องการใช้หรือไม่"""
Title#5,"""Advanced Trainia"""
1310000#0,"""Cannonball Strike"""
1310010#0,"""Cannonball Rumble"""
1190000#0,"""Ordinal Tower"""
Title#6,"""Dimension Fault"""
1180380#0,"""Retem Fault"""
