Hypotension#0,"""สายตื่นเช้า"""
Night#0,"""นกฮูกกลางคืน"""
Sun#0,"""ชอบแสงแดด"""
Cloud#0,"""ชอบเมฆครึ้ม"""
EnemyLarge#0,"""ผู้บดขยี้ร่างยักษ์"""
EnemySmall#0,"""ผู้บดขยี้ร่างจิ๋ว"""
Pinch#0,"""ผู้กล้าฝ่าวิกฤต"""
Loonie#0,"""เครื่องร้อนช้า"""
Lonely#0,"""รักสันโดษ"""
DarkerKiller#0,"""ผู้กวาดล้าง Darker"""
NativeKiller#0,"""นักฆ่า Native"""
MachineKiller#0,"""นักแยกชิ้นส่วน Machine"""
DragonKiller#0,"""นักล่า Dragonkin"""
ChimeraKiller#0,"""นักฆ่า Oceanid"""
Tsundere#0,"""ซึนเดเระ"""
TitanKiller#0,"""ผู้ทำลายล้าง Titan"""
PhantomKiller#0,"""มือปราบ Phantom"""
BeastKiller#0,"""นักล่า Demon"""
CypherKiller#0,"""เล็งเป้า Luminmech"""
Brave#0,"""กล้าหาญ"""
Poser#0,"""ขี้เก๊ก"""
Shy#0,"""ขี้อาย"""
Leader#0,"""มีความเป็นผู้นำ"""
Donkey#0,"""ซุ่มซ่าม"""
Senior#0,"""รุ่นพี่"""
Sickly#0,"""ขี้โรค"""
Daredevil#0,"""บ้าบิ่น"""
Innocence#0,"""ไร้เดียงสา"""
Blonde#0,"""ทำตามอารมณ์"""
Intellectual#0,"""ผู้รอบรู้"""
MsgFriendAdd#0,"""เพิ่ม $(0) เป็นพาร์ทเนอร์แล้ว"""
MsgJoinEnable#0,"""สามารถเรียก $(0) ได้แล้ว"""
MsgJoinDisable#0,"""$(0) ไม่สามารถใช้งานได้อีกต่อไป"""
MsgErrorExsit#0,"""ผู้เล่นอื่นในเควสต์เรียก $(0) ไปแล้ว"""
MsgErrorNoExsit#0,"""$(0) กลับไปแล้ว หรือถูกผู้เล่นอื่นเรียกตัวไปแล้ว"""
MsgErrorFullParty#0,"""ไม่สามารถเชิญได้ ปาร์ตี้เต็มแล้ว"""
MsgErrorFullRoom#0,"""ไม่สามารถเชิญได้ พื้นที่เควสต์เต็มแล้ว"""
MsgErrorFullEvent#0,"""ไม่สามารถเชิญได้ ถึงขีดจำกัดแล้ว"""
MsgErrorSystem#0,"""ไม่สามารถเชิญได้ ไม่มีพาร์ทเนอร์นี้อยู่"""
MsgErrorLoadApcList#0,"""เชิญพาร์ทเนอร์ไม่สำเร็จ"""
MsgErrorRegisterFriendApc#0,"""ลงทะเบียน Friend Partner ไม่สำเร็จ"""
MsgRegisterFriendApc#0,"""ลงทะเบียน Friend Partner แล้ว"""
MsgDeleteFriendApc#0,"""ลบ Friend Partner แล้ว"""
MsgErrorDeleteFriendApc#0,"""ลบ Friend Partner ไม่สำเร็จ"""
MsgErrorNotRegisterFriendApc#0,"""ไม่ได้ลงทะเบียน Friend Partner"""
MsgErrorAddNotListed#0,"""ตรวจพบ Partner Card ที่ไม่ได้รับอนุญาตในรายชื่อพาร์ทเนอร์ของคุณ"""
Healing#0,"""ฮีลเลอร์"""
Valor#0,"""พร้อมรบ"""
Guardian#0,"""การ์เดียน"""
Meddler#0,"""เลือดร้อน"""
Savior#0,"""ผู้กอบกู้"""
FavHuman#0,"""รักเผ่า Human"""
FavCast#0,"""คลั่งไคล้เผ่า Cast"""
FavNewman#0,"""รักเผ่า Newman"""
FavDewman#0,"""รักเผ่า Dewman"""
FavMale#0,"""ชอบผู้ชาย"""
FavFemale#0,"""ชอบผู้หญิง"""
Troublemaker#0,"""ผู้เชี่ยวชาญสถานะ"""
5001#0,"""เรียกฉันได้เสมอเวลาต้องการความช่วยเหลือ!<br>นั่นแหละคือหน้าที่ของรุ่นพี่ล่ะ!"""
5002#0,"""ฉันก็เป็น ARKS เหมือนกัน<br>เพราะงั้นเรียกฉันได้ตลอดเลยนะ"""
5003#0,"""พาร์ทเนอร์! ฉันเป็นเพื่อนเธอนะ เพราะงั้นอย่า<br>ลังเลที่จะเรียกฉันล่ะ"""
5007#0,"""...ถ้าคุณต้องการให้คนอย่างฉัน<br>ช่วยเหลือ ฉันก็ยินดีให้ความร่วมมือค่ะ"""
5008#0,"""ถ้าฉันช่วยได้ล่ะก็ ยินดีเสมอ!"""
5009#0,"""ฉันสนใจแค่งานวิจัยของฉัน<br>เท่านั้นแหละ แต่ถ้าเธอเป็นคนชวน<br>ฉันก็คงปฏิเสธไม่ได้ล่ะนะ"""
5010#0,"""เอ่อ อื้ม อืม... ถ้าคุณเรียกฉันล่ะก็<br>ฉันก็คงไม่มีทางเลือก..."""
5013#0,"""นักขายข้อมูลอันดับหนึ่งของ ARKS<br>Patty กับ Tia! Patty อยู่นี่แล้ว!<br>เรียกฉันได้ทุกที่ ทุกเวลาเลยนะ!"""
5014#0,"""นักขายข้อมูลอันดับหนึ่งของ ARKS<br>Patty กับ Tia ค่ะ Tia พูดค่ะ<br>เรียกฉันได้ตลอดเวลาเลยนะคะ"""
5018#0,"""การทุ่มเทสุดตัวให้กับอะไรสักอย่างมันก็<br>ดีอยู่หรอก แต่การไม่หักโหมจนเกินไปก็สำคัญนะ<br>วันนี้เรามาลุยกันแบบสบายๆ ดีไหม?"""
5019#0,"""...เรียกฉันได้ตลอดเวลา ฉันจะแสดงให้<br>เห็นถึงพลังของ Force เอง"""
5020#0,"""เรียกฉันได้ทุกเมื่อเลย!<br>ฉันจะแสดงพลังของ Hunter ให้ดูเอง!"""
5021#0,"""หึหึหึ... ถ้าต้องการพลังของฉันล่ะก็<br>เรียกได้ตลอดเวลาเลยนะ! สมัยก่อนน่ะ<br>ฉันคือสัตว์ประหลาดบนสนามรบเลยล่ะ..."""
5022#0,"""โอ๊ะ? โอ๊ะ?<br>จะไปกันเหรอ? จะไปกับฉันเหรอ?<br>เอาสิๆ ไปด้วยได้ทุกเมื่อเลย!"""
5026#0,"""ต้องแน่ใจ แน่ใจ แน่ใจ แน่ใจ แน่ใจ เลยนะ<br>ว่าจะพาฉันไปด้วยตอนที่ถึงเวลา ฆ่า ฆ่า ฆ่า ฆ่า ฆ่า น่ะ สัญญากันแล้วใช่ม้าาาา?"""
5054#0,"""ฉัน Joseph ครูฝึกทักษะการต่อสู้เอง<br>ถูกขอร้องมาก็เลยได้กลับมาทำหน้าที่อีกครั้ง<br>ฝากตัวด้วยล่ะ"""
5057#0,"""ฉัน Barbara ครูฝึกทักษะการต่อสู้ย่ะ<br>ถึงจะอยู่ในสนามรบฉันก็จะเข้มงวดเหมือนเดิม<br>เตรียมใจไว้ด้วยล่ะ"""
5059#0,"""ฉันไม่คิดจะมาตีสนิทด้วยหรอกนะ<br>แค่ฆ่าพวก Darker ได้ก็พอแล้ว<br>ไม่ต้องมาอยากรู้อยากเห็นเรื่องของฉันให้มากความหรอก"""
5062#0,"""ฉันอาจจะยังเก่งไม่พอ<br>แต่ถ้าหากรุ่นพี่เป็นคนชวนล่ะก็...<br>ฉันจะพยายามให้เต็มที่ค่ะ"""
5063#0,"""ตัวผมยังคงอ่อนหัดและไร้ประสบการณ์ แต่ก็จะพยายาม<br>เพื่อที่จะได้เก่งขึ้นให้ใกล้เคียงกับอาจารย์ครับ!<br>ฝากชี้แนะและสั่งสอนผมด้วยนะครับ!"""
5066#0,"""...ฉันติดหนี้บุญคุณคุณอย่างมาก<br>เรียกใช้ฉันได้ทุกเมื่อเลยนะคะ<br>ฉันจะพยายามอย่างเต็มที่เพื่อเป็นกำลังให้กับคุณค่ะ"""
5068#0,"""Toro อยากลองไป<br>เที่ยวในหลายๆ ที่เลยเนี้ยว~!<br>ไปพร้อมกับทุกคนเลยเนี้ยว!"""
5069#0,"""ถ้ามีเรื่องอะไรน่าสนุก<br>ก็ชวนได้ทุกเมื่อเลยเมี้ยว<br>ฉันกับ Toro จะรีบไปหาเลยเมี้ยว!"""
5083#0,"""เรียกฉันได้เสมอเวลาต้องการความช่วยเหลือ!<br>นั่นแหละคือหน้าที่ของรุ่นพี่ล่ะ!"""
5086#0,"""ถึงจะแทนที่ Zeno ไม่ได้<br>แต่ก็จะพยายามอย่างเต็มที่ เพราะงั้นเรียกได้ทุกเมื่อเลยนะ"""
5087#0,"""ถึงจะยังอ่อนหัดอยู่บ้าง<br>แต่ในฐานะผู้เชี่ยวชาญของคลาส Braver<br>ก็จะพยายามอย่างสุดความสามารถเลยล่ะー"""
5091#0,"""ฉันไม่คิดจะเป็นตัวถ่วงหรอกนะ<br>เพราะงั้นชวนได้ทุกเมื่อเลยล่ะ รุ่นพี่"""
5108#0,"""เวลาที่ต้องการพลังของฉัน<br>ก็เรียกได้ทุกเมื่อเลยนะ<br>ฉันมั่นใจในฝีมือดาบของตัวเองน่ะ"""
5125#0,"""ฉันได้รับการดูแลจากคุณมาตั้งมากมาย<br>ถ้าจำเป็นล่ะก็ เรียกฉันได้ทุกเมื่อเลยนะ"""
5126#0,"""ชั่วคราว"""
5127#0,"""ชั่วคราว"""
5128#0,"""ชั่วคราว"""
5135#0,"""ชั่วคราว"""
5150#0,"""ผู้รับผิดชอบการทดสอบคลาส Bouncer, Katori ค่ะ!<br>หากเป็นความประสงค์ของท่านล่ะก็ จะบุกน้ำลุยไฟไปทุกที่เลยค่ะ!"""
5151#0,"""ผู้รับผิดชอบการทดสอบคลาส Bouncer, Saga<br>การเข้าร่วมภารกิจถือเป็นโอกาสดีในการเก็บข้อมูล<br>เรียกฉันได้ทุกเมื่อเลยนะ"""
5153#0,"""พลังของคนอย่างผม... ไม่ใช่สิ<br>ถ้าพลังของผมเป็นประโยชน์ล่ะก็ เรียกได้<br>ทุกเมื่อเลยนะครับ จะรีบไปหาทันทีเลย"""
5185#0,"""เอ่อ Partner Card นี่ต้องเขียนอะไรลงไป...<br>เอ๊ะ อ๊ะเล่? ไอ้นี่ก็ถูกเขียนลงไปด้วยเหรอเนี่ย?<br>อ๊ะ เอ่อ... เรียกได้ทุกเมื่อเลยนะ!"""
5186#0,"""ลำดับที่ 5 แห่งสภาหกเสาหลัก Claris Claes เอง!<br>ถ้ามีอะไรก็บอกได้ทุกเมื่อเลยนะ!<br>จะรีบพุ่งไปหาเดี๋ยวนี้แหละ!"""
5188#0,"""อาจจะดูพึ่งพาไม่ค่อยได้ก็เถอะ<br>แต่ฉันเองก็เป็นรุ่นพี่ของเธอนะ<br>เวลาลำบากก็พึ่งพาฉันได้ทุกเมื่อเลย"""
5194#0,"""หลังจากที่เธอทำอะไรให้ฉันตั้งมากมาย<br>ฉันคงไม่มีข้อแก้ตัวอะไรแล้วล่ะ<br>เธอเรียกฉันได้ตลอดเวลาเลยนะ"""
5200#0,"""โปรดใช้พลังของฉันให้เป็นประโยชน์ด้วยนะคะ<br>จะรีบไปหาทุกเมื่อเลยค่ะ!"""
5201#0,"""หากต้องการพลังของข้าล่ะก็<br>จะรีบไปหาทุกเมื่อเลย"""
5206#0,"""เรียกได้ทุกเมื่อเลยนะคะ<br>ยินดีไปหาเสมอค่ะ"""
5207#0,"""จะรีบไปหาทุกเวลาเลย<br>ไม่ต้องเกรงใจ เรียกฉันได้เลยนะ"""
5209#0,"""...ถึงจะเป็นคนแบบฉัน<br>แต่หากท่านต้องการล่ะก็<br>ก็ยินดีให้ความร่วมมือค่ะ"""
5210#0,"""พาร์ทเนอร์! ฉันเป็นเพื่อนเธอนะ เพราะงั้นอย่า<br>ลังเลที่จะเรียกฉันล่ะ"""
5213#0,"""ฉันเองก็จะพึ่งพาคุณเยอะๆ เหมือนกัน<br>เพราะงั้นคุณเองก็พึ่งพาฉันให้มากๆ ด้วยล่ะ<br>สัญญานะ <%me> """
5220#0,"""ฉัน Karen Erra<br>อยากจะใช้พลังนี้เพื่อปกป้องทุกคน<br>เรียกฉันได้ทุกเมื่อเลยนะ"""
5221#0,"""ฉัน Ethan Waber!<br>ถ้าเรียกมาก็จะรีบพุ่งไปหา<br>ทุกเมื่อเลย! ฝากตัวด้วยนะ!"""
5222#0,"""ได้รับการดูแลมาซะตั้งเยอะ<br>เรียกได้ทุกเมื่อเลยนะย๊ะ!<br>ถ้ามามัวเกรงใจล่ะก็ไม่ยอมจริงๆ ด้วย!"""
5241#0,"""ถ้าต้องการพลังของฉันล่ะก็<br>เรียกได้ตามสบายทุกเมื่อเลยนะ!<br>จะพยายามเต็มที่เลย!"""
5242#0,"""มายเฟรนด์! ความสัมพันธ์ของฉันกับนายไงล่ะ!<br>เวลาลำบากเรียกได้ทุกเมื่อเลยนะ!<br>เด็กๆ ของฉันก็ต้องการแบบนั้นเหมือนกัน!"""
5244#0,"""＊＊＊"""
5227#0,"""เรียกฉันได้ทุกเมื่อตามที่ต้องการเลยนะ<br>ฉันจะตอบแทนบุญคุณที่เคยดูแลฉันอย่างดีเลยล่ะ"""
5230#0,"""ถ้าจำเป็นก็เรียกได้เลยน้าー<br>ปกติแล้วฉันก็จะโผล่หน้าไปช่วยอยู่แล้วล่ะー"""
5272#0,"""จะไม่ยอมให้ใครมาว่าฉันเป็นตัวถ่วงอีกแล้วล่ะ<br>ชวนฉันได้ทุกเมื่อเลยนะ รุ่นพี่"""
5288#0,"""ฉันอาจจะยังเก่งไม่พอ<br>แต่ถ้าหากรุ่นพี่เป็นคนชวนล่ะก็...<br>ฉันจะพยายามให้เต็มที่ค่ะ"""
5289#0,"""ตัวผมยังคงอ่อนหัดและไร้ประสบการณ์ แต่ก็จะพยายาม<br>เพื่อที่จะได้เก่งขึ้นให้ใกล้เคียงกับอาจารย์ครับ!<br>ฝากชี้แนะและสั่งสอนผมด้วยนะครับ!"""
5306#0,"""ฉันยังอ่อนหัดอยู่ก็จริง<br>แต่ก็จะพยายามอย่างเต็มที่เพื่อเป็นกำลังให้ค่ะ!<br>เรียกฉันได้ทุกเมื่อเลยนะคะ!"""
5292#0,"""Claris Claes รุ่นที่ 3 เอง!<br>ถึงจะเป็นรองหัวหน้าหน่วยรบ แต่ก็เรียกได้ทุกเมื่อนะ!<br>จะรีบพุ่งไปหาเดี๋ยวนี้แหละ!"""
5293#0,"""ถึงจะถูกตั้งให้เป็นรองหัวหน้าหน่วยธุรการ<br>แต่มันก็ไม่ได้มีอะไรเปลี่ยนไปจากเมื่อก่อนหรอกนะ<br>เรียกฉันเมื่อไหร่ก็ได้เลยนะ"""
5254#0,"""ฉัน Aika ถึงจะสังกัดอยู่หน่วยข่าวกรอง<br>แต่ก็ไม่ต้องเกรงใจหรอกนะ เวลาที่ต้องการ<br>ก็เรียกฉันได้ทุกเมื่อเลย"""
5314#0,"""เอ่อ... RINA ค่ะ<br>ฉันจะทุ่มเทอย่างสุดความสามารถ<br>เพื่อเป็นกำลังให้กับคุณค่ะ"""
5315#0,"""ฉัน SORO<br>บางคนอาจจะเรียกฉันว่าหมาป่าเดียวดาย<br>แต่เธอจะเรียกยังไงก็ตามใจเลย"""
5316#0,"""ฉันได้เรียนรู้อะไรหลายๆ อย่าง<br>ผ่านทาง PSO2 ถึงจะไม่ใช่การตอบแทนบุญคุณ<br>แต่ก็ขอให้ฉันได้ร่วมมือด้วยเถอะนะ"""
5318#0,"""ไม่ได้เล่น PSO2 มาตั้งนาน<br>ก็เลยอยากจะสนุกให้เต็มที่ไปเลยล่ะ!<br>เพราะงั้น ฝากตัวด้วยนะ!"""
5319#0,"""ประธานบอกมาว่าตอนนี้เธอกำลังยุ่ง<br>หัวหมุนจนแทบจะไม่มีเวลาเลยนี่...<br>ถ้าแค่นิดหน่อยล่ะก็ ฉันช่วยได้นะ?"""
5320#0,"""นามของข้าคือ †Core†! จงจำใส่ใจไว้ซะ!<br>สหายเอ๋ย มาร่วมออกเดินทางสู่การผจญภัย<br>อันเป็นนิรันดร์นี้ด้วยกันเถอะ!"""
5323#0,"""ฉัน Musashi ถ้าไม่รังเกียจคนอย่างฉัน<br>จะยอมช่วยให้ก็ได้<br>แต่ว่า อย่ามาเป็นตัวถ่วงซะล่ะ"""
5321#0,"""ฉันชื่อ Yumiko ค่ะ<br>หากเรียกหาล่ะก็ ไม่ว่าเวลาใด<br>ก็จะรีบไปหาทันทีค่ะ ฝากตัวด้วยนะคะ"""
5322#0,"""ข้าน้อยคือ ซามูไรคนสุดท้าย ขอรับ!<br>หากต้องการความช่วยเหลือล่ะก็<br>เรียกหาได้ทุกเมื่อเลยนะขอรับ!"""
5346#0,"""เวลาที่ต้องการพลังของฉัน<br>ก็เรียกได้ทุกเมื่อเลยนะ!<br>ไม่ต้องเกรงใจหรอก!"""
5347#0,"""เวลาลำบากก็เรียกนะ<br>ฉันจะช่วยเอง"""
5348#0,"""ถ้าจำเป็นก็เรียกได้ทุกเมื่อเลยเนี้ยว!<br>ไม่ต้องเกรงใจหรอกเนี้ยว!"""
5349#0,"""ถ้ามีอะไรก็เรียกฉันได้เลยนะ!<br>จะรีบพุ่งไปหาทันทีเลย!"""
5363#0,"""ถ้าต้องการพลังของฉันล่ะก็<br>เรียกได้ทุกเมื่อเลยนะคะ<br>จะรีบไปหาทันทีเลยค่ะ"""
5378#0,"""ถ้าเป็นฉันล่ะก็... จะร่วมมือด้วยก็ได้<br>เวลาลำบาก ก็เรียกได้ทุกเมื่อเลยนะ"""
5407#0,"""ฉันยังอ่อนหัดอยู่ก็จริง<br>แต่ก็จะพยายามอย่างเต็มที่เพื่อเป็นกำลังให้ค่ะ!<br>เรียกฉันได้ทุกเมื่อเลยนะคะ!"""
5408#0,"""อย่าฝืนทำอะไรเกินตัวนักล่ะ?<br>พึ่งพาฉันได้ทุกเมื่อเลยนะ!"""
5409#0,"""สังกัด Earth Guide, Enga Yasaka<br>เรียกฉันได้สบายๆ ทุกเมื่อเลยนะ<br>ฉันมีหนี้บุญคุณกับเธอที่ชดใช้ยังไงก็ไม่หมดอยู่"""
5410#0,"""ฉันกับ Hitsugi-chan ได้รับการดูแลมาอย่างดีเลย<br>ถ้าจำเป็น เรียกฉันได้ทุกเมื่อเลยนะคะ!<br>ถึงฉันจะไม่ได้เก่งอะไรมากมายก็เถอะ"""
5411#0,"""อย่าเกรงใจไปเลยเพียงเพราะว่าฉันอยู่บน<br>โลก! ถ้าต้องการพลังของฉันล่ะก็ ฉันจะไป<br>หาทุกที่ ทุกเวลาเลยนะ!"""
